Company,Year,Date,Days Before,Electorate,Size,Labour Party,National Party,New Zealand First Party,ACT,Green Party,United Future,Maori Party,Progressive,Mana,Conservative Party,Independent/Other,Undecided/Not Stated
Election Result,2002,27/07/2002,1148,Full,108270,0.5373,0.0421,0.1492,0.0104,0.107,0.0246,NA,0.0129,NA,NA,0.1165,0
Election Result,2002,27/07/2002,1148,Ikaroa Rawhiti,14772,0.6008,0.0349,0.124,0.0073,0.0925,0.0162,NA,0.0129,NA,NA,0.1114,0
Election Result,2002,27/07/2002,1148,Hauraki-Waikato,14996,0.5339,0.0388,0.146,0.0108,0.1004,0.0233,NA,0.0111,NA,NA,0.1357,0
Election Result,2002,27/07/2002,1148,Tamaki Makaurau,16173,0.5597,0.0319,0.1503,0.0138,0.1026,0.0254,NA,0.0141,NA,NA,0.1022,0
Election Result,2002,27/07/2002,1148,Te Tai Hauauru,14467,0.5608,0.0412,0.1266,0.0065,0.1107,0.0261,NA,0.0114,NA,NA,0.1167,0
Election Result,2002,27/07/2002,1148,Te Tai Tokerau,16190,0.4723,0.0416,0.2049,0.0143,0.1136,0.0215,NA,0.0137,NA,NA,0.1181,0
Election Result,2002,27/07/2002,1148,Te Tai Tonga,15949,0.5114,0.0679,0.1226,0.0135,0.1284,0.0321,NA,0.018,NA,NA,0.1061,0
Election Result,2002,27/07/2002,1148,Waiariki,15723,0.5293,0.0374,0.1653,0.0055,0.0997,0.0273,NA,0.0086,NA,NA,0.1269,0
TNS,2005,22/06/2005,87,Te Tai Hauauru,300,0.38,0.06,0.09,0,0.04,0,0.38,0,NA,NA,0.01,0.04
TNS,2005,22/06/2005,87,Te Tai Tokerau,300,0.38,0.07,0.1,0,0.03,0,0.38,0,NA,NA,0.02,0.02
TNS,2005,23/08/2005,25,Ikaroa Rawhiti,350,0.51,0.05,0.09,0,0.04,0,0.28,0,NA,NA,0.03,0
TNS,2005,23/08/2005,25,Hauraki-Waikato,350,0.55,0.05,0.06,0.01,0.03,0,0.27,0,NA,NA,0.03,0
TNS,2005,23/08/2005,25,Tamaki Makaurau,350,0.55,0.05,0.06,0.01,0.04,0,0.25,0,NA,NA,0.04,0
TNS,2005,2/09/2005,15,Te Tai Tokerau,350,0.41,0.05,0.1,0,0.05,0,0.33,0,NA,NA,0.06,0
TNS,2005,2/09/2005,15,Te Tai Hauauru,350,0.47,0.06,0.05,0,0.05,0.01,0.33,0,NA,NA,0.02,0.01
TNS,2005,9/09/2005,8,Te Tai Tonga,350,0.6,0.09,0.06,0.01,0.04,0.01,0.14,0,NA,NA,0.04,0.01
Election Result,2005,17/09/2005,0,Full,134452,0.5462,0.0427,0.0599,0.0021,0.0332,0.0053,0.277,0.0037,NA,NA,0.0299,0
Election Result,2005,17/09/2005,0,Ikaroa Rawhiti,18255,0.5828,0.0273,0.0463,0.0018,0.0243,0.0038,0.2806,0.003,NA,NA,0.0301,0
Election Result,2005,17/09/2005,0,Hauraki-Waikato,18716,0.5568,0.0414,0.062,0.0026,0.0277,0.0039,0.277,0.0028,NA,NA,0.0258,0
Election Result,2005,17/09/2005,0,Tamaki Makaurau,19859,0.5514,0.0403,0.0532,0.0021,0.0328,0.0044,0.2748,0.0034,NA,NA,0.0376,0
Election Result,2005,17/09/2005,0,Te Tai Hauauru,18115,0.531,0.0358,0.0481,0.0015,0.0316,0.0055,0.3168,0.0021,NA,NA,0.0276,0
Election Result,2005,17/09/2005,0,Te Tai Tokerau,19842,0.4933,0.0501,0.0786,0.0025,0.0269,0.0041,0.31,0.0036,NA,NA,0.0309,0
Election Result,2005,17/09/2005,0,Te Tai Tonga,19838,0.5789,0.0737,0.0625,0.0029,0.0647,0.0106,0.1755,0.0085,NA,NA,0.0227,0
Election Result,2005,17/09/2005,0,Waiariki,19827,0.5311,0.0286,0.0668,0.0003,0.023,0.0045,0.3079,0.0024,NA,NA,0.0354,0
Digipoll,2008,17/02/2008,265,Full,665,0.33,0.09,0.02,0,0.02,0,0.49,0,NA,NA,0.003,0.047
