Electoral District,Year,Party,Weak,Strong
Auckland Central,2011,ACT,0.0118,0
Auckland Central,2011,Alliance,3.00E-04,0
Auckland Central,2011,Conservative Party,0.0082,0
Auckland Central,2011,Green Party,0.1606,0.0673
Auckland Central,2011,Labour Party,0.2511,0
Auckland Central,2011,Mana,0.0069,0
Auckland Central,2011,Maori Party,0.0164,0
Auckland Central,2011,National Party,0.32,0.1024
Auckland Central,2011,New Zealand First Party,0.041,0
Auckland Central,2011,United Future,0.0022,0
Bay of Plenty,2011,ACT,0.0116,0
Bay of Plenty,2011,Alliance,2.00E-04,0
Bay of Plenty,2011,Conservative Party,0.041,0
Bay of Plenty,2011,Green Party,0.0869,0
Bay of Plenty,2011,Labour Party,0.1372,0
Bay of Plenty,2011,Mana,0.0025,0
Bay of Plenty,2011,Maori Party,0.0059,0
Bay of Plenty,2011,National Party,0.32,0.2564
Bay of Plenty,2011,New Zealand First Party,0.1159,0.0104
Bay of Plenty,2011,United Future,0.0057,0
Botany,2011,ACT,0.0165,0
Botany,2011,Alliance,3.00E-04,0
Botany,2011,Conservative Party,0.0268,0
Botany,2011,Green Party,0.044,0
Botany,2011,Labour Party,0.2449,0
Botany,2011,Mana,0.0025,0
Botany,2011,Maori Party,0.0029,0
Botany,2011,National Party,0.32,0.2913
Botany,2011,New Zealand First Party,0.044,0
Botany,2011,United Future,0.0032,0
Christchurch Central,2011,ACT,0.0078,0
Christchurch Central,2011,Alliance,9.00E-04,0
Christchurch Central,2011,Conservative Party,0.0174,0
Christchurch Central,2011,Green Party,0.1606,0.002
Christchurch Central,2011,Labour Party,0.294,0
Christchurch Central,2011,Mana,0.0036,0
Christchurch Central,2011,Maori Party,0.005,0
Christchurch Central,2011,National Party,0.32,0.1263
Christchurch Central,2011,New Zealand First Party,0.0496,0
Christchurch Central,2011,United Future,0.0054,0
Christchurch East,2011,ACT,0.0035,0
Christchurch East,2011,Alliance,0.001,0
Christchurch East,2011,Conservative Party,0.0215,0
Christchurch East,2011,Green Party,0.1168,0
Christchurch East,2011,Labour Party,0.3165,0
Christchurch East,2011,Mana,0.0022,0
Christchurch East,2011,Maori Party,0.0029,0
Christchurch East,2011,National Party,0.32,0.141
Christchurch East,2011,New Zealand First Party,0.0626,0
Christchurch East,2011,United Future,0.0056,0
Clutha-Southland,2011,ACT,0.0183,0
Clutha-Southland,2011,Alliance,5.00E-04,0
Clutha-Southland,2011,Conservative Party,0.0312,0
Clutha-Southland,2011,Green Party,0.0864,0
Clutha-Southland,2011,Labour Party,0.1621,0
Clutha-Southland,2011,Mana,0.0015,0
Clutha-Southland,2011,Maori Party,0.0043,0
Clutha-Southland,2011,National Party,0.32,0.3089
Clutha-Southland,2011,New Zealand First Party,0.0489,0
Clutha-Southland,2011,United Future,0.0081,0
Coromandel,2011,ACT,0.0137,0
Coromandel,2011,Alliance,1.00E-04,0
Coromandel,2011,Conservative Party,0.039,0
Coromandel,2011,Green Party,0.1137,0
Coromandel,2011,Labour Party,0.1805,0
Coromandel,2011,Mana,0.0025,0
Coromandel,2011,Maori Party,0.0044,0
Coromandel,2011,National Party,0.32,0.2014
Coromandel,2011,New Zealand First Party,0.1103,0
Coromandel,2011,United Future,0.0068,0
Dunedin North,2011,ACT,0.0073,0
Dunedin North,2011,Alliance,0.0017,0
Dunedin North,2011,Conservative Party,0.0135,0
Dunedin North,2011,Green Party,0.1606,0.0733
Dunedin North,2011,Labour Party,0.32,0.018
Dunedin North,2011,Mana,0.006,0
Dunedin North,2011,Maori Party,0.0042,0
Dunedin North,2011,National Party,0.32,0.0039
Dunedin North,2011,New Zealand First Party,0.0569,0
Dunedin North,2011,United Future,0.0061,0
Dunedin South,2011,ACT,0.006,0
Dunedin South,2011,Alliance,0.0016,0
Dunedin South,2011,Conservative Party,0.0148,0
Dunedin South,2011,Green Party,0.1361,0
Dunedin South,2011,Labour Party,0.32,0.0297
Dunedin South,2011,Mana,0.0018,0
Dunedin South,2011,Maori Party,0.003,0
Dunedin South,2011,National Party,0.32,0.0818
Dunedin South,2011,New Zealand First Party,0.0715,0
Dunedin South,2011,United Future,0.0053,0
East Coast,2011,ACT,0.0094,0
East Coast,2011,Alliance,3.00E-04,0
East Coast,2011,Conservative Party,0.0302,0
East Coast,2011,Green Party,0.106,0
East Coast,2011,Labour Party,0.2387,0
East Coast,2011,Mana,0.0075,0
East Coast,2011,Maori Party,0.0105,0
East Coast,2011,National Party,0.32,0.1777
East Coast,2011,New Zealand First Party,0.0853,0
East Coast,2011,United Future,0.0091,0
East Coast Bays,2011,ACT,0.0158,0
East Coast Bays,2011,Alliance,4.00E-04,0
East Coast Bays,2011,Conservative Party,0.0374,0
East Coast Bays,2011,Green Party,0.0806,0
East Coast Bays,2011,Labour Party,0.172,0
East Coast Bays,2011,Mana,0.0019,0
East Coast Bays,2011,Maori Party,0.0039,0
East Coast Bays,2011,National Party,0.32,0.3086
East Coast Bays,2011,New Zealand First Party,0.0494,0
East Coast Bays,2011,United Future,0.0043,0
Epsom,2011,ACT,0.0255,0
Epsom,2011,Alliance,3.00E-04,0
Epsom,2011,Conservative Party,0.0112,0
Epsom,2011,Green Party,0.1203,0
Epsom,2011,Labour Party,0.1555,0
Epsom,2011,Mana,0.0025,0
Epsom,2011,Maori Party,0.0059,0
Epsom,2011,National Party,0.32,0.3252
Epsom,2011,New Zealand First Party,0.0261,0
Epsom,2011,United Future,0.0032,0
Hamilton East,2011,ACT,0.0103,0
Hamilton East,2011,Alliance,2.00E-04,0
Hamilton East,2011,Conservative Party,0.0344,0
Hamilton East,2011,Green Party,0.1188,0
Hamilton East,2011,Labour Party,0.2471,0
Hamilton East,2011,Mana,0.0027,0
Hamilton East,2011,Maori Party,0.0059,0
Hamilton East,2011,National Party,0.32,0.1939
Hamilton East,2011,New Zealand First Party,0.0537,0
Hamilton East,2011,United Future,0.0078,0
Hamilton West,2011,ACT,0.0091,0
Hamilton West,2011,Alliance,3.00E-04,0
Hamilton West,2011,Conservative Party,0.0319,0
Hamilton West,2011,Green Party,0.0884,0
Hamilton West,2011,Labour Party,0.2915,0
Hamilton West,2011,Mana,0.0036,0
Hamilton West,2011,Maori Party,0.0059,0
Hamilton West,2011,National Party,0.32,0.1574
Hamilton West,2011,New Zealand First Party,0.0772,0
Hamilton West,2011,United Future,0.0071,0
Helensville,2011,ACT,0.0139,0
Helensville,2011,Alliance,1.00E-04,0
Helensville,2011,Conservative Party,0.0351,0
Helensville,2011,Green Party,0.0864,0
Helensville,2011,Labour Party,0.1435,0
Helensville,2011,Mana,0.0017,0
Helensville,2011,Maori Party,0.0052,0
Helensville,2011,National Party,0.32,0.3379
Helensville,2011,New Zealand First Party,0.046,0
Helensville,2011,United Future,0.0046,0
Hunua,2011,ACT,0.0145,0
Hunua,2011,Alliance,1.00E-04,0
Hunua,2011,Conservative Party,0.0373,0
Hunua,2011,Green Party,0.0688,0
Hunua,2011,Labour Party,0.1611,0
Hunua,2011,Mana,0.0021,0
Hunua,2011,Maori Party,0.0053,0
Hunua,2011,National Party,0.32,0.3058
Hunua,2011,New Zealand First Party,0.0742,0
Hunua,2011,United Future,0.0048,0
Hutt South,2011,ACT,0.0076,0
Hutt South,2011,Alliance,5.00E-04,0
Hutt South,2011,Conservative Party,0.0203,0
Hutt South,2011,Green Party,0.1197,0
Hutt South,2011,Labour Party,0.32,0.037
Hutt South,2011,Mana,0.0037,0
Hutt South,2011,Maori Party,0.006,0
Hutt South,2011,National Party,0.32,0.0905
Hutt South,2011,New Zealand First Party,0.06,0
Hutt South,2011,United Future,0.0089,0
Ilam,2011,ACT,0.0115,0
Ilam,2011,Alliance,5.00E-04,0
Ilam,2011,Conservative Party,0.0209,0
Ilam,2011,Green Party,0.1342,0
Ilam,2011,Labour Party,0.1918,0
Ilam,2011,Mana,0.0016,0
Ilam,2011,Maori Party,0.005,0
Ilam,2011,National Party,0.32,0.2634
Ilam,2011,New Zealand First Party,0.0395,0
Ilam,2011,United Future,0.0072,0
Invercargill,2011,ACT,0.0123,0
Invercargill,2011,Alliance,0.0011,0
Invercargill,2011,Conservative Party,0.0199,0
Invercargill,2011,Green Party,0.0842,0
Invercargill,2011,Labour Party,0.2873,0
Invercargill,2011,Mana,0.0019,0
Invercargill,2011,Maori Party,0.005,0
Invercargill,2011,National Party,0.32,0.1788
Invercargill,2011,New Zealand First Party,0.0684,0
Invercargill,2011,United Future,0.0082,0
Kaikoura,2011,ACT,0.0111,0
Kaikoura,2011,Alliance,6.00E-04,0
Kaikoura,2011,Conservative Party,0.038,0
Kaikoura,2011,Green Party,0.1109,0
Kaikoura,2011,Labour Party,0.1985,0
Kaikoura,2011,Mana,0.0013,0
Kaikoura,2011,Maori Party,0.0043,0
Kaikoura,2011,National Party,0.32,0.2341
Kaikoura,2011,New Zealand First Party,0.0655,0
Kaikoura,2011,United Future,0.009,0
Kelston,2011,ACT,0.008651407,0
Kelston,2011,Alliance,0.000552931,0
Kelston,2011,Conservative Party,0.023431966,0
Kelston,2011,Green Party,0.107872429,0
Kelston,2011,Labour Party,0.3013,0.123477371
Kelston,2011,Mana,0.004578488,0
Kelston,2011,Maori Party,0.003773028,0
Kelston,2011,National Party,0.32,0.033517174
Kelston,2011,New Zealand First Party,0.063656045,0
Kelston,2011,United Future,0.003443638,0
Mana,2011,ACT,0.0047,0
Mana,2011,Alliance,5.00E-04,0
Mana,2011,Conservative Party,0.0175,0
Mana,2011,Green Party,0.1278,0
Mana,2011,Labour Party,0.32,0.0576
Mana,2011,Mana,0.0048,0
Mana,2011,Maori Party,0.0066,0
Mana,2011,National Party,0.32,0.0795
Mana,2011,New Zealand First Party,0.0484,0
Mana,2011,United Future,0.0068,0
Mangere,2011,ACT,0.0031,0
Mangere,2011,Alliance,6.00E-04,0
Mangere,2011,Conservative Party,0.0161,0
Mangere,2011,Green Party,0.0385,0
Mangere,2011,Labour Party,0.32,0.3982
Mangere,2011,Mana,0.0101,0
Mangere,2011,Maori Party,0.0054,0
Mangere,2011,National Party,0.1436,0
Mangere,2011,New Zealand First Party,0.0586,0
Mangere,2011,United Future,0.002,0
Manukau East,2011,ACT,0.0053,0
Manukau East,2011,Alliance,3.00E-04,0
Manukau East,2011,Conservative Party,0.0146,0
Manukau East,2011,Green Party,0.0339,0
Manukau East,2011,Labour Party,0.32,0.3468
Manukau East,2011,Mana,0.0094,0
Manukau East,2011,Maori Party,0.0049,0
Manukau East,2011,National Party,0.1961,0
Manukau East,2011,New Zealand First Party,0.0632,0
Manukau East,2011,United Future,0.0015,0
Manurewa,2011,ACT,0.0061,0
Manurewa,2011,Alliance,9.00E-04,0
Manurewa,2011,Conservative Party,0.0226,0
Manurewa,2011,Green Party,0.0394,0
Manurewa,2011,Labour Party,0.32,0.2543
Manurewa,2011,Mana,0.0085,0
Manurewa,2011,Maori Party,0.0064,0
Manurewa,2011,National Party,0.2613,0
Manurewa,2011,New Zealand First Party,0.0736,0
Manurewa,2011,United Future,0.0022,0
Maungakiekie,2011,ACT,0.0118,0
Maungakiekie,2011,Alliance,4.00E-04,0
Maungakiekie,2011,Conservative Party,0.0173,0
Maungakiekie,2011,Green Party,0.0952,0
Maungakiekie,2011,Labour Party,0.32,0.0485
Maungakiekie,2011,Mana,0.0041,0
Maungakiekie,2011,Maori Party,0.0063,0
Maungakiekie,2011,National Party,0.32,0.1159
Maungakiekie,2011,New Zealand First Party,0.0518,0
Maungakiekie,2011,United Future,0.0038,0
Mt Albert,2011,ACT,0.0093,0
Mt Albert,2011,Alliance,6.00E-04,0
Mt Albert,2011,Conservative Party,0.0161,0
Mt Albert,2011,Green Party,0.1606,0.0109
Mt Albert,2011,Labour Party,0.32,0.0509
Mt Albert,2011,Mana,0.0058,0
Mt Albert,2011,Maori Party,0.0052,0
Mt Albert,2011,National Party,0.32,0.0467
Mt Albert,2011,New Zealand First Party,0.0453,0
Mt Albert,2011,United Future,0.0035,0
Mt Roskill,2011,ACT,0.0108,0
Mt Roskill,2011,Alliance,3.00E-04,0
Mt Roskill,2011,Conservative Party,0.0242,0
Mt Roskill,2011,Green Party,0.0727,0
Mt Roskill,2011,Labour Party,0.32,0.1161
Mt Roskill,2011,Mana,0.002,0
Mt Roskill,2011,Maori Party,0.0038,0
Mt Roskill,2011,National Party,0.32,0.0753
Mt Roskill,2011,New Zealand First Party,0.0468,0
Mt Roskill,2011,United Future,0.0039,0
Napier,2011,ACT,0.0106,0
Napier,2011,Alliance,0.001,0
Napier,2011,Conservative Party,0.0335,0
Napier,2011,Green Party,0.0981,0
Napier,2011,Labour Party,0.2926,0
Napier,2011,Mana,0.0024,0
Napier,2011,Maori Party,0.0061,0
Napier,2011,National Party,0.32,0.1677
Napier,2011,New Zealand First Party,0.0558,0
Napier,2011,United Future,0.006,0
Nelson,2011,ACT,0.0073,0
Nelson,2011,Alliance,4.00E-04,0
Nelson,2011,Conservative Party,0.0271,0
Nelson,2011,Green Party,0.1605,0
Nelson,2011,Labour Party,0.2733,0
