Candidate,Party,Year,Electorate,Vote
"KOVALENKO, Dasha ",ACT,2014,Auckland Central,0.007048823
"MONAHAN, Regan ",Conservative Party,2014,Auckland Central,0.009432984
"ROCHE, Denise ",Green Party,2014,Auckland Central,0.076293148
"ARDERN, Jacinda ",Labour Party,2014,Auckland Central,0.436301441
"PIERARD, Miriam ",Mana,2014,Auckland Central,0.00995128
"KAYE, Nikki ",National Party,2014,Auckland Central,0.458380844
"CUNLIFFE, Deborah ",Conservative Party,2014,Bay of Plenty,0.036870135
"WILSON, Clare ",Labour Party,2014,Bay of Plenty,0.185374846
"MULLER, Todd ",National Party,2014,Bay of Plenty,0.606923392
"DOLMAN, Raymond ",New Zealand First Party,2014,Bay of Plenty,0.126792298
"RICKARD, Ben ",United Future,2014,Bay of Plenty,0.003789431
"YOUNG, Paul ",Conservative Party,2014,Botany,0.094453711
"MAMEDOV, Tofik ",Labour Party,2014,Botany,0.233632193
"ROSS, Jami-Lee ",National Party,2014,Botany,0.651271893
"SEVERIN, Toni ",ACT,2014,Christchurch Central,0.003622813
"COOKE, Michael ",Conservative Party,2014,Christchurch Central,0.018010558
"MOORHOUSE, David ",Green Party,2014,Christchurch Central,0.084359797
"MILNE, Tony",Labour Party,2014,Christchurch Central,0.389297174
"DAVIDSON, Lenis ",Maori Party,2014,Christchurch Central,0.003312287
"WAGNER, Nicky ",National Party,2014,Christchurch Central,0.462167477
"ABRAHAM, George",New Zealand First Party,2014,Christchurch Central,0.037470241
"BAKER, Leighton ",Conservative Party,2014,Christchurch East,0.040202041
"MATHERS, Mojo ",Green Party,2014,Christchurch East,0.10132976
"WILLIAMS, Poto ",Labour Party,2014,Christchurch East,0.48087826
"MATAKI, Tania ",Maori Party,2014,Christchurch East,0.005978765
"HAYES, Jo ",National Party,2014,Christchurch East,0.352128647
"PARK, Sam ",United Future,2014,Christchurch East,0.005051026
"NICOLSON, Don ",ACT,2014,Clutha-Southland,0.013263953
"ASHTON, Lachie ",Conservative Party,2014,Clutha-Southland,0.041730436
"GOLDSMITH, Rachael ",Green Party,2014,Clutha-Southland,0.071217223
"CRAIG, Liz ",Labour Party,2014,Clutha-Southland,0.198347107
"BARCLAY, Todd ",National Party,2014,Clutha-Southland,0.640648913
"OLSEN, David Edward ",ACT,2014,Coromandel,0.004278729
"WALKDEN, David ",Conservative Party,2014,Coromandel,0.030358598
"DELAHUNTY, Catherine",Green Party,2014,Coromandel,0.164221679
"POSCHL, Korbinian ",Labour Party,2014,Coromandel,0.113386308
"PAKINGA, Hiria ",Maori Party,2014,Coromandel,0.004686227
"SIMPSON, Scott ",National Party,2014,Coromandel,0.587306438
"ERTEL, Grant ",New Zealand First Party,2014,Coromandel,0.084555827
"DALEY, Jonathan ",Conservative Party,2014,Dunedin North,0.018063068
"TUREI, Metiria",Green Party,2014,Dunedin North,0.173691193
"CLARK, David ",Labour Party,2014,Dunedin North,0.473925911
"STEWART, Rob ",Mana,2014,Dunedin North,0.00744974
"WOODHOUSE, Michael ",National Party,2014,Dunedin North,0.30207164
"NICHOLLS, Colin ",ACT,2014,Dunedin South,0.003875574
"KERR, Cindy ",Conservative Party,2014,Dunedin South,0.019581846
