Candidate,Party,Year,Electorate,Candidate Vote
"MAHUTA, Nanaia",Labour Party,2014,Hauraki-Waikato,0.615598886
"GREENSILL, Angeline Ngahina ",Mana,2014,Hauraki-Waikato,0.157381616
"CULLEN, Susan ",Maori Party,2014,Hauraki-Waikato,0.227019499
"KANI, Henare ",Green Party,2014,Ikaroa Rawhiti,0.100283524
"WHAITIRI, Meka ",Labour Party,2014,Ikaroa Rawhiti,0.462669327
"NIKORA, Te HaÅmua ",Mana,2014,Ikaroa Rawhiti,0.240995485
"FOX, Marama ",Maori Party,2014,Ikaroa Rawhiti,0.182505513
"DAVIDSON, Marama ",Green Party,2014,Tamaki Makaurau,0.159322034
"HENARE, Peeni ",Labour Party,2014,Tamaki Makaurau,0.382733051
"PENE, Kereama ",Mana,2014,Tamaki Makaurau,0.133368644
"McLEAN, Rangi ",Maori Party,2014,Tamaki Makaurau,0.308474576
"McDONALD, Jack Tautokai ",Green Party,2014,Te Tai Hauauru,0.153496245
"RURAWHE, Adrian ",Labour Party,2014,Te Tai Hauauru,0.413413731
"WINIATA, Jordan ",Mana,2014,Te Tai Hauauru,0.099121972
"McKENZIE, Chris ",Maori Party,2014,Te Tai Hauauru,0.333968052
"DAVIS, Kelvin ",Labour Party,2014,Te Tai Tokerau,0.447304568
"HARAWIRA, Hone ",Mana,2014,Te Tai Tokerau,0.413018251
"PAENGA, Te Hira ",Maori Party,2014,Te Tai Tokerau,0.118788902
"LANGSBURY, Dora Roimata ",Green Party,2014,Te Tai Tonga,0.161293721
"TIRIKATENE, Rino ",Labour Party,2014,Te Tai Tonga,0.42920354
"BEYER, Georgina",Mana,2014,Te Tai Tonga,0.101453856
"BUTTON, Ngaire ",Maori Party,2014,Te Tai Tonga,0.248525074
"WAITITI, Rawiri ",Labour Party,2014,Waiariki,0.273452256
"SYKES, Annette ",Mana,2014,Waiariki,0.256873033
"FLAVELL, Te Ururoa James ",Maori Party,2014,Waiariki,0.455613851
