Candidate,Party,Year,Electorate,Candidate.Vote,Party.Vote.Electorate,Vote.to.Use,Incumbent
"SEVERIN, Toni ",ACT,2017,Christchurch East,NA,NA,0.003622813,FALSE
"MATHERS, Mojo ",Green Party,2017,Rangitata,NA,NA,0.10132976,FALSE
"PURCHAS, Sam",ACT,2017,Dunedin North,NA,NA,NA,FALSE
"SINGH, Bhupinder",ACT,2017,Manukau East,NA,NA,NA,FALSE
"SHAN, Ng",ACT,2017,Mana,NA,NA,NA,FALSE
"SINGH, Satnam",ACT,2017,Manurewa,NA,NA,NA,FALSE
"WELLS, Richard",ACT,2017,New Lynn,NA,NA,NA,FALSE
"SOLE, Chris",ACT,2017,Rongotai,NA,NA,NA,FALSE
"WARREN, Michael",ACT,2017,Wellington Central,NA,NA,NA,FALSE
"ZHU, Julie",Green Party,2017,Botany,NA,NA,NA,FALSE
"HUNT, Guy",Green Party,2017,Pakuranga,NA,NA,NA,FALSE
"NASH, Thomas",Green Party,2017,Palmerston North,NA,NA,NA,FALSE
"McCANDLESS, Robin",Green Party,2017,Rangitikei,NA,NA,NA,FALSE
"GILLIES, Richard",Green Party,2017,Rotorua,NA,NA,NA,FALSE
"STEVENSON, Philippa",Green Party,2017,Waikato,NA,NA,NA,FALSE
"PATTERSON, Mark",New Zealand First Party,2017,Clutha-Southland,NA,NA,NA,FALSE
"VOIGHT, Warren",New Zealand First Party,2017,Dunedin North,NA,NA,NA,FALSE
"RUSHTON, Kerry",New Zealand First Party,2017,Dunedin South,NA,NA,NA,FALSE
"PETERSON, Helen",New Zealand First Party,2017,Helensville,NA,NA,NA,FALSE
"FAMILTON, Alexander",New Zealand First Party,2017,Waitaki,NA,NA,NA,FALSE
"NADAKUITAVUKI, Bale",United Future,2017,Wellington Central,NA,NA,NA,FALSE
"FOSTER, John",United Future,2017,Kaikoura,NA,NA,NA,FALSE
"CARLEY, Bruce",ACT,2017,Bay of Plenty,NA,NA,NA,FALSE
"O'SULLIVAN, Grae ",ACT,2017,Rimutaka,NA,NA,NA,FALSE
"HAWKINS, Stuart",ACT,2017,Waimakariri,NA,NA,NA,FALSE
"WRIGLEY, Jo",Green Party,2017,Hamilton West,NA,NA,NA,FALSE
"TURNER, Judy",United Future,2017,East Coast,NA,NA,NA,FALSE
"TODD, Quentin ",United Future,2017,Hamilton West,NA,NA,0.002170094,FALSE
"LIGHT, Damian ",United Future,2017,Botany,NA,NA,0.004613492,FALSE
"MAXWELL, James ",United Future,2017,Otaki,NA,NA,0.002355833,FALSE
"BERRY, Stephen ",ACT,2017,East Coast Bays,NA,NA,0.01690896,FALSE
"VAN VELDEN, Brooke",ACT,2017,Auckland Central,NA,NA,0.007048823,FALSE
"SHIRIWASTOW, Vineet",ACT,2017,Coromandel,NA,NA,0.004278729,FALSE
"DOUGHTY, Dan",ACT,2017,Dunedin South,NA,NA,0.003875574,FALSE
"SEYMOUR, David ",ACT,2017,Epsom,NA,NA,0.43413235,FALSE
"McDOWALL, James",ACT,2017,Hamilton East,NA,NA,0.004133512,FALSE
"EVANS, Alex",ACT,2017,Helensville,NA,NA,0.008691207,FALSE
"SMITH, Anthony",ACT,2017,Hunua,NA,NA,0.012146166,FALSE
"PARKINS, Andy",ACT,2017,Hutt South,NA,NA,0.004687182,FALSE
"GILBERT, Paul",ACT,2017,Ilam,NA,NA,0.011722365,FALSE
"EVANS, Richard ",ACT,2017,Kaikoura,NA,NA,0.003666735,FALSE
"HUFFLETT, Paul ",ACT,2017,Nelson,NA,NA,0.00519507,FALSE
"KEARNEY, Nick ",ACT,2017,North Shore,NA,NA,0.015264829,FALSE
"HAYCOCK, Bruce ",ACT,2017,Northcote,NA,NA,0.011072381,FALSE
"NELSON, Craig ",ACT,2017,Northland,NA,NA,0.005773791,FALSE
"MOORE, Andi",ACT,2017,Ohariu,NA,NA,0.005696846,FALSE
"CORBETT, Tom ",ACT,2017,Rangitata,NA,NA,0.013406776,FALSE
"WILSON, Neil ",ACT,2017,Rangitikei,NA,NA,0.00522541,FALSE
"HOULBROOKE, Beth ",ACT,2017,Rodney,NA,NA,0.006320082,FALSE
"DAVIDSON, Brian",ACT,2017,Selwyn,NA,NA,0.002348616,FALSE
"MILNE, Mike ",ACT,2017,Tamaki,NA,NA,0.013257965,FALSE
"PEDERSEN, Stuart ",ACT,2017,Tauranga,NA,NA,0.004199529,FALSE
"KRONFELD, Tim",ACT,2017,Upper Harbour,NA,NA,0.01690896,FALSE
"GREENSLADE, Roger",ACT,2017,Wairarapa,NA,NA,0.002437043,FALSE
"ANDERSON, Colin",ACT,2017,Whanganui,NA,NA,0.007237513,FALSE
"ROCHE, Denise",Green Party,2017,Auckland Central,NA,NA,0.0763,FALSE
"SWEET, Cathy",Green Party,2017,Christchurch East,NA,NA,0.10132976,FALSE
"GOLDSMITH, Rachael ",Green Party,2017,Clutha-Southland,NA,NA,0.071217223,FALSE
"SUMMERFIELD, Scott",Green Party,2017,Coromandel,NA,NA,0.164221679,FALSE
"BOULD, Niki",Green Party,2017,Dunedin North,NA,NA,0.173691193,FALSE
"GALLAGHER, Shane ",Green Party,2017,Dunedin South,NA,NA,0.075879653,FALSE
"HUGHES, Gareth",Green Party,2017,East Coast,NA,NA,0.07762604,FALSE
"MAYNE, Nicholas",Green Party,2017,East Coast Bays,NA,NA,0.099446381,FALSE
"COATES, Barry ",Green Party,2017,Epsom,NA,NA,0.082155296,FALSE
"TAYLOR, Sam",Green Party,2017,Hamilton East,NA,NA,0.071923117,FALSE
"HOLT, Hayley",Green Party,2017,Helensville,NA,NA,0.12791411,FALSE
"RUTHVEN, Susanne ",Green Party,2017,Hutt South,NA,NA,0.083452211,FALSE
"SURENDRAN, Rochelle",Green Party,2017,Invercargill,NA,NA,0.074243813,FALSE
"McCUBBIN, Richard",Green Party,2017,Kaikoura,NA,NA,0.083825626,FALSE
"LOGIE, Jan ",Green Party,2017,Mana,NA,NA,0.084359606,FALSE
"DYETT, Elaine",Green Party,2017,Mangere,NA,NA,0.045608466,FALSE
"PARDEEP SINGH, Raj",Green Party,2017,Manukau East,NA,NA,0.026520396,FALSE
"TUIONO, Teanau",Green Party,2017,Manurewa,NA,NA,0.043534068,FALSE
"SWARBRICK, Chloe",Green Party,2017,Maungakiekie,NA,NA,0.062571817,FALSE
"GENTER, Julie Anne ",Green Party,2017,Mt Albert,NA,NA,0.088277858,FALSE
"MENENDEZ MARCH, Ricardo",Green Party,2017,Mt Roskill,NA,NA,0.050977148,FALSE
"RUSDEN, Damon",Green Party,2017,Napier,NA,NA,0.037916624,FALSE
"LAWREY, Matt",Green Party,2017,Nelson,NA,NA,0.091983294,FALSE
"LEILANI,Tamu",Green Party,2017,New Lynn,NA,NA,0.079370013,FALSE
"BRAMHALL, Stuart",Green Party,2017,New Plymouth,NA,NA,0.054818293,FALSE
"GRAHAM, Kennedy ",Green Party,2017,North Shore,NA,NA,0.09896527,FALSE
"JAUNG, Rebekah",Green Party,2017,Northcote,NA,NA,0.087758868,FALSE
"CLENDON, David",Green Party,2017,Northland,NA,NA,0.105062378,FALSE
