"","Electoral District","Year","Party","2014 Percent","lowr","upr"
"1","Auckland Central",2017,"ACT",0.0117,0,0
"2","Auckland Central",2017,"Conservative Party",0.0173,0,0
"3","Auckland Central",2017,"Green Party",0.2217,0,0
"4","Auckland Central",2017,"Labour Party",0.2167,0,0
"5","Auckland Central",2017,"Mana",0.0196,0,0
"6","Auckland Central",2017,"Maori Party",0.0056,0,0
"7","Auckland Central",2017,"National Party",0.4493,0,0
"8","Auckland Central",2017,"New Zealand First Party",0.0518,0,0
"9","Auckland Central",2017,"United Future",0.0019,0,0
"10","Bay of Plenty",2017,"ACT",0.0025,0,0
"11","Bay of Plenty",2017,"Conservative Party",0.0566,0,0
"12","Bay of Plenty",2017,"Green Party",0.0723,0,0
"13","Bay of Plenty",2017,"Labour Party",0.1307,0,0
"14","Bay of Plenty",2017,"Mana",0.0051,0,0
"15","Bay of Plenty",2017,"Maori Party",0.0057,0,0
"16","Bay of Plenty",2017,"National Party",0.5766,0,0
"17","Bay of Plenty",2017,"New Zealand First Party",0.1394,0,0
"18","Bay of Plenty",2017,"United Future",0.0021,0,0
"19","Botany",2017,"ACT",0.0241,0,0
"20","Botany",2017,"Conservative Party",0.0453,0,0
"21","Botany",2017,"Green Party",0.0435,0,0
"22","Botany",2017,"Labour Party",0.2227,0,0
"23","Botany",2017,"Mana",0.0061,0,0
"24","Botany",2017,"Maori Party",0.0021,0,0
"25","Botany",2017,"National Party",0.5965,0,0
"26","Botany",2017,"New Zealand First Party",0.0544,0,0
"27","Botany",2017,"United Future",0.0015,0,0
"28","Christchurch Central",2017,"ACT",0.0049,0,0
"29","Christchurch Central",2017,"Conservative Party",0.0311,0,0
"30","Christchurch Central",2017,"Green Party",0.1582,0,0
"31","Christchurch Central",2017,"Labour Party",0.2625,0,0
"32","Christchurch Central",2017,"Mana",0.0103,0,0
"33","Christchurch Central",2017,"Maori Party",0.0046,0,0
"34","Christchurch Central",2017,"National Party",0.4466,0,0
"35","Christchurch Central",2017,"New Zealand First Party",0.0719,0,0
"36","Christchurch Central",2017,"United Future",0.0023,0,0
"37","Christchurch East",2017,"ACT",0.0033,0,0
"38","Christchurch East",2017,"Conservative Party",0.0326,0,0
"39","Christchurch East",2017,"Green Party",0.1266,0,0
"40","Christchurch East",2017,"Labour Party",0.3216,0,0
"41","Christchurch East",2017,"Mana",0.0088,0,0
"42","Christchurch East",2017,"Maori Party",0.004,0,0
"43","Christchurch East",2017,"National Party",0.3979,0,0
"44","Christchurch East",2017,"New Zealand First Party",0.0945,0,0
"45","Christchurch East",2017,"United Future",0.0023,0,0
"46","Clutha-Southland",2017,"ACT",0.0036,0,0
"47","Clutha-Southland",2017,"Conservative Party",0.0504,0,0
"48","Clutha-Southland",2017,"Green Party",0.0773,0,0
"49","Clutha-Southland",2017,"Labour Party",0.1471,0,0
"50","Clutha-Southland",2017,"Mana",0.0046,0,0
"51","Clutha-Southland",2017,"Maori Party",0.0033,0,0
"52","Clutha-Southland",2017,"National Party",0.6338,0,0
"53","Clutha-Southland",2017,"New Zealand First Party",0.0624,0,0
"54","Clutha-Southland",2017,"United Future",0.002,0,0
"55","Coromandel",2017,"ACT",0.0037,0,0
"56","Coromandel",2017,"Conservative Party",0.0528,0,0
"57","Coromandel",2017,"Green Party",0.0982,0,0
"58","Coromandel",2017,"Labour Party",0.1571,0,0
"59","Coromandel",2017,"Mana",0.0068,0,0
"60","Coromandel",2017,"Maori Party",0.0049,0,0
"61","Coromandel",2017,"National Party",0.5417,0,0
"62","Coromandel",2017,"New Zealand First Party",0.125,0,0
"63","Coromandel",2017,"United Future",0.0017,0,0
"64","Dunedin North",2017,"ACT",0.0032,0,0
"65","Dunedin North",2017,"Conservative Party",0.0273,0,0
"66","Dunedin North",2017,"Green Party",0.2294,0,0
"67","Dunedin North",2017,"Labour Party",0.3182,0,0
"68","Dunedin North",2017,"Mana",0.0172,0,0
"69","Dunedin North",2017,"Maori Party",0.0035,0,0
"70","Dunedin North",2017,"National Party",0.3226,0,0
"71","Dunedin North",2017,"New Zealand First Party",0.0675,0,0
"72","Dunedin North",2017,"United Future",0.0025,0,0
"73","Dunedin South",2017,"ACT",0.0033,0,0
"74","Dunedin South",2017,"Conservative Party",0.0293,0,0
"75","Dunedin South",2017,"Green Party",0.1229,0,0
"76","Dunedin South",2017,"Labour Party",0.3327,0,0
"77","Dunedin South",2017,"Mana",0.0082,0,0
"78","Dunedin South",2017,"Maori Party",0.0025,0,0
"79","Dunedin South",2017,"National Party",0.3987,0,0
"80","Dunedin South",2017,"New Zealand First Party",0.0911,0,0
"81","Dunedin South",2017,"United Future",0.0017,0,0
"82","East Coast",2017,"ACT",0.0023,0,0
"83","East Coast",2017,"Conservative Party",0.0408,0,0
"84","East Coast",2017,"Green Party",0.0921,0,0
"85","East Coast",2017,"Labour Party",0.2274,0,0
"86","East Coast",2017,"Mana",0.0117,0,0
"87","East Coast",2017,"Maori Party",0.0095,0,0
"88","East Coast",2017,"National Party",0.4862,0,0
"89","East Coast",2017,"New Zealand First Party",0.1184,0,0
"90","East Coast",2017,"United Future",0.0022,0,0
"91","East Coast Bays",2017,"ACT",0.0176,0,0
"92","East Coast Bays",2017,"Conservative Party",0.067,0,0
"93","East Coast Bays",2017,"Green Party",0.0823,0,0
"94","East Coast Bays",2017,"Labour Party",0.1215,0,0
"95","East Coast Bays",2017,"Mana",0.0067,0,0
"96","East Coast Bays",2017,"Maori Party",0.0038,0,0
"97","East Coast Bays",2017,"National Party",0.6338,0,0
"98","East Coast Bays",2017,"New Zealand First Party",0.0596,0,0
"99","East Coast Bays",2017,"United Future",0.0021,0,0
"100","Epsom",2017,"ACT",0.0272,0,0
"101","Epsom",2017,"Conservative Party",0.0248,0,0
"102","Epsom",2017,"Green Party",0.1252,0,0
"103","Epsom",2017,"Labour Party",0.1342,0,0
"104","Epsom",2017,"Mana",0.0083,0,0
"105","Epsom",2017,"Maori Party",0.0046,0,0
"106","Epsom",2017,"National Party",0.636,0,0
"107","Epsom",2017,"New Zealand First Party",0.0348,0,0
"108","Epsom",2017,"United Future",0.0016,0,0
"109","Hamilton East",2017,"ACT",0.0072,0,0
"110","Hamilton East",2017,"Conservative Party",0.0481,0,0
"111","Hamilton East",2017,"Green Party",0.1102,0,0
"112","Hamilton East",2017,"Labour Party",0.2377,0,0
"113","Hamilton East",2017,"Mana",0.01,0,0
"114","Hamilton East",2017,"Maori Party",0.0064,0,0
"115","Hamilton East",2017,"National Party",0.5003,0,0
"116","Hamilton East",2017,"New Zealand First Party",0.0714,0,0
"117","Hamilton East",2017,"United Future",0.003,0,0
"118","Hamilton West",2017,"ACT",0.0048,0,0
"119","Hamilton West",2017,"Conservative Party",0.0467,0,0
"120","Hamilton West",2017,"Green Party",0.0821,0,0
"121","Hamilton West",2017,"Labour Party",0.2569,0,0
"122","Hamilton West",2017,"Mana",0.0072,0,0
"123","Hamilton West",2017,"Maori Party",0.0056,0,0
"124","Hamilton West",2017,"National Party",0.4773,0,0
"125","Hamilton West",2017,"New Zealand First Party",0.1082,0,0
"126","Hamilton West",2017,"United Future",0.0026,0,0
"127","Helensville",2017,"ACT",0.0074,0,0
"128","Helensville",2017,"Conservative Party",0.0478,0,0
"129","Helensville",2017,"Green Party",0.1358,0,0
"130","Helensville",2017,"Labour Party",0.1253,0,0
"131","Helensville",2017,"Mana",0.0096,0,0
"132","Helensville",2017,"Maori Party",0.0054,0,0
"133","Helensville",2017,"National Party",0.5851,0,0
"134","Helensville",2017,"New Zealand First Party",0.0738,0,0
"135","Helensville",2017,"United Future",0.0026,0,0
"136","Hunua",2017,"ACT",0.0087,0,0
