Candidate,Party,Year,Electorate,Candidate.Vote,Party.Vote.Electorate,Vote.to.Use,Candidate Previous Vote,Previous Candidate Vote electorate,Same Candidate,Same Electorate,Same Party,Incumbent,No Candidate Run Last Election,Mixer
"STEENEVELD, Mike",ACT,1999,Albany,0.070787637,0.1228,NA,0.034837855,0.052721532,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"McCONACHY, Heather Ann",Alliance,1999,Albany,0.11069732,0.0571,0.133860549,0.133860549,0.133860549,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"McCULLY, Murray",National Party,1999,Albany,0.401765292,0.3941,0.510964341,0.510964341,0.510964341,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"MacCLEMENT, Bera",Green Party,1999,Albany,0.046478212,0.0444,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"McCRACKEN, Hamish",Labour Party,1999,Albany,0.256671163,0.298,0.079748559,NA,0.079748559,FALSE,NA,NA,FALSE,FALSE,FALSE
"BRETT, Joy",New Zealand First Party,1999,Albany,0.022022169,0.03,0.173575505,NA,0.173575505,FALSE,NA,NA,FALSE,FALSE,FALSE
"RICHARDSON, Dean",ACT,1999,Aoraki,0.019422355,0.0498,NA,0.02135284,0.016090422,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"SUTTON, Jim",Labour Party,1999,Aoraki,0.514825435,0.4236,0.410229993,0.410229993,0.410229993,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"MUSGRAVE, David",Green Party,1999,Aoraki,0.031365477,0.0442,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"SIMMONS, Lynley",Alliance,1999,Aoraki,0.060040796,0.0847,0.091542681,NA,0.091542681,FALSE,NA,NA,FALSE,FALSE,FALSE
"MARRIOTT, Wayne",National Party,1999,Aoraki,0.303781003,0.3055,0.3213842,NA,0.3213842,FALSE,NA,NA,FALSE,FALSE,FALSE
"GOULD, Albert John",New Zealand First Party,1999,Aoraki,0.02084134,0.0292,0.139238205,NA,0.139238205,FALSE,NA,NA,FALSE,FALSE,FALSE
"MUSGRAVE, David",Green Party,2002,Aoraki,0.042843767,0.0515,0.031365477,0.031365477,0.031365477,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"SIMMONS, Lynley",Jim Anderton's Progressive,2002,Aoraki,0.014399638,0.0205,0.060040796,0.060040796,0.060040796,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"MARRIOTT, Wayne",National Party,2002,Aoraki,0.31843864,0.2412,0.303781003,0.303781003,0.303781003,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"SUTTON, Jim",Labour Party,2002,Aoraki,0.52678139,0.4456,0.514825435,0.514825435,0.514825435,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"BUNTING, Antony",United Future,2002,Aoraki,0.037968553,0.06,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"MURRAY, Kevin ",ACT,2002,Aoraki,0.018693701,0.044,0.019422355,NA,0.019422355,FALSE,NA,NA,FALSE,FALSE,FALSE
"BUCHANAN, Andrew",Alliance,2002,Aoraki,0.006360378,0.0108,0.060040796,NA,0.060040796,FALSE,NA,NA,FALSE,FALSE,FALSE
"SUTTON, Jim",Labour Party,2005,Aoraki,0.33706493,0.3996,0.52678139,0.52678139,0.52678139,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"ELSEN, Kate ",Green Party,2005,Aoraki,0.060757175,0.0448,0.042843767,NA,0.042843767,FALSE,NA,NA,FALSE,FALSE,FALSE
"MAIN, Claire ",Jim Anderton's Progressive,2005,Aoraki,0.009566456,0.0154,0.014399638,NA,0.014399638,FALSE,NA,NA,FALSE,FALSE,FALSE
"GOODHEW, Jo ",National Party,2005,Aoraki,0.543659678,0.4306,0.31843864,NA,0.31843864,FALSE,NA,NA,FALSE,FALSE,FALSE
"LUNDY, Kerry ",New Zealand First Party,2005,Aoraki,0.035823326,0.0602,0.02084134,NA,0.02084134,FALSE,NA,NA,FALSE,FALSE,FALSE
"ROGERS, Mark ",United Future,2005,Aoraki,0.010177081,0.0258,0.037968553,NA,0.037968553,FALSE,NA,NA,FALSE,FALSE,FALSE
"LEE, Sandra",Alliance,1999,Auckland Central,0.187775735,0.0706,0.265337882,0.265337882,0.265337882,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"TIZARD, Judith ",Labour Party,1999,Auckland Central,0.387408088,0.415,0.365685042,0.365685042,0.365685042,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"TÁNCZOS, Nándor",Green Party,1999,Auckland Central,0.093658088,0.1288,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"HUATA, Donna Awatere",ACT,1999,Auckland Central,0.070496324,0.0891,0.055306159,NA,0.055306159,FALSE,NA,NA,FALSE,FALSE,FALSE
"POULSEN, Martin",National Party,1999,Auckland Central,0.225490196,0.2356,0.223319567,NA,0.223319567,FALSE,NA,NA,FALSE,FALSE,FALSE
"RUPA, Dilip",New Zealand First Party,1999,Auckland Central,0.011642157,0.0204,0.046836655,NA,0.046836655,FALSE,NA,NA,FALSE,FALSE,FALSE
"BELTOWSKI, Lech",ACT,2002,Auckland Central,0.039847517,0.1063,NA,0.032795438,0.070496324,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"TREEN, Michael",Alliance,2002,Auckland Central,0.01189235,0.0162,NA,0.064973736,0.187775735,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"TÁNCZOS, Nándor",Green Party,2002,Auckland Central,0.202398019,0.158,0.093658088,0.093658088,0.093658088,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"TIZARD, Judith ",Labour Party,2002,Auckland Central,0.433272514,0.441,0.387408088,0.387408088,0.387408088,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"SHEPHERD, Viv ",Jim Anderton's Progressive,2002,Auckland Central,0.010849733,0.0148,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"TAYLOR, Steve ",United Future,2002,Auckland Central,0.025087971,0.0401,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"WONG, Pansy",National Party,2002,Auckland Central,0.263684348,0.1503,0.225490196,NA,0.225490196,FALSE,NA,NA,FALSE,FALSE,FALSE
"TAYLOR, Steve ",United Future,2005,Auckland Central,0.013016766,0.013,0.025087971,0.025087971,0.025087971,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"TÁNCZOS, Nándor",Green Party,2005,Auckland Central,0.150369676,0.1298,0.202398019,0.202398019,0.202398019,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"WONG, Pansy",National Party,2005,Auckland Central,0.336144955,0.3372,0.263684348,0.263684348,0.263684348,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"TIZARD, Judith ",Labour Party,2005,Auckland Central,0.445798188,0.4524,0.433272514,0.433272514,0.433272514,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"YATES, Bronwyn ",Maori Party,2005,Auckland Central,0.009267937,0.0061,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"TOWNSEND, Petronella ",Jim Anderton's Progressive,2005,Auckland Central,0.007497657,0.0081,0.010849733,NA,0.010849733,FALSE,NA,NA,FALSE,FALSE,FALSE
"BARAGWANATH, Susan ",New Zealand First Party,2005,Auckland Central,0.028116214,0.0284,0.011642157,NA,0.011642157,FALSE,NA,NA,FALSE,FALSE,FALSE
"TIZARD, Judith ",Labour Party,2008,Auckland Central,0.385322048,0.3455,0.445798188,0.445798188,0.445798188,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"UREN, Scott ",ACT,2008,Auckland Central,0.017031379,0.0414,0.039847517,NA,0.039847517,FALSE,NA,NA,FALSE,FALSE,FALSE
"DIVIS, Sarita ",Alliance,2008,Auckland Central,0.001135425,0.0003,0.01189235,NA,0.01189235,FALSE,NA,NA,FALSE,FALSE,FALSE
"ROCHE, Denise ",Green Party,2008,Auckland Central,0.134289843,0.1547,0.150369676,NA,0.150369676,FALSE,NA,NA,FALSE,FALSE,FALSE
"ROBSON, Justin ",Jim Anderton's Progressive,2008,Auckland Central,0.008051197,0.0064,0.007497657,NA,0.007497657,FALSE,NA,NA,FALSE,FALSE,FALSE
"KAYE, Nikki ",National Party,2008,Auckland Central,0.429087531,0.4008,0.336144955,NA,0.336144955,FALSE,NA,NA,FALSE,FALSE,FALSE
"GALEY-YOUNG, Aaron ",United Future,2008,Auckland Central,0.003715937,0.0048,0.013016766,NA,0.013016766,FALSE,NA,NA,FALSE,FALSE,FALSE
"ROCHE, Denise ",Green Party,2011,Auckland Central,0.087664696,0.2279,0.134289843,0.134289843,0.134289843,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"ARDERN, Jacinda ",Labour Party,2011,Auckland Central,0.432306256,0.2511,NA,0.22926232,0.385322048,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"KAYE, Nikki ",National Party,2011,Auckland Central,0.453885258,0.4224,0.429087531,0.429087531,0.429087531,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"GREENFIELD, Stephen ",Conservative Party,2011,Auckland Central,0.007158419,0.0082,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"SEYMOUR, David ",ACT,2011,Auckland Central,0.004461044,0.0118,0.017031379,NA,0.017031379,FALSE,NA,NA,FALSE,FALSE,FALSE
"DAVIES, Allen ",New Zealand First Party,2011,Auckland Central,0.012449424,0.041,0.028116214,NA,0.028116214,FALSE,NA,NA,FALSE,FALSE,FALSE
"ROCHE, Denise ",Green Party,2014,Auckland Central,0.076293148,0.2217,0.087664696,0.087664696,0.087664696,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"ARDERN, Jacinda ",Labour Party,2014,Auckland Central,0.436301441,0.2167,0.432306256,0.432306256,0.432306256,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"KAYE, Nikki ",National Party,2014,Auckland Central,0.458380844,0.4493,0.453885258,0.453885258,0.453885258,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"PIERARD, Miriam ",Mana,2014,Auckland Central,0.00995128,0.0196,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"KOVALENKO, Dasha ",ACT,2014,Auckland Central,0.007048823,0.0117,0.004461044,NA,0.004461044,FALSE,NA,NA,FALSE,FALSE,FALSE
"MONAHAN, Regan ",Conservative Party,2014,Auckland Central,0.009432984,0.0173,0.007158419,NA,0.007158419,FALSE,NA,NA,FALSE,FALSE,FALSE
"DONALD, Rod",Green Party,1999,Banks Peninsula,0.102784986,0.073,0.189611343,0.189611343,0.189611343,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"DYSON, Ruth",Labour Party,1999,Banks Peninsula,0.414002515,0.3735,0.296564195,0.296564195,0.296564195,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"CARTER, David",National Party,1999,Banks Peninsula,0.375076915,0.3369,0.411300679,0.411300679,0.411300679,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"KING, Paul",ACT,1999,Banks Peninsula,0.018834105,0.0674,0.014964489,NA,0.014964489,FALSE,NA,NA,FALSE,FALSE,FALSE
"WATSON, Maevis",Alliance,1999,Banks Peninsula,0.039433907,0.0758,0.189611343,NA,0.189611343,FALSE,NA,NA,FALSE,FALSE,FALSE
"CROFTS, Charlie",New Zealand First Party,1999,Banks Peninsula,0.013644025,0.021,0.046701785,NA,0.046701785,FALSE,NA,NA,FALSE,FALSE,FALSE
"KING, Paul",ACT,2002,Banks Peninsula,0.023098654,0.0751,0.018834105,0.018834105,0.018834105,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"DONALD, Rod",Green Party,2002,Banks Peninsula,0.11696117,0.1023,0.102784986,0.102784986,0.102784986,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
