Candidate,Party,Year,Electorate,Candidate.Vote,Party.Vote.Electorate,Vote.to.Use,Candidate Previous Vote,Previous Candidate Vote electorate,Same Candidate,Same Electorate,Same Party,Incumbent,No Candidate Run Last Election
"ANDERSON, Josie Marama",New Zealand First Party,1999,Hauraki,0.145116397,0.1334,0.159389128,NA,NA,NA,NA,NA,FALSE,TRUE
"JACKSON, Willie",Alliance,1999,Hauraki,0.093560223,0.0653,0.070900871,0.05905169,NA,NA,FALSE,TRUE,FALSE,TRUE
"KAHI, George Tearoha",National Party,1999,Hauraki,0.042257085,0.0567,0.045429485,NA,NA,NA,NA,NA,FALSE,TRUE
"TAMIHERE, John",Labour Party,1999,Hauraki,0.60298583,0.5607,0.473205425,NA,NA,NA,NA,NA,FALSE,TRUE
"CULLEN, Susan ",Maori Party,2014,Hauraki-Waikato,0.227019499,0.1197,0.173579109,NA,0.173579109,FALSE,NA,NA,FALSE,FALSE
"GREENSILL, Angeline Ngahina ",Maori Party,2008,Hauraki-Waikato,0.475034748,0.2768,0.437623328,0.437623328,NA,NA,FALSE,TRUE,FALSE,TRUE
"GREENSILL, Angeline Ngahina ",Mana,2011,Hauraki-Waikato,0.228439763,0.1122,0.475034748,0.475034748,NA,NA,TRUE,FALSE,FALSE,TRUE
"GREENSILL, Angeline Ngahina ",Mana,2014,Hauraki-Waikato,0.157381616,0.0808,0.228439763,0.228439763,NA,NA,TRUE,FALSE,FALSE,TRUE
"MAHUTA, Nanaia",Labour Party,2008,Hauraki-Waikato,0.524965252,0.5255,0.544617408,0.544617408,NA,NA,FALSE,TRUE,TRUE,TRUE
"MAHUTA, Nanaia",Labour Party,2011,Hauraki-Waikato,0.583717358,0.4611,0.524965252,0.524965252,0.524965252,TRUE,TRUE,TRUE,TRUE,FALSE
"MAHUTA, Nanaia",Labour Party,2014,Hauraki-Waikato,0.615598886,0.465,0.583717358,0.583717358,0.583717358,TRUE,TRUE,TRUE,TRUE,FALSE
"MATAKI, Tau Bruce ",Maori Party,2011,Hauraki-Waikato,0.173579109,0.1306,0.475034748,NA,0.475034748,FALSE,NA,NA,FALSE,FALSE
"DELAMERE, Alan Peter",National Party,2002,Ikaroa Rawhiti,0.046868461,0.0349,0.020710548,NA,0.020710548,FALSE,NA,NA,FALSE,FALSE
"FOX, Derek Tinia ",Maori Party,2008,Ikaroa Rawhiti,0.42956866,0.2689,0.443397248,NA,0.443397248,FALSE,NA,NA,FALSE,FALSE
"FOX, Marama ",Maori Party,2014,Ikaroa Rawhiti,0.182505513,0.1237,0.230959819,NA,0.230959819,FALSE,NA,NA,FALSE,FALSE
"GUDGEON, Bill ",New Zealand First Party,1999,Ikaroa Rawhiti,0.059708069,0.1198,0.46341365,NA,NA,NA,NA,NA,FALSE,TRUE
"HOROMIA, Parekura ",Labour Party,1999,Ikaroa Rawhiti,0.409914624,0.5903,0.298615734,NA,NA,NA,NA,NA,FALSE,TRUE
"HOROMIA, Parekura ",Labour Party,2002,Ikaroa Rawhiti,0.780583066,0.6008,0.409914624,0.409914624,0.409914624,TRUE,TRUE,TRUE,TRUE,FALSE
"HOROMIA, Parekura ",Labour Party,2005,Ikaroa Rawhiti,0.556602752,0.5828,0.780583066,0.780583066,0.780583066,TRUE,TRUE,TRUE,TRUE,FALSE
"HOROMIA, Parekura ",Labour Party,2008,Ikaroa Rawhiti,0.514898937,0.572,0.556602752,0.556602752,0.556602752,TRUE,TRUE,TRUE,TRUE,FALSE
"HOROMIA, Parekura ",Labour Party,2011,Ikaroa Rawhiti,0.607131315,0.4958,0.514898937,0.514898937,0.514898937,TRUE,TRUE,TRUE,TRUE,FALSE
"JOWSEY, Toni",Jim Anderton's Progressive,2002,Ikaroa Rawhiti,0.012763286,0.0129,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"KANI, Henare ",Green Party,2014,Ikaroa Rawhiti,0.100283524,0.1043,0.055532403,NA,0.055532403,FALSE,NA,NA,FALSE,FALSE
"McCLUTCHIE, Tawhai ",Mana,2011,Ikaroa Rawhiti,0.142841754,0.096,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"NIKORA, Te HaÅmua ",Mana,2014,Ikaroa Rawhiti,0.240995485,0.0987,0.142841754,NA,NA,NA,NA,NA,FALSE,TRUE
"POANANGA, Atareta ",Maori Party,2005,Ikaroa Rawhiti,0.443397248,0.2806,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"RAIHANIA, Na ",Maori Party,2011,Ikaroa Rawhiti,0.230959819,0.1498,0.42956866,NA,0.42956866,FALSE,NA,NA,FALSE,FALSE
"RATIMA, Des",Alliance,1999,Ikaroa Rawhiti,0.052712751,0.0671,0.0712158,NA,NA,NA,NA,NA,FALSE,TRUE
"ROBIN, Vicky",ACT,1999,Ikaroa Rawhiti,0.007656293,0.0054,0.024904215,NA,NA,NA,NA,NA,FALSE,TRUE
"STEPHENS, Dale ",National Party,1999,Ikaroa Rawhiti,0.020710548,0.0445,0.035718133,NA,NA,NA,NA,NA,FALSE,TRUE
"TIBBLE, John",Alliance,2002,Ikaroa Rawhiti,0.039754499,0.017,0.052712751,NA,0.052712751,FALSE,NA,NA,FALSE,FALSE
"TIPENE, Bevan ",Green Party,2008,Ikaroa Rawhiti,0.055532403,0.0316,NA,NA,NA,NA,NA,NA,FALSE,TRUE
