,Candidate,Party,Year,Electorate,2014 Vote,median,lowr,upr,% Win
1,"VAN VELDEN, Brooke",ACT,2017,Auckland Central,0.007048823,0.002648284,0.000661967,0.006880002,0
2,"ROCHE, Denise",Green Party,2017,Auckland Central,0.0763,0.121868927,0.10996857,0.135670829,0
3,"WHITE, Helen",Labour Party,2017,Auckland Central,0.436301441,0.308541376,0.283279938,0.333192112,0
4,"KAYE, Nikki",National Party,2017,Auckland Central,0.458380844,0.502593403,0.475814822,0.52458827,1
5,"CARLEY, Bruce",ACT,2017,Bay of Plenty,NA,0.00201245,0.000620358,0.009498097,0
6,"WARREN-CLARK, Angie",Labour Party,2017,Bay of Plenty,0.185374846,0.176050592,0.160692216,0.201554201,0
7,"MULLER, Todd",National Party,2017,Bay of Plenty,0.606923392,0.557731809,0.534412381,0.580165725,1
8,GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Bay of Plenty,0.069346838,0.185449331,0.124595868,0.262704831,0
9,"RICKARD, Ben",United Future,2017,Bay of Plenty,0.003789431,0.001350455,0.000185027,0.005831432,0
10,"ZHU, Julie",Green Party,2017,Botany,NA,0.053221273,0.038755205,0.06951851,0
11,"MAMEDOV, Tofik",Labour Party,2017,Botany,0.233632193,0.248185273,0.227974315,0.270981761,0
12,"ROSS, Jami-Lee",National Party,2017,Botany,0.651271893,0.582535504,0.558418005,0.605464021,1
13,"LIGHT, Damian",United Future,2017,Botany,0.004613492,0.001222476,0.000140548,0.005667102,0
14,GENERIC GREEN PARTY CANDIDATE,Green Party,2017,Christchurch Central,0.084359797,0.111862602,0.103160003,0.122572875,0
15,"WEB, Duncan",Labour Party,2017,Christchurch Central,0.389297174,0.324936157,0.298655038,0.348053408,0
16,"WAGNER, Nicky",National Party,2017,Christchurch Central,0.462167477,0.502079055,0.475796236,0.525450064,1
17,GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Christchurch Central,0.126792298,0.129331819,0.072191531,0.217350932,0
18,"SEVERIN, Toni",ACT,2017,Christchurch East,0.003622813,0.000684849,0.000126252,0.00285975,0
19,"SWEET, Cathy",Green Party,2017,Christchurch East,0.10132976,0.110529519,0.102197419,0.120306981,0
20,"WILLIAMS, Poto",Labour Party,2017,Christchurch East,0.48087826,0.387657141,0.356929118,0.411715237,0.662
21,"HAYES, Jo",National Party,2017,Christchurch East,0.352128647,0.377549645,0.35434484,0.397527084,0.338
22,"GOLDSMITH, Rachael",Green Party,2017,Clutha-Southland,0.071217223,0.082335955,0.074572919,0.090472691,0
23,"CHAPMAN, Cherie",Labour Party,2017,Clutha-Southland,0.198347107,0.191161809,0.174969746,0.214918533,0
24,"BARCLAY, Todd",National Party,2017,Clutha-Southland,0.640648913,0.597140561,0.574165759,0.618533773,1
25,"PATTERSON, Mark",New Zealand First Party,2017,Clutha-Southland,NA,0.051842581,0.029968264,0.082770842,0
26,"SHIRIWASTOW, Vineet",ACT,2017,Coromandel,0.004278729,0.000810674,0.000176308,0.00352236,0
27,"SUMMERFIELD, Scott",Green Party,2017,Coromandel,0.164221679,0.121761536,0.111144513,0.133220374,0
28,"BLOMFIELD, Nathaniel",Labour Party,2017,Coromandel,0.113386308,0.160495156,0.146601472,0.180698855,0
29,"SIMPSON, Scott",National Party,2017,Coromandel,0.587306438,0.605662973,0.579563106,0.630009594,1
30,GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,Coromandel,0.082964488,0.180778531,0.1175909,0.262593694,0
31,"PURCHAS, Sam",ACT,2017,Dunedin North,NA,0.002525374,0.000767597,0.009497154,0
32,"BOULD, Niki",Green Party,2017,Dunedin North,0.173691193,0.168203056,0.150951967,0.188637363,0
33,"CLARK, David",Labour Party,2017,Dunedin North,0.473925911,0.435295874,0.399959591,0.462955776,1
34,"WOODHOUSE, Michael",National Party,2017,Dunedin North,0.30207164,0.319888075,0.295302801,0.341453862,0
35,"VOIGHT, Warren",New Zealand First Party,2017,Dunedin North,NA,0.05355798,0.031553733,0.088223451,0
36,"DOUGHTY, Dan",ACT,2017,Dunedin South,0.003875574,0.000681431,0.000140297,0.0030215,0
37,"GALLAGHER, Shane",Green Party,2017,Dunedin South,0.075879653,0.097979366,0.090813855,0.106714186,0
38,"CURRAN, Clare",Labour Party,2017,Dunedin South,0.490668027,0.45080491,0.41570732,0.476642889,0.9855
39,"GREGORY, Matt",National Party,2017,Dunedin South,0.38663947,0.391063971,0.367713907,0.411603194,0.0145
40,"RUSHTON, Kerry",New Zealand First Party,2017,Dunedin South,NA,0.062168155,0.039595101,0.097148241,0
41,"HUGHES, Gareth",Green Party,2017,East Coast,0.07762604,0.090004104,0.082316381,0.098371655,0
42,"ALLAN, Kiri",Labour Party,2017,East Coast,0.293870007,0.273110391,0.250541714,0.296688859,0
43,"TOLLEY, Anne",National Party,2017,East Coast,0.523873088,0.549929437,0.522782653,0.57440286,1
44,GENERIC NZ FIRST CANDIDATE,New Zealand First Party,2017,East Coast,0.028818737,0.115145308,0.074472519,0.169644966,0
45,"TURNER, Judy",United Future,2017,East Coast,NA,0.002435727,0.000693007,0.007619081,0
46,"BERRY, Stephen",ACT,2017,East Coast Bays,0.01690896,0.005277197,0.00130145,0.01257333,0
47,"MAYNE, Nicholas",Green Party,2017,East Coast Bays,0.099446381,0.096807307,0.086708394,0.107332205,0
48,"CHEN, Naisi",Labour Party,2017,East Coast Bays,0.12148862,0.14525135,0.132613085,0.171220633,0
49,"STANFORD, Erica",National Party,2017,East Coast Bays,0.619233135,0.589611919,0.567039551,0.613345562,1
50,"SEYMOUR, David",ACT,2017,Epsom,0.43413235,0.336309111,0.159653565,0.465617524,0.82575
51,"COATES, Barry",Green Party,2017,Epsom,0.082155296,0.085567522,0.074190463,0.100376535,0.002
52,"DAVID, Parker",Labour Party,2017,Epsom,0.094345421,0.086058639,0.075700469,0.100002745,0.003
53,"GOLDSMITH, Paul",National Party,2017,Epsom,0.318582258,0.11407628,0.014457434,0.509390611,0.16925
