Company,Year,Date,Days Before,Electorate,Type,Size,Labour Party,National Party,New Zealand First Party,ACT,Green Party,United Future,Maori Party,Destiny,Progressive,Mana,Conservative Party,Independent/Other,Undecided/Not Stated
Digipoll,2005,31/08/2004,382,Te Tai Tokerau,Candidate,85,0.238664216,0.012806373,0.11875,0,0.012806373,0.012806373,0.488970588,0,0,NA,NA,0.065196079,0.05
Digipoll,2005,31/08/2004,382,Tamaki Makaurau,Candidate,85,0.349538639,0.06355248,0.142445213,0,0.015340254,0,0.301326413,0,0,NA,NA,0.077797001,0.05
Digipoll,2005,31/08/2004,382,Hauraki-Waikato,Candidate,85,0.374165554,0.026635514,0.147129506,0,0.026635514,0,0.280307076,0,0,NA,NA,0.095126836,0.05
Digipoll,2005,31/08/2004,382,Te Tai Hauauru,Candidate,85,0.204665899,0.036117512,0.060195853,0,0.012039171,0,0.612903226,0,0,NA,NA,0.024078341,0.05
Digipoll,2005,31/08/2004,382,Waiariki,Candidate,85,0.214702309,0.033475091,0.146597813,0,0.02308627,0,0.440947752,0,0,NA,NA,0.091190765,0.05
Digipoll,2005,31/08/2004,382,Ikaroa Rawhiti,Candidate,85,0.431288344,0.032638037,0.065276074,0,0,0,0.399815951,0,0,NA,NA,0.020981595,0.05
Digipoll,2005,31/08/2004,382,Te Tai Tonga,Candidate,85,0.342185592,0.105555556,0.132234432,0,0.078876679,0.026678877,0.237789988,0,0,NA,NA,0.026678877,0.05
Digipoll,2005,16/11/2004,305,Te Tai Tokerau,Candidate,103,0.250364583,0.02078125,0.197916667,0,0.02078125,0,0.4275,0,0,NA,NA,0.03265625,0.05
Digipoll,2005,16/11/2004,305,Tamaki Makaurau,Candidate,103,0.53115016,0,0.06171459,0,0.030351438,0,0.316666667,0,0,NA,NA,0.010117146,0.05
Digipoll,2005,16/11/2004,305,Hauraki-Waikato,Candidate,103,0.422877847,0.008850932,0.137681159,0,0.052122153,0,0.310766046,0,0,NA,NA,0.017701864,0.05
Digipoll,2005,16/11/2004,305,Te Tai Hauauru,Candidate,103,0.281709957,0.028787879,0.028787879,0,0.028787879,0,0.57267316,0,0,NA,NA,0.009253247,0.05
Digipoll,2005,16/11/2004,305,Waiariki,Candidate,103,0.359106529,0.010882016,0.073997709,0,0,0,0.453780069,0,0,NA,NA,0.052233677,0.05
Digipoll,2005,16/11/2004,305,Ikaroa Rawhiti,Candidate,103,0.351510248,0,0.142448759,0,0.019471413,0,0.398651564,0,0,NA,NA,0.037918015,0.05
Digipoll,2005,16/11/2004,305,Te Tai Tonga,Candidate,103,0.262469438,0.025550122,0.037163814,0,0.137041565,0,0.425061125,0,0,NA,NA,0.062713936,0.05
TNS,2005,22/06/2005,87,Tamaki Makaurau,Candidate,300,0.25,0,0,0,0,0,0.63,0,0,NA,NA,0,0.12
TNS,2005,22/06/2005,87,Ikaroa Rawhiti,Candidate,300,0.46,0,0,0,0,0,0.39,0,0,NA,NA,0,0.15
TNS,2005,22/06/2005,87,Waiariki,Candidate,300,0.31,0,0,0,0,0,0.55,0,0,NA,NA,0,0.14
TNS,2005,22/06/2005,87,Hauraki-Waikato,Candidate,300,0.4,0,0,0,0,0,0.44,0,0,NA,NA,0,0.16
TNS,2005,22/06/2005,87,Te Tai Tokerau,Candidate,300,0.25,0,0,0,0,0,0.53,0,0,NA,NA,0.11,0.11
TNS,2005,22/06/2005,87,Te Tai Hauauru,Candidate,300,0.14,0,0,0,0,0,0.74,0,0,NA,NA,0.06,0.06
TNS,2005,23/08/2005,25,Ikaroa Rawhiti,Candidate,350,0.62,0,0,0,0,0,0.32,0,0,NA,NA,0.06,0
TNS,2005,23/08/2005,25,Tamaki Makaurau,Candidate,350,0.43,0,0,0,0,0,0.49,0,0,NA,NA,0.08,0
TNS,2005,23/08/2005,25,Hauraki-Waikato,Candidate,350,0.57,0,0,0,0,0,0.36,0,0,NA,NA,0.07,0
TNS,2005,2/09/2005,15,Te Tai Hauauru,Candidate,350,0.277227723,0,0,0,0,0,0.623762376,0,0,NA,NA,0.099009901,0
TNS,2005,2/09/2005,15,Te Tai Tokerau,Candidate,350,0.3,0,0,0,0,0,0.49,0,0,NA,NA,0.21,0
TNS,2005,9/09/2005,8,Te Tai Tonga,Candidate,350,0.51,0,0,0,0.09,0,0.3,0,0.01,NA,NA,0.09,0
