Electorate,Party,Prev Elec Party Vote
Hauraki-Waikato,Labour Party,0.465
Ikaroa Rawhiti,Labour Party,0.4809
Tamaki Makaurau,Labour Party,0.4084
Te Tai Hauauru,Labour Party,0.4223
Te Tai Tokerau,Labour Party,0.3547
Te Tai Tonga,Labour Party,0.3692
Waiariki,Labour Party,0.3877
Hauraki-Waikato,National Party,0.0757
Ikaroa Rawhiti,National Party,0.0545
Tamaki Makaurau,National Party,0.0763
Te Tai Hauauru,National Party,0.0711
Te Tai Tokerau,National Party,0.0856
Te Tai Tonga,National Party,0.1445
Waiariki,National Party,0.0505
Hauraki-Waikato,New Zealand First Party,0.1337
Ikaroa Rawhiti,New Zealand First Party,0.1142
Tamaki Makaurau,New Zealand First Party,0.1412
Te Tai Hauauru,New Zealand First Party,0.1179
Te Tai Tokerau,New Zealand First Party,0.1455
Te Tai Tonga,New Zealand First Party,0.1289
Waiariki,New Zealand First Party,0.1267
Hauraki-Waikato,ACT,0.0021
Ikaroa Rawhiti,ACT,0.0011
Tamaki Makaurau,ACT,0.0019
Te Tai Hauauru,ACT,0.0013
Te Tai Tokerau,ACT,0.0016
Te Tai Tonga,ACT,0.0017
Waiariki,ACT,0.0008
Hauraki-Waikato,Green Party,0.0977
Ikaroa Rawhiti,Green Party,0.1043
Tamaki Makaurau,Green Party,0.1181
Te Tai Hauauru,Green Party,0.1193
Te Tai Tokerau,Green Party,0.1006
Te Tai Tonga,Green Party,0.1651
Waiariki,Green Party,0.0806
Hauraki-Waikato,United Future,0.0007
Ikaroa Rawhiti,United Future,0.0003
Tamaki Makaurau,United Future,0.0008
Te Tai Hauauru,United Future,0.0007
Te Tai Tokerau,United Future,0.0008
Te Tai Tonga,United Future,0.0009
Waiariki,United Future,0.0005
Hauraki-Waikato,Maori Party,0.1197
Ikaroa Rawhiti,Maori Party,0.1237
Tamaki Makaurau,Maori Party,0.1284
Te Tai Hauauru,Maori Party,0.1764
Te Tai Tokerau,Maori Party,0.1015
Te Tai Tonga,Maori Party,0.1125
Waiariki,Maori Party,0.2201
Hauraki-Waikato,Mana,0.0808
Ikaroa Rawhiti,Mana,0.0987
Tamaki Makaurau,Mana,0.1082
Te Tai Hauauru,Mana,0.0682
Te Tai Tokerau,Mana,0.1875
Te Tai Tonga,Mana,0.0496
Waiariki,Mana,0.1139
Hauraki-Waikato,Conservative Party,0.0076
Ikaroa Rawhiti,Conservative Party,0.006
Tamaki Makaurau,Conservative Party,0.0062
Te Tai Hauauru,Conservative Party,0.0057
Te Tai Tokerau,Conservative Party,0.0068
Te Tai Tonga,Conservative Party,0.0074
Waiariki,Conservative Party,0.0035
