"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"1","VAN VELDEN, Brooke","ACT",2017,"Auckland Central",0.007048823,0.00272515672734701,0.00104693525839118,0.00573261945586769,0
"2","ROCHE, Denise","Green Party",2017,"Auckland Central",0.0763,0.12223848232036,0.11024382226817,0.134936099597683,0
"3","WHITE, Helen","Labour Party",2017,"Auckland Central",0.436301441,0.305780420626095,0.292675159514577,0.318208696782319,0
"4","KAYE, Nikki","National Party",2017,"Auckland Central",0.458380844,0.504876614135856,0.494531791602111,0.51508339820811,1
"5","CARLEY, Bruce","ACT",2017,"Bay of Plenty",NA,0.00208356757984197,0.00100806708634089,0.00412886990753745,0
"6","WARREN-CLARK, Angie","Labour Party",2017,"Bay of Plenty",0.185374846,0.174255692098056,0.165832680567072,0.183379114797005,0
"7","MULLER, Todd","National Party",2017,"Bay of Plenty",0.606923392,0.560038342157679,0.548707422659068,0.571597972982827,1
"8","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Bay of Plenty",0.069346838,0.194315507782161,0.16602954164644,0.228380445984317,0
"9","RICKARD, Ben","United Future",2017,"Bay of Plenty",0.003789431,0.00134271555504849,0.000261681719888933,0.00464213925319403,0
"10","ZHU, Julie","Green Party",2017,"Botany",NA,0.0537406149827784,0.0457087295718219,0.0624384821162943,0
"11","MAMEDOV, Tofik","Labour Party",2017,"Botany",0.233632193,0.245971831498212,0.235900863843562,0.25599466337763,0
"12","ROSS, Jami-Lee","National Party",2017,"Botany",0.651271893,0.584799570107662,0.573003646205617,0.597079642751094,1
"13","LIGHT, Damian","United Future",2017,"Botany",0.004613492,0.00121085025778542,0.00019007209711598,0.00461543994677389,0
"14","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Christchurch Central",0.084359797,0.112002586435324,0.103695243405904,0.121189110957911,0
"15","WEB, Duncan","Labour Party",2017,"Christchurch Central",0.389297174,0.32172688356559,0.309187337486779,0.333744751718594,0
"16","WAGNER, Nicky","National Party",2017,"Christchurch Central",0.462167477,0.504847925654608,0.494410269045964,0.515100771502285,1
"17","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Christchurch Central",0.126792298,0.137817636452947,0.111569459780487,0.169324032405677,0
"18","SEVERIN, Toni","ACT",2017,"Christchurch East",0.003622813,0.000690257001570755,0.000209090678050657,0.00192364522185733,0
"19","SWEET, Cathy","Green Party",2017,"Christchurch East",0.10132976,0.110726779184676,0.103667908276863,0.118685904545671,0
"20","WILLIAMS, Poto","Labour Party",2017,"Christchurch East",0.48087826,0.384154721309366,0.369288207597164,0.397813870314163,0.6719
"21","HAYES, Jo","National Party",2017,"Christchurch East",0.352128647,0.37937328917832,0.37049946511355,0.388221910394075,0.3281
"22","GOLDSMITH, Rachael","Green Party",2017,"Clutha-Southland",0.071217223,0.0825743356189742,0.0771299993263926,0.0883030927051769,0
"23","CHAPMAN, Cherie","Labour Party",2017,"Clutha-Southland",0.198347107,0.189237573175136,0.180347968164376,0.198567245302212,0
"24","BARCLAY, Todd","National Party",2017,"Clutha-Southland",0.640648913,0.599292298888863,0.586915018736618,0.611690749879341,1
"25","PATTERSON, Mark","New Zealand First Party",2017,"Clutha-Southland",NA,0.0551103837285944,0.0406501720946986,0.0749042188205174,0
"26","SHIRIWASTOW, Vineet","ACT",2017,"Coromandel",0.004278729,0.000799530100751766,0.000251191440002014,0.00221677262316222,0
"27","SUMMERFIELD, Scott","Green Party",2017,"Coromandel",0.164221679,0.12214693874055,0.114266496261578,0.130727345321033,0
"28","BLOMFIELD, Nathaniel","Labour Party",2017,"Coromandel",0.113386308,0.158923445919097,0.151423463736211,0.167012070227302,0
"29","SIMPSON, Scott","National Party",2017,"Coromandel",0.587306438,0.608152196849959,0.597590212865137,0.618696920257445,1
"30","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Coromandel",0.082964488,0.190195225642497,0.161541014647717,0.223439105666834,0
"31","PURCHAS, Sam","ACT",2017,"Dunedin North",NA,0.00259049170340042,0.00124583306275808,0.00491805119189282,0
"32","BOULD, Niki","Green Party",2017,"Dunedin North",0.173691193,0.168417446060728,0.151655778658219,0.187306481016528,0
"33","CLARK, David","Labour Party",2017,"Dunedin North",0.473925911,0.431175277574501,0.414640622778759,0.44624940780866,1
"34","WOODHOUSE, Michael","National Party",2017,"Dunedin North",0.30207164,0.321865191870117,0.312384793080195,0.330927379013474,0
"35","VOIGHT, Warren","New Zealand First Party",2017,"Dunedin North",NA,0.0568292585732763,0.041576795573782,0.0779259779369526,0
"36","DOUGHTY, Dan","ACT",2017,"Dunedin South",0.003875574,0.000698449755544896,0.000214171944552899,0.00196244069485284,0
"37","GALLAGHER, Shane","Green Party",2017,"Dunedin South",0.075879653,0.0980753361801427,0.0920231739699472,0.105065234188384,0
"38","CURRAN, Clare","Labour Party",2017,"Dunedin South",0.490668027,0.446736279639885,0.430161054179976,0.4615661988887,1
"39","GREGORY, Matt","National Party",2017,"Dunedin South",0.38663947,0.39329183514069,0.383953224156405,0.402138619308561,0
"40","RUSHTON, Kerry","New Zealand First Party",2017,"Dunedin South",NA,0.0645869905108112,0.0478163351985112,0.0877954532691228,0
"41","HUGHES, Gareth","Green Party",2017,"East Coast",0.07762604,0.0903434008817917,0.0846844615168898,0.0964051297007316,0
"42","ALLAN, Kiri","Labour Party",2017,"East Coast",0.293870007,0.270434415907241,0.259633618830171,0.281087063902436,0
"43","TOLLEY, Anne","National Party",2017,"East Coast",0.523873088,0.552123876107555,0.541528148645275,0.562120865350738,1
"44","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"East Coast",0.028818737,0.121153243448597,0.102452272024344,0.143928303936055,0
"45","TURNER, Judy","United Future",2017,"East Coast",NA,0.00251043039831699,0.000953342914681557,0.0053148315168901,0
"46","BERRY, Stephen","ACT",2017,"East Coast Bays",0.01690896,0.00540535515838824,0.00220968426626018,0.0104944705416295,0
"47","MAYNE, Nicholas","Green Party",2017,"East Coast Bays",0.099446381,0.0972118859235943,0.0905213480275328,0.104355394052291,0
"48","CHEN, Naisi","Labour Party",2017,"East Coast Bays",0.12148862,0.143754380467983,0.136531246801025,0.152439862969467,0
"49","STANFORD, Erica","National Party",2017,"East Coast Bays",0.619233135,0.591653211081235,0.579962475867281,0.603715345502705,1
"50","SEYMOUR, David","ACT",2017,"Epsom",0.43413235,0.342399569807223,0.218744771723057,0.437763053919163,0.9759
"51","COATES, Barry","Green Party",2017,"Epsom",0.082155296,0.0858012635765273,0.0745626317473547,0.0994116019305463,0
"52","DAVID, Parker","Labour Party",2017,"Epsom",0.094345421,0.0852760211644374,0.076198508472302,0.095334087183882,1e-04
"53","GOLDSMITH, Paul","National Party",2017,"Epsom",0.318582258,0.13423062626543,0.0583542429266304,0.255574413582068,0.024
"54","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Epsom",0.021714404,0.0485835679592091,0.0370572841996186,0.0648501697634642,0
"55","McDOWALL, James","ACT",2017,"Hamilton East",0.004133512,0.00145441389497802,0.000519328409771278,0.00332088237170398,0
"56","TAYLOR, Sam","Green Party",2017,"Hamilton East",0.071923117,0.0938865229042053,0.0877764037708212,0.100640961469817,0
"57","STRANGE, Jamie","Labour Party",2017,"Hamilton East",0.271985119,0.268629897483252,0.25795305312986,0.279039406885702,0
"58","BENNETT, David","National Party",2017,"Hamilton East",0.573628191,0.579295922176141,0.568444735452607,0.589675061223071,1
"59","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hamilton East",0.233549959,0.190211582650333,0.151700010521594,0.234416780416744,0
"60","WRIGLEY, Jo","Green Party",2017,"Hamilton West",NA,0.0805425194646888,0.0721432243803098,0.0900517591772976,0
