"","Electoral District","Year","Party","2014 Percent","median","lowr","upr"
"1","Auckland Central",2017,"ACT",0.0117,0.00747252343454909,0.00360401001360447,0.0123300299200635
"2","Auckland Central",2017,"Conservative Party",0.0173,0.000244486594435163,0.000116474425403464,0.000589060908942948
"3","Auckland Central",2017,"Green Party",0.2217,0.238621287013914,0.23013756713565,0.247850991699998
"4","Auckland Central",2017,"Labour Party",0.2167,0.204792777187546,0.190168298596665,0.219632393207256
"5","Auckland Central",2017,"Mana",0.0196,0.00123516506154119,0.000509652815625688,0.00428722348655348
"6","Auckland Central",2017,"Maori Party",0.0056,0.00517893263368443,0.00388602410200674,0.00769523687305342
"7","Auckland Central",2017,"National Party",0.4493,0.429833286619023,0.413541999264912,0.445583643763457
"8","Auckland Central",2017,"New Zealand First Party",0.0518,0.0991475076406462,0.0811157507378221,0.120250270065321
"9","Auckland Central",2017,"United Future",0.0019,0.00261370237237463,0.0009640859052201,0.00583448249908315
"10","Bay of Plenty",2017,"ACT",0.0025,0.00159669304157032,0.000770087609744545,0.00331913317476736
"11","Bay of Plenty",2017,"Conservative Party",0.0566,0.000799880996822554,0.000381066617215958,0.0019272166153856
"12","Bay of Plenty",2017,"Green Party",0.0723,0.0934989035413851,0.0830763775995922,0.104268980406612
"13","Bay of Plenty",2017,"Labour Party",0.1307,0.123518301700103,0.114697723242197,0.134719247819188
"14","Bay of Plenty",2017,"Mana",0.0051,0.000321394990503065,0.000132613742841378,0.00111555305007259
"15","Bay of Plenty",2017,"Maori Party",0.0057,0.00527141357357165,0.00395541738954257,0.00830368859419896
"16","Bay of Plenty",2017,"National Party",0.5766,0.557133286619023,0.540841999264912,0.572883643763457
"17","Bay of Plenty",2017,"New Zealand First Party",0.1394,0.198944866491065,0.177387479907077,0.220987982488745
"18","Bay of Plenty",2017,"United Future",0.0021,0.00299661440387724,0.00106556863208537,0.00699314660127272
"19","Botany",2017,"ACT",0.0241,0.0153921209207379,0.00742364455793742,0.0248704693800619
"20","Botany",2017,"Conservative Party",0.0453,0.000640187440919818,0.000304987946287687,0.00154245428757893
"21","Botany",2017,"Green Party",0.0435,0.0651401082546369,0.0544078463154684,0.0766000702083895
"22","Botany",2017,"Labour Party",0.2227,0.210463089430856,0.195433687574883,0.226554138942595
"23","Botany",2017,"Mana",0.0061,0.000384413616091901,0.000158616437516158,0.00133428894224369
"24","Botany",2017,"Maori Party",0.0021,0.00194209973763166,0.00145725903825253,0.00476488203434099
"25","Botany",2017,"National Party",0.5965,0.577033286619023,0.560741999264912,0.592783643763457
"26","Botany",2017,"New Zealand First Party",0.0544,0.114997246653941,0.0927968382637408,0.139404394681516
"27","Botany",2017,"United Future",0.0015,0.0024098578513616,0.000761120451489553,0.0065368325009676
"28","Christchurch Central",2017,"ACT",0.0049,0.00312951836147782,0.00150937171509931,0.00559960653744145
"29","Christchurch Central",2017,"Conservative Party",0.0311,0.000439510583059745,0.0002093846606964,0.0010589476455564
"30","Christchurch Central",2017,"Green Party",0.1582,0.176314803493818,0.167282806218434,0.186255977550399
"31","Christchurch Central",2017,"Labour Party",0.2625,0.248076160644812,0.230360767797067,0.265567834827878
"32","Christchurch Central",2017,"Mana",0.0103,0.000649091843565013,0.000267827755150234,0.00225297968936229
"33","Christchurch Central",2017,"Maori Party",0.0046,0.00425412323481221,0.00319209122664839,0.00684431921377193
"34","Christchurch Central",2017,"National Party",0.4466,0.427133286619023,0.410841999264912,0.442883643763457
"35","Christchurch Central",2017,"New Zealand First Party",0.0719,0.122677590061287,0.103294496390306,0.145057630500101
"36","Christchurch Central",2017,"United Future",0.0023,0.00306757009335239,0.00116705135895065,0.00648839674437523
"37","Christchurch East",2017,"ACT",0.0033,0.00210763481487282,0.0010165156448628,0.00403154845825874
"38","Christchurch East",2017,"Conservative Party",0.0326,0.000460708842692854,0.000219483599315201,0.00111002229084046
"39","Christchurch East",2017,"Green Party",0.1266,0.145275251812657,0.13587996960214,0.156030850190298
"40","Christchurch East",2017,"Labour Party",0.3216,0.304016652976533,0.282420745504996,0.324650812750347
"41","Christchurch East",2017,"Mana",0.0088,0.00055456390518176,0.000228823713138064,0.00192487585110565
"42","Christchurch East",2017,"Maori Party",0.004,0.00369923759548888,0.00277573150143338,0.00631368976344049
"43","Christchurch East",2017,"National Party",0.3979,0.378433286619023,0.362141999264912,0.394183643763457
"44","Christchurch East",2017,"New Zealand First Party",0.0945,0.146956177091032,0.12670698264657,0.171112274846584
"45","Christchurch East",2017,"United Future",0.0023,0.00309318775280527,0.00116705135895065,0.00666135521442949
"46","Clutha-Southland",2017,"ACT",0.0036,0.00229923797986126,0.00110892615803215,0.00436677448002255
"47","Clutha-Southland",2017,"Conservative Party",0.0504,0.000712261523672382,0.000339324337591596,0.00171610808154477
"48","Clutha-Southland",2017,"Green Party",0.0773,0.0971704330213403,0.0873783062522526,0.107343480288145
"49","Clutha-Southland",2017,"Labour Party",0.1471,0.13901715516515,0.129089786449328,0.150821682614149
"50","Clutha-Southland",2017,"Mana",0.0046,0.000289885677708647,0.000119612395503988,0.00100618510398704
"51","Clutha-Southland",2017,"Maori Party",0.0033,0.00305187101627832,0.00228997848868254,0.00574489751008866
"52","Clutha-Southland",2017,"National Party",0.6338,0.614333286619023,0.598041999264912,0.630083643763457
"53","Clutha-Southland",2017,"New Zealand First Party",0.0624,0.118132674252231,0.0977893020805961,0.139584757693558
"54","Clutha-Southland",2017,"United Future",0.002,0.00283823965717389,0.00101482726865274,0.00658428726099837
"55","Coromandel",2017,"ACT",0.0037,0.00236310570152407,0.00113972966242193,0.00451096833272587
"56","Coromandel",2017,"Conservative Party",0.0528,0.000746178739085352,0.00035548263938167,0.00179782751399928
"57","Coromandel",2017,"Green Party",0.0982,0.119291179294494,0.108911625228892,0.130048517667456
"58","Coromandel",2017,"Labour Party",0.1571,0.148467675570667,0.137865434746359,0.161044585177821
"59","Coromandel",2017,"Mana",0.0068,0.000428526654004086,0.000176818323788504,0.00148740406676345
"60","Coromandel",2017,"Maori Party",0.0049,0.00453156605447387,0.00340027108925589,0.00749235995088035
"61","Coromandel",2017,"National Party",0.5417,0.522233286619023,0.505941999264912,0.537983643763457
"62","Coromandel",2017,"New Zealand First Party",0.125,0.184169441349246,0.162776498532739,0.206464378736938
"63","Coromandel",2017,"United Future",0.0017,0.00259185331891918,0.000862603178354827,0.00658279264165021
"64","Dunedin North",2017,"ACT",0.0032,0.00204376709321001,0.000985712140473018,0.00395486531815762
"65","Dunedin North",2017,"Conservative Party",0.0273,0.000385808325322541,0.000183800682862115,0.000929558544170084
"66","Dunedin North",2017,"Green Party",0.2294,0.248658223519027,0.238996956485913,0.259524511196766
"67","Dunedin North",2017,"Labour Party",0.3182,0.30071555930354,0.27924112881153,0.321375201272781
"68","Dunedin North",2017,"Mana",0.0172,0.00108392036012798,0.000447246348406215,0.00376225734534285
"69","Dunedin North",2017,"Maori Party",0.0035,0.00323683289605277,0.00242876506375421,0.00588523526163157
"70","Dunedin North",2017,"National Party",0.3226,0.303133286619023,0.286841999264912,0.318883643763457
"71","Dunedin North",2017,"New Zealand First Party",0.0675,0.121522536714779,0.100808074757261,0.14589899635007
"72","Dunedin North",2017,"United Future",0.0025,0.00331923011096298,0.00126853408581592,0.00700002001474632
"73","Dunedin South",2017,"ACT",0.0033,0.00210763481487282,0.0010165156448628,0.00399333717146867
"74","Dunedin South",2017,"Conservative Party",0.0293,0.000414072671500017,0.000197265934353843,0.000997658071215511
"75","Dunedin South",2017,"Green Party",0.1229,0.140608011316771,0.131656689954506,0.151010914241031
"76","Dunedin South",2017,"Labour Party",0.3327,0.315116652976533,0.293520745504996,0.335545320549211
"77","Dunedin South",2017,"Mana",0.0082,0.000516752729828457,0.000213222096333196,0.00179363431580299
"78","Dunedin South",2017,"Maori Party",0.0025,0.00231202349718055,0.00173483218839586,0.00470265729831959
"79","Dunedin South",2017,"National Party",0.3987,0.379233286619023,0.362941999264912,0.394983643763457
"80","Dunedin South",2017,"New Zealand First Party",0.0911,0.140769289922848,0.121200732509426,0.164545010237409
"81","Dunedin South",2017,"United Future",0.0017,0.00245100040679458,0.000862603178354827,0.00585138554994386
"82","East Coast",2017,"ACT",0.0023,0.00146895759824469,0.000708480600964982,0.0030853123157104
"83","East Coast",2017,"Conservative Party",0.0408,0.000576592662020502,0.000274691130431291,0.00138923035172672
"84","East Coast",2017,"Green Party",0.0921,0.112351705149703,0.102283202751585,0.122907856502661
"85","East Coast",2017,"Labour Party",0.2274,0.214904834021449,0.199558242274488,0.23100281422081
"86","East Coast",2017,"Mana",0.0117,0.000737317919389384,0.000304231527694926,0.00255920993840182
"87","East Coast",2017,"Maori Party",0.0095,0.00878568928928608,0.00659236231590428,0.0119725335118489
"88","East Coast",2017,"National Party",0.4862,0.466733286619023,0.450441999264912,0.482483643763457
"89","East Coast",2017,"New Zealand First Party",0.1184,0.175106360001001,0.154324784913513,0.197944395947413
"90","East Coast",2017,"United Future",0.0022,0.00305604561422745,0.00111630999551801,0.0068722195175388
"91","East Coast Bays",2017,"ACT",0.0176,0.011240719012655,0.0054214167726016,0.0185155865867985
"92","East Coast Bays",2017,"Conservative Party",0.067,0.000946855596945427,0.000451085924972949,0.00228133415602182
