"","Electorate","Party","2014 Vote","MEPVSim$Pred","median","lowr","upr"
"1","Hauraki-Waikato","ACT",0.0021,0.00478819145948912,0.00401749914499345,0.000376724051776167,0.0235186073391326
"2","Hauraki-Waikato","Conservative Party",0.0076,0.0131470536660297,0.00990101326360029,0.00061218821745084,0.0513908123012771
"3","Hauraki-Waikato","Green Party",0.0977,0.102936329770301,0.105689814280296,0.0514363935763359,0.160374573446621
"4","Hauraki-Waikato","Labour Party",0.465,0.489856981753678,0.484800883329346,0.392937238052128,0.597130832401582
"5","Hauraki-Waikato","Mana",0.0808,0.0584691060125728,0.0664560875032346,0.0170491091913539,0.115365799123231
"6","Hauraki-Waikato","Maori Party",0.1197,0.0399022955026572,0.0926196051088206,0.0329185504001353,0.152558975324511
"7","Hauraki-Waikato","National Party",0.0757,0.077540915795753,0.0780116806078173,0.0310990048110924,0.128763454637948
"8","Hauraki-Waikato","New Zealand First Party",0.1337,0.210848074583988,0.144035422449023,0.00335232587329946,0.263636103471215
"9","Hauraki-Waikato","United Future",7e-04,0.00251105145553164,0.00286448994845117,0.0003006604984349,0.0102711689474181
"10","Ikaroa Rawhiti","ACT",0.0011,0.00467729074567339,0.00364472414912879,0.000368549430605164,0.0179299234047752
"11","Ikaroa Rawhiti","Conservative Party",0.006,0.0210545999133588,0.00882227985273179,0.000539384206958708,0.0461136335352562
"12","Ikaroa Rawhiti","Green Party",0.1043,0.109331018132983,0.11235145228368,0.0584291553054644,0.167235556170561
"13","Ikaroa Rawhiti","Labour Party",0.4809,0.507918820704211,0.502469347793231,0.410215523929836,0.610072914509134
"14","Ikaroa Rawhiti","Mana",0.0987,0.0905994204655793,0.0843795645516142,0.030803407545883,0.139397695401558
"15","Ikaroa Rawhiti","Maori Party",0.1237,0.080174818672849,0.0963757320498827,0.0371184277755334,0.154581989713033
"16","Ikaroa Rawhiti","National Party",0.0545,0.0485717389182961,0.0569193163038186,0.0155303941771104,0.0996006309918292
"17","Ikaroa Rawhiti","New Zealand First Party",0.1142,0.133955324135349,0.122962876111482,0.0030420857236424,0.238371194149005
"18","Ikaroa Rawhiti","United Future",3e-04,0.00371696831170106,0.00248519069227004,0.000248795351427209,0.00575341569641016
"19","Tamaki Makaurau","ACT",0.0019,0.0164207482558387,0.00398230962311557,0.000370227136168378,0.0223153897368757
"20","Tamaki Makaurau","Conservative Party",0.0062,0.0257405304334488,0.00900886019169109,0.00057733607933941,0.0458993102084186
"21","Tamaki Makaurau","Green Party",0.1181,0.112705754404952,0.12475799727422,0.0679264503501155,0.185635304559443
"22","Tamaki Makaurau","Labour Party",0.4084,0.468845411756104,0.426303190859097,0.33584334964702,0.532767345828954
"23","Tamaki Makaurau","Mana",0.1082,0.102699988085938,0.0933650306633548,0.0374098915704202,0.148934957072315
"24","Tamaki Makaurau","Maori Party",0.1284,0.0770775513789273,0.100895755240269,0.0408083213914721,0.161566549177492
"25","Tamaki Makaurau","National Party",0.0763,0.0894220447705295,0.0781280188057393,0.0306719718142763,0.127413692340468
"26","Tamaki Makaurau","New Zealand First Party",0.1412,0.104579468255264,0.150369403935255,0.00456804212624461,0.275170082974338
"27","Tamaki Makaurau","United Future",8e-04,0.00250850265899781,0.00293302350922176,0.000295241948604604,0.0113817474202521
"28","Te Tai Hauauru","ACT",0.0013,0.000269735525157505,0.00377543570325824,0.00037066332282352,0.0185340282194265
"29","Te Tai Hauauru","Conservative Party",0.0057,0.00322408662590303,0.00828318686574026,0.000581746767456,0.0444950653079701
"30","Te Tai Hauauru","Green Party",0.1193,0.126559922302907,0.126735227468903,0.0703065716714274,0.187071247894759
"31","Te Tai Hauauru","Labour Party",0.4223,0.428866451193537,0.445289305405858,0.355201640563022,0.547650224789551
"32","Te Tai Hauauru","Mana",0.0682,0.05192308459398,0.0535660347541288,0.00673711032244004,0.100573994736998
"33","Te Tai Hauauru","Maori Party",0.1764,0.171660575254356,0.147927563039262,0.0820088226681564,0.215689846768746
"34","Te Tai Hauauru","National Party",0.0711,0.101381506726852,0.0733212351299687,0.0270400792177891,0.121509475483158
"35","Te Tai Hauauru","New Zealand First Party",0.1179,0.115974813051588,0.126247011162114,0.00337044465807048,0.243509762553425
"36","Te Tai Hauauru","United Future",7e-04,0.000139824725719414,0.00285495385778294,0.000277744839850487,0.0101398828530087
"37","Te Tai Tokerau","ACT",0.0016,0.0208198215054616,0.00383930852111747,0.000357548737728301,0.0206759060920807
"38","Te Tai Tokerau","Conservative Party",0.0068,0.0037264279771548,0.00965545014978962,0.000588119701129322,0.0472184108009116
"39","Te Tai Tokerau","Green Party",0.1006,0.102921879678365,0.108085366951682,0.0535485262371817,0.166461893403356
"40","Te Tai Tokerau","Labour Party",0.3547,0.33856288013892,0.377103785022149,0.290099480168276,0.478631486291384
"41","Te Tai Tokerau","Mana",0.1875,0.159249160885507,0.171751117734032,0.104551218086963,0.245112301065714
"42","Te Tai Tokerau","Maori Party",0.1015,0.0592139700592486,0.0741167938603175,0.0178937541831937,0.129173995671651
"43","Te Tai Tokerau","National Party",0.0856,0.0346686890615723,0.0875559542221813,0.0361543374332542,0.138880658521578
"44","Te Tai Tokerau","New Zealand First Party",0.1455,0.277292316485937,0.1550124658895,0.00440162707535262,0.278426088847469
"45","Te Tai Tokerau","United Future",8e-04,0.00354485420783349,0.00296402424751616,0.000285684434258882,0.0114388563941739
