Candidate,Party,Year,Electorate,2014 Vote
"SEVERIN, Toni ",ACT,2017,Christchurch East,0.003622813
"MATHERS, Mojo ",Green Party,2017,Rangitata,0.10132976
"PURCHAS, Sam",ACT,2017,Dunedin North,NA
"SINGH, Bhupinder",ACT,2017,Manukau East,NA
"SHAN, Ng",ACT,2017,Mana,NA
"SINGH, Satnam",ACT,2017,Manurewa,NA
"WELLS, Richard",ACT,2017,New Lynn,NA
"SOLE, Chris",ACT,2017,Rongotai,NA
"WARREN, Michael",ACT,2017,Wellington Central,NA
"ZHU, Julie",Green Party,2017,Botany,NA
"HUNT, Guy",Green Party,2017,Pakuranga,NA
"NASH, Thomas",Green Party,2017,Palmerston North,NA
"McCANDLESS, Robin",Green Party,2017,Rangitikei,NA
"GILLIES, Richard",Green Party,2017,Rotorua,NA
"STEVENSON, Philippa",Green Party,2017,Waikato,NA
"PATTERSON, Mark",New Zealand First Party,2017,Clutha-Southland,NA
"VOIGHT, Warren",New Zealand First Party,2017,Dunedin North,NA
"RUSHTON, Kerry",New Zealand First Party,2017,Dunedin South,NA
"PETERSON, Helen",New Zealand First Party,2017,Helensville,NA
"FAMILTON, Alexander",New Zealand First Party,2017,Waitaki,NA
"NADAKUITAVUKI, Bale",United Future,2017,Wellington Central,NA
"FOSTER, John",United Future,2017,Kaikoura,NA
"CARLEY, Bruce",ACT,2017,Bay of Plenty,NA
"O'SULLIVAN, Grae ",ACT,2017,Rimutaka,NA
"HAWKINS, Stuart",ACT,2017,Waimakariri,NA
"WRIGLEY, Jo",Green Party,2017,Hamilton West,NA
"TURNER, Judy",United Future,2017,East Coast,NA
"TODD, Quentin ",United Future,2017,Hamilton West,0.002170094
"LIGHT, Damian ",United Future,2017,Botany,0.004613492
"MAXWELL, James ",United Future,2017,Otaki,0.002355833
"BERRY, Stephen ",ACT,2017,East Coast Bays,0.01690896
"VAN VELDEN, Brooke",ACT,2017,Auckland Central,0.007048823
"SHIRIWASTOW, Vineet",ACT,2017,Coromandel,0.004278729
"DOUGHTY, Dan",ACT,2017,Dunedin South,0.003875574
"SEYMOUR, David ",ACT,2017,Epsom,0.43413235
"McDOWALL, James",ACT,2017,Hamilton East,0.004133512
"EVANS, Alex",ACT,2017,Helensville,0.008691207
"SMITH, Anthony",ACT,2017,Hunua,0.012146166
"PARKINS, Andy",ACT,2017,Hutt South,0.004687182
"GILBERT, Paul",ACT,2017,Ilam,0.011722365
"EVANS, Richard ",ACT,2017,Kaikoura,0.003666735
"HUFFLETT, Paul ",ACT,2017,Nelson,0.00519507
"KEARNEY, Nick ",ACT,2017,North Shore,0.015264829
"HAYCOCK, Bruce ",ACT,2017,Northcote,0.011072381
"NELSON, Craig ",ACT,2017,Northland,0.005773791
"MOORE, Andi",ACT,2017,Ohariu,0.005696846
"CORBETT, Tom ",ACT,2017,Rangitata,0.013406776
"WILSON, Neil ",ACT,2017,Rangitikei,0.00522541
"HOULBROOKE, Beth ",ACT,2017,Rodney,0.006320082
"DAVIDSON, Brian",ACT,2017,Selwyn,0.002348616
"MILNE, Mike ",ACT,2017,Tamaki,0.013257965
"PEDERSEN, Stuart ",ACT,2017,Tauranga,0.004199529
"KRONFELD, Tim",ACT,2017,Upper Harbour,0.01690896
"GREENSLADE, Roger",ACT,2017,Wairarapa,0.002437043
"ANDERSON, Colin",ACT,2017,Whanganui,0.007237513
"BAKER, Leighton ",Conservative Party,2017,Christchurch East,0.040202041
"ASHTON, Lachie ",Conservative Party,2017,Clutha-Southland,0.041730436
"FRAUENSTEIN, Martin",Conservative Party,2017,Ilam,0.03403599
"IKILEI, Elliot Ewen Pasione ",Conservative Party,2017,Manurewa,0.021713552
"JOHNSON, Jeffrey ",Conservative Party,2017,Mt Albert,0.01467852
"DAVIE, Paul ",Conservative Party,2017,New Lynn,0.03906331
"TAYLOR, Melanie",Conservative Party,2017,Northland,0.044849985
"LARKINS, Roger",Conservative Party,2017,Port Hills,0.016046607
