Pollster,Days Before,Labour,National,NZ First,ACT,Green,United Future,Maori,Mana,Conservative,Labour Miss,National Miss,NZ First Miss,ACT Miss,Green Miss,United Future Miss,Maori Miss,Mana Miss,Conservative Miss
TNS,96,-0.011,-0.031,0.053,0,0.007,-0.027,-0.021,NA,NA,-0.0084,0.0141,0.0018,0.0025,0.008,-0.0067,-0.0064,NA,NA
Nielsen,91,-0.011,-0.011,0.023,0.005,-0.003,-0.007,-0.001,NA,NA,-0.0084,0.0141,0.0018,0.0025,0.008,-0.0067,-0.0064,NA,NA
Colmar Brunton,90,-0.001,0.039,0.013,0.005,-0.023,-0.017,-0.001,NA,NA,-0.0084,0.0141,0.0018,0.0025,0.008,-0.0067,-0.0064,NA,NA
Colmar Brunton,61,-0.021,0.029,0.013,-0.005,0.007,-0.017,-0.001,NA,NA,-0.0084,0.0141,0.0018,0.0025,0.008,-0.0067,-0.0064,NA,NA
TNS,55,-0.021,-0.001,0.013,0.001,0.007,-0.013,0.001,NA,NA,-0.0084,0.0141,0.0018,0.0025,0.008,-0.0067,-0.0064,NA,NA
Roy Morgan,52,-0.031,-0.011,0.043,0,0.007,-0.007,-0.021,NA,NA,-0.0084,0.0141,0.0018,0.0025,0.008,-0.0067,-0.0064,NA,NA
Colmar Brunton,45,0.039,0.019,-0.007,0.005,-0.023,-0.017,-0.011,NA,NA,-0.0084,0.0141,0.0018,0.0025,0.008,-0.0067,-0.0064,NA,NA
Roy Morgan,40,-0.011,-0.026,0.023,0.01,0.022,-0.007,-0.021,NA,NA,-0.0084,0.0141,0.0018,0.0025,0.008,-0.0067,-0.0064,NA,NA
Colmar Brunton,31,0.039,-0.021,0.003,0.005,0.007,-0.017,-0.011,NA,NA,-0.013666667,0.018,0.001666667,0.002222222,0.008111111,-0.005555556,-0.005888889,NA,NA
Colmar Brunton,24,0.019,0.009,-0.007,0.005,0.017,-0.017,-0.011,NA,NA,-0.011444444,0.014666667,0.002777778,0.002222222,0.007,-0.005555556,-0.005888889,NA,NA
TNS,21,-0.021,0.019,0.003,-0.001,0.007,-0.01,-0.004,NA,NA,-0.007,0.013555556,0.001666667,0.002888889,0.008111111,-0.006333333,-0.006666667,NA,NA
Colmar Brunton,17,-0.031,0.069,-0.007,-0.005,0.007,-0.017,-0.001,NA,NA,-0.005888889,0.008,0.002777778,0.003333333,0.008111111,-0.005555556,-0.007,NA,NA
Colmar Brunton,10,-0.021,0.019,0.003,0.015,0.007,-0.007,-0.011,NA,NA,-0.007,0.013555556,0.001666667,0.001111111,0.008111111,-0.006666667,-0.005888889,NA,NA
Roy Morgan,9,-0.026,-0.021,0.008,0.015,0.022,-0.002,-0.006,NA,NA,-0.006444444,0.018,0.001111111,0.001111111,0.006444444,-0.007222222,-0.006444444,NA,NA
Nielsen,4,-0.041,0.039,0.013,-0.005,0.007,0.003,-0.011,NA,NA,-0.004777778,0.011333333,0.000555556,0.003333333,0.008111111,-0.007777778,-0.005888889,NA,NA
TNS,6,-0.006,-0.004,0.011,-0.006,0.016,0.003,-0.007,NA,NA,-0.008666667,0.016111111,0.000777778,0.003444444,0.007111111,-0.007777778,-0.006333333,NA,NA
Digipoll,6,0.035,-0.017,-0.012,-0.002,-0.007,-0.001,0.002,NA,NA,-0.013222222,0.017555556,0.003333333,0.003,0.009666667,-0.007333333,-0.007333333,NA,NA
Colmar Brunton,4,-0.031,0.049,0.003,0.004,-0.003,-0.002,-0.004,NA,NA,-0.005888889,0.010222222,0.001666667,0.002333333,0.009222222,-0.007222222,-0.006666667,NA,NA
Roy Morgan,97,0.0001,0.0307,0.0243,-0.0215,0.0078,-0.0087,-0.0039,NA,NA,0.0081,0.023315385,-0.009392308,-0.013423077,0.011415385,-0.003853846,0.000253846,NA,NA
Nielsen,91,0.0101,0.0907,-0.0107,-0.0265,-0.0272,-0.0087,-0.0039,NA,NA,0.0081,0.023315385,-0.009392308,-0.013423077,0.011415385,-0.003853846,0.000253846,NA,NA
Colmar Brunton,89,0.0301,0.0607,-0.0147,-0.0305,-0.0322,-0.0017,0.0071,NA,NA,0.0081,0.023315385,-0.009392308,-0.013423077,0.011415385,-0.003853846,0.000253846,NA,NA
TNS,83,0.0301,0.0307,-0.0107,-0.0165,-0.0072,0.0013,-0.0039,NA,NA,0.0081,0.023315385,-0.009392308,-0.013423077,0.011415385,-0.003853846,0.000253846,NA,NA
Digipoll,86,0.0231,0.0507,-0.0197,-0.0135,-0.0162,-0.0087,0.0071,NA,NA,0.0081,0.023315385,-0.009392308,-0.013423077,0.011415385,-0.003853846,0.000253846,NA,NA
Roy Morgan,76,0.0401,-0.0043,-0.0157,-0.0215,0.0128,0.0013,0.0111,NA,NA,0.0081,0.023315385,-0.009392308,-0.013423077,0.011415385,-0.003853846,0.000253846,NA,NA
Colmar Brunton,61,0.0101,0.0807,-0.0227,-0.0165,-0.0172,-0.0087,-0.0059,NA,NA,0.0081,0.023315385,-0.009392308,-0.013423077,0.011415385,-0.003853846,0.000253846,NA,NA
Roy Morgan,62,0.0251,0.0257,0.0093,-0.0215,-0.0022,-0.0037,-0.0089,NA,NA,0.0081,0.023315385,-0.009392308,-0.013423077,0.011415385,-0.003853846,0.000253846,NA,NA
Nielsen,56,0.0001,0.0707,-0.0107,-0.0265,-0.0172,-0.0087,0.0061,NA,NA,0.0081,0.023315385,-0.009392308,-0.013423077,0.011415385,-0.003853846,0.000253846,NA,NA
Digipoll,50,0.0171,0.0647,-0.0127,-0.0255,-0.0182,-0.0047,-0.0049,NA,NA,0.0081,0.023315385,-0.009392308,-0.013423077,0.011415385,-0.003853846,0.000253846,NA,NA
TNS,48,0.0201,0.0407,-0.0107,-0.0165,-0.0172,-0.0087,-0.0039,NA,NA,0.0081,0.023315385,-0.009392308,-0.013423077,0.011415385,-0.003853846,0.000253846,NA,NA
Colmar Brunton,40,-0.0099,0.0707,-0.0207,-0.0215,0.0028,-0.0017,0.0011,NA,NA,0.0081,0.023315385,-0.009392308,-0.013423077,0.011415385,-0.003853846,0.000253846,NA,NA
Roy Morgan,41,0.0351,-0.0443,-0.0007,-0.0015,0.0228,0.0013,-0.0039,NA,NA,0.0081,0.023315385,-0.009392308,-0.013423077,0.011415385,-0.003853846,0.000253846,NA,NA
TNS,31,0.0501,0.0007,-0.0137,-0.0185,-0.0002,-0.0077,0.0011,NA,NA,0.0046,0.0252,-0.009033333,-0.013,0.012383333,-0.003533333,0.000183333,NA,NA
Colmar Brunton,33,-0.0099,0.0607,-0.0147,-0.0205,0.0128,-0.0077,0.0041,NA,NA,0.0096,0.0202,-0.00895,-0.012833333,0.0113,-0.003533333,-6.67E-05,NA,NA
Nielsen,28,-0.0099,0.0607,-0.0107,-0.0265,0.0028,0.0013,-0.0039,NA,NA,0.0096,0.0202,-0.009283333,-0.012333333,0.012133333,-0.004283333,0.0006,NA,NA
Colmar Brunton,26,0.0201,0.0507,-0.0197,-0.0155,-0.0172,-0.0037,-0.0029,NA,NA,0.0071,0.021033333,-0.008533333,-0.01325,0.0138,-0.003866667,0.000516667,NA,NA
Roy Morgan,27,-0.0199,-0.0193,0.0043,-0.0015,0.0478,-0.0037,0.0011,NA,NA,0.010433333,0.026866667,-0.010533333,-0.014416667,0.008383333,-0.003866667,0.000183333,NA,NA
TNS,18,0.0341,0.0017,-0.0057,-0.0195,0.0208,-0.0067,-0.0009,NA,NA,0.005933333,0.025116667,-0.0097,-0.012916667,0.010633333,-0.003616667,0.00035,NA,NA
Digipoll,20,0.0301,0.0547,-0.0197,-0.0245,-0.0132,-0.0067,1.00E-04,NA,NA,0.006266667,0.0207,-0.008533333,-0.0125,0.013466667,-0.003616667,0.000266667,NA,NA
Colmar Brunton,19,0.0101,0.0207,-0.0107,-0.0165,0.0128,-0.0047,0.0061,NA,NA,0.007933333,0.023533333,-0.009283333,-0.013166667,0.0113,-0.003783333,-0.000233333,NA,NA
Roy Morgan,13,0.0051,-0.0293,0.0043,0.0035,0.0328,0.0013,0.0011,NA,NA,0.00835,0.0277,-0.010533333,-0.014833333,0.009633333,-0.004283333,0.000183333,NA,NA
TNS,4,-0.0089,0.0107,-0.0067,-0.0085,0.0228,-0.0067,0.0031,NA,NA,0.009516667,0.024366667,-0.009616667,-0.013833333,0.010466667,-0.003616667,1.67E-05,NA,NA
Colmar Brunton,5,0.0101,0.0207,-0.0167,-0.0115,0.0228,-0.0047,-0.0109,NA,NA,0.006885714,0.022414286,-0.0092,-0.013071429,0.012228571,-0.004057143,0.000457143,NA,NA
Digipoll,6,0.0241,0.0297,-0.0017,-0.0185,-0.0092,-0.0017,-0.0009,NA,NA,0.006766667,0.022783333,-0.010033333,-0.013,0.013133333,-0.004033333,0.00035,NA,NA
Nielsen,3,-0.0299,0.0407,-0.0107,0.0035,0.0128,0.0013,0.0061,NA,NA,0.011266667,0.021866667,-0.009283333,-0.014833333,0.0113,-0.004283333,-0.000233333,NA,NA
Colmar Brunton,97,0.0252,0.0869,-0.0429,0.0063,-0.0506,-0.001,-0.0003,-0.0018,-0.0265,0.003042105,0.048057895,-0.032478947,0.002457895,0.003821053,-0.004052632,-3.68E-05,-0.003536842,-0.020605263
Reid Research,97,0.0132,0.0669,-0.0439,0.0113,-0.0176,-0.006,0.0007,-0.0018,-0.0265,0.003042105,0.048057895,-0.032478947,0.002457895,0.003821053,-0.004052632,-3.68E-05,-0.003536842,-0.020605263
Digipoll,95,0.0402,0.0469,-0.0419,0.0013,-0.0126,-0.005,0.0037,-0.0088,-0.0265,0.003042105,0.048057895,-0.032478947,0.002457895,0.003821053,-0.004052632,-3.68E-05,-0.003536842,-0.020605263
Roy Morgan,97,0.0202,0.0469,-0.0309,0.0093,-0.0206,-0.001,0.0007,-0.0008,-0.0265,0.003042105,0.048057895,-0.032478947,0.002457895,0.003821053,-0.004052632,-3.68E-05,-0.003536842,-0.020605263
Research International,91,-0.0178,0.0979,-0.0439,0.0003,-0.0006,-0.005,0.0017,-0.0048,-0.0265,0.003042105,0.048057895,-0.032478947,0.002457895,0.003821053,-0.004052632,-3.68E-05,-0.003536842,-0.020605263
Roy Morgan,83,-0.0148,0.0969,-0.0309,0.0043,-0.0356,-0.001,0.0107,-0.0008,-0.0265,0.003042105,0.048057895,-0.032478947,0.002457895,0.003821053,-0.004052632,-3.68E-05,-0.003536842,-0.020605263
