"","Estimate","Std. Error"
"(Intercept)",-0.00259590245967563,0.0051867309203904
"`Days Before`",0.00021816603743267,7.64418568928849e-05
"PollsterDigipoll",0.0158985811423469,0.00756207172576091
"PollsterNielsen",-0.0238149282163705,0.00945215360559713
"PollsterReid Research",-0.000130640590478795,0.00937551425699179
"PollsterResearch International",-0.00960859413299074,0.0100841814086249
"PollsterRoy Morgan",-0.0105251224552779,0.00672661745647847
"PollsterTNS",0.000905142656067241,0.00803073487149251
"`Labour Miss`",0.724422799116269,0.371642062499357
"(Intercept)",0.000648432847214621,0.00947138675210945
"`Days Before`",0.000296527460216376,9.74703673498858e-05
"PollsterDigipoll",-0.0179252101494586,0.00990567713644133
"PollsterNielsen",0.00910892389008047,0.012074683244927
"PollsterReid Research",-0.0177202954228607,0.013190554416182
"PollsterResearch International",-0.0088705460096364,0.0139556847420619
"PollsterRoy Morgan",-0.0385800948483758,0.00869277607804901
"PollsterTNS",-0.0314688761236323,0.0103743697303271
"`National Miss`",1.32570614337535,0.259058663623701
"(Intercept)",-0.000894287882941326,0.00352741293159185
"`Days Before`",-1.84743356605648e-05,4.74070878710174e-05
"PollsterDigipoll",0.00528115522147103,0.00480188015109583
"PollsterNielsen",0.00810933406298288,0.00584666831737581
"PollsterReid Research",0.00302522696846268,0.00635441009845123
"PollsterResearch International",0.00291569279600432,0.00675362326305023
"PollsterRoy Morgan",0.0161403602266627,0.00420689476171966
"PollsterTNS",0.0111253225695467,0.00505979069548768
"`NZ First Miss`",1.28720814207184,0.126496014272733
"(Intercept)",0.000924247175091274,0.00180132588307799
"`Days Before`",-4.13270625256947e-05,2.62850589075496e-05
"PollsterDigipoll",-0.00152406083126661,0.00257628221949956
"PollsterNielsen",-0.00240088485345497,0.00326309069426281
"PollsterReid Research",0.00156279069906815,0.0032583040032009
"PollsterResearch International",-0.00190610426712455,0.00350037749464752
"PollsterRoy Morgan",0.00436876063389669,0.00227663985731787
"PollsterTNS",-0.00164308134893898,0.00278281914059277
"`ACT Miss`",1.15937070604972,0.113624272595414
"(Intercept)",0.00311506639982882,0.00583369085275253
"`Days Before`",-0.000348563249960283,5.37965182795739e-05
"PollsterDigipoll",-0.000673040782229195,0.00528608346395538
"PollsterNielsen",0.00407769837775618,0.00667781527587437
"PollsterReid Research",0.00492101988962905,0.0070174487395694
"PollsterResearch International",0.00957814320302099,0.00748600007790793
"PollsterRoy Morgan",0.0194707629040097,0.00474578531859719
"PollsterTNS",0.0128856247681989,0.00570328901722647
"`Green Miss`",0.436089543093951,0.567983297694013
"(Intercept)",0.000207760315680429,0.00275219389920521
"`Days Before`",-5.15591396025986e-05,1.86602697846282e-05
"PollsterDigipoll",0.00286122974653706,0.0018440881846668
"PollsterNielsen",0.00539417463864389,0.00227688524307943
"PollsterReid Research",0.000498802397908513,0.00230700974644667
"PollsterResearch International",0.00295686911553183,0.00246804246910297
"PollsterRoy Morgan",0.00542447604019046,0.00161758239149785
"PollsterTNS",-0.00015326902454904,0.00195552728263139
"`United Future Miss`",1.24661144235433,0.489469062968996
"(Intercept)",0.000432384257585416,0.00184682224338459
"`Days Before`",8.03924777933128e-06,2.49067423429221e-05
"PollsterDigipoll",-0.00174110521816472,0.00250349980595002
"PollsterNielsen",0.000150386464419433,0.00304398684197871
"PollsterReid Research",-0.00180616150341948,0.00310986533610514
"PollsterResearch International",-0.00168266773460642,0.00333400775756539
"PollsterRoy Morgan",0.000449047191960126,0.00218329119389933
"PollsterTNS",-0.00149901756905434,0.00261437565748842
"`Maori Miss`",1.16442279934317,0.290365539497836
"(Intercept)",-0.0665109745935265,0.0113585638725321
"`Days Before`",-8.68989845954345e-06,1.33077849607048e-05
"PollsterDigipoll",-0.00098378482954619,0.00144566216694506
"PollsterReid Research",-0.00098854719767673,0.00137440239454286
"PollsterResearch International",-0.001310652449317,0.0014285610375604
"PollsterRoy Morgan",-0.000111635767669036,0.00126438417162867
"`Mana Miss`",-17.9099775367573,3.1868959310386
"(Intercept)",-0.357938296595014,0.0167215504149066
"`Days Before`",-7.8214219141038e-05,7.30143167318531e-06
"PollsterDigipoll",0.000747836541695767,0.000739427865908611
"PollsterReid Research",-0.000192108840489299,0.000743660189376462
"PollsterResearch International",-0.000399305869807208,0.000829913575002335
"PollsterRoy Morgan",-0.00103804763233668,0.000736190827512385
"`Conservative Miss`",-16.4174516866292,0.803284763202459
