Electoral District,Maori,Year,Party,Percent,Ratio
Te Puko O Te Whenua,TRUE,1996,ACT,1.36,1.28301886792453
Te Tai Hauauru,TRUE,1996,ACT,0.8,0.754716981132076
Te Tai Rawhiti,TRUE,1996,ACT,0.89,0.839622641509434
Te Tai Tokerau,TRUE,1996,ACT,1.12,1.05660377358491
Te Tai Tonga,TRUE,1996,ACT,1.15,1.08490566037736
Albany,FALSE,1996,ACT,10.96,1.72327044025157
Aoraki,FALSE,1996,ACT,5.06,0.795597484276729
Auckland Central,FALSE,1996,ACT,10.11,1.58962264150943
Banks Penisula,FALSE,1996,ACT,6.21,0.976415094339623
Bay of Plenty,FALSE,1996,ACT,4.61,0.724842767295597
Christchurch Central,FALSE,1996,ACT,4.99,0.784591194968553
Christchurch East,FALSE,1996,ACT,3.03,0.476415094339623
Clutha-Southland,FALSE,1996,ACT,6.04,0.949685534591195
Coromandel,FALSE,1996,ACT,4.75,0.74685534591195
Dunedin North,FALSE,1996,ACT,4.33,0.680817610062893
Dunedin South,FALSE,1996,ACT,2.54,0.39937106918239
Epsom,FALSE,1996,ACT,22.04,3.46540880503145
Hamilton East,FALSE,1996,ACT,6.4,1.0062893081761
Hamilton West,FALSE,1996,ACT,5.09,0.800314465408805
Hunua,FALSE,1996,ACT,7.04,1.10691823899371
Hutt South,FALSE,1996,ACT,5.13,0.806603773584906
Ilam,FALSE,1996,ACT,8.5,1.33647798742138
Invercargill,FALSE,1996,ACT,2.92,0.459119496855346
Kaikoura,FALSE,1996,ACT,5.81,0.913522012578616
Karapiro,FALSE,1996,ACT,7.61,1.19654088050314
Mahia,FALSE,1996,ACT,6.78,1.06603773584906
Mana,FALSE,1996,ACT,4.6,0.723270440251572
Mangere,FALSE,1996,ACT,2.05,0.322327044025157
Manukau East,FALSE,1996,ACT,6.3,0.990566037735849
Manurewa,FALSE,1996,ACT,3.75,0.589622641509434
Maungakiekie,FALSE,1996,ACT,7.17,1.12735849056604
Napier,FALSE,1996,ACT,5.35,0.841194968553459
Nelson,FALSE,1996,ACT,5.49,0.863207547169811
New Lynn,FALSE,1996,ACT,4.89,0.768867924528302
New Plymoutj,FALSE,1996,ACT,4.43,0.696540880503145
North Shore,FALSE,1996,ACT,13.78,2.16666666666667
Northcote,FALSE,1996,ACT,10.27,1.61477987421384
Northland,FALSE,1996,ACT,6.59,1.03616352201258
Ohariu-Belmont,FALSE,1996,ACT,6.35,0.998427672955975
Otago,FALSE,1996,ACT,5.34,0.839622641509434
Otaki,FALSE,1996,ACT,3.88,0.610062893081761
Owairaka,FALSE,1996,ACT,6.77,1.06446540880503
Pakuranga,FALSE,1996,ACT,11.13,1.75
Palmerston North,FALSE,1996,ACT,4.44,0.69811320754717
Port Waikato,FALSE,1996,ACT,6.24,0.981132075471698
Rakaia,FALSE,1996,ACT,6.46,1.01572327044025
Rangitikei,FALSE,1996,ACT,5.11,0.803459119496855
Rimutaka,FALSE,1996,ACT,3.49,0.54874213836478
Rodney,FALSE,1996,ACT,8.39,1.31918238993711
