Electoral District,Maori,Year,Party,Percent,Ratio
Hauraki-Waikato,TRUE,2011,CONSERVATIVE,0.42,0.91304347826087
Ikaroa-Rawhiti,TRUE,2011,CONSERVATIVE,0.4,0.869565217391304
Tamaki Makaurau,TRUE,2011,CONSERVATIVE,0.5,1.08695652173913
Te Tai Hauauru,TRUE,2011,CONSERVATIVE,0.37,0.804347826086956
Te Tai Tokerau,TRUE,2011,CONSERVATIVE,0.52,1.1304347826087
Te Tai Tonga,TRUE,2011,CONSERVATIVE,0.68,1.47826086956522
Waiariki,TRUE,2011,CONSERVATIVE,0.3,0.652173913043478
Auckland Central,FALSE,2011,CONSERVATIVE,0.82,0.294964028776978
Bay of Plenty,FALSE,2011,CONSERVATIVE,4.1,1.47482014388489
Botany,FALSE,2011,CONSERVATIVE,2.68,0.964028776978417
Christchurch Central,FALSE,2011,CONSERVATIVE,1.74,0.62589928057554
Christchurch East,FALSE,2011,CONSERVATIVE,2.15,0.773381294964029
Clutha-Southland,FALSE,2011,CONSERVATIVE,3.12,1.12230215827338
Coromandel,FALSE,2011,CONSERVATIVE,3.9,1.40287769784173
Dunedin North,FALSE,2011,CONSERVATIVE,1.35,0.485611510791367
Dunedin South,FALSE,2011,CONSERVATIVE,1.48,0.532374100719424
East Coast,FALSE,2011,CONSERVATIVE,3.02,1.0863309352518
East Coast Bays,FALSE,2011,CONSERVATIVE,3.74,1.34532374100719
Epsom,FALSE,2011,CONSERVATIVE,1.12,0.402877697841727
Hamilton East,FALSE,2011,CONSERVATIVE,3.44,1.23741007194245
Hamilton West,FALSE,2011,CONSERVATIVE,3.19,1.14748201438849
Helensville,FALSE,2011,CONSERVATIVE,3.51,1.26258992805755
Hunua,FALSE,2011,CONSERVATIVE,3.73,1.34172661870504
Hutt South,FALSE,2011,CONSERVATIVE,2.03,0.73021582733813
Ilam,FALSE,2011,CONSERVATIVE,2.09,0.751798561151079
Invercargill,FALSE,2011,CONSERVATIVE,1.99,0.715827338129497
Kaikoura,FALSE,2011,CONSERVATIVE,3.8,1.36690647482014
Mana,FALSE,2011,CONSERVATIVE,1.75,0.629496402877698
Mangere,FALSE,2011,CONSERVATIVE,1.61,0.579136690647482
Manukau East,FALSE,2011,CONSERVATIVE,1.46,0.525179856115108
Manurewa,FALSE,2011,CONSERVATIVE,2.26,0.81294964028777
Maungakiekie,FALSE,2011,CONSERVATIVE,1.73,0.622302158273381
Mt Albert,FALSE,2011,CONSERVATIVE,1.61,0.579136690647482
Mt Roskill,FALSE,2011,CONSERVATIVE,2.42,0.870503597122302
Napier,FALSE,2011,CONSERVATIVE,3.35,1.20503597122302
Nelson,FALSE,2011,CONSERVATIVE,2.71,0.974820143884892
New Lynn,FALSE,2011,CONSERVATIVE,2.59,0.931654676258993
New Plymouth,FALSE,2011,CONSERVATIVE,1.97,0.70863309352518
North Shore,FALSE,2011,CONSERVATIVE,2.23,0.802158273381295
Northcote,FALSE,2011,CONSERVATIVE,2.49,0.89568345323741
Northland,FALSE,2011,CONSERVATIVE,5.25,1.88848920863309
Ohariu,FALSE,2011,CONSERVATIVE,1.68,0.60431654676259
Otaki,FALSE,2011,CONSERVATIVE,3.19,1.14748201438849
Pakuranga,FALSE,2011,CONSERVATIVE,3.55,1.27697841726619
Palmerston North,FALSE,2011,CONSERVATIVE,3.02,1.0863309352518
Papakura,FALSE,2011,CONSERVATIVE,3.06,1.10071942446043
Port Hills,FALSE,2011,CONSERVATIVE,1.65,0.593525179856115
Rangitata,FALSE,2011,CONSERVATIVE,2.4,0.863309352517986
Rangitikei,FALSE,2011,CONSERVATIVE,4.2,1.51079136690647
Rimutaka,FALSE,2011,CONSERVATIVE,2.78,1
Rodney,FALSE,2011,CONSERVATIVE,6.38,2.29496402877698
Rongotai,FALSE,2011,CONSERVATIVE,1.11,0.399280575539568
Rotorua,FALSE,2011,CONSERVATIVE,3.01,1.08273381294964
Selwyn,FALSE,2011,CONSERVATIVE,2.46,0.884892086330935
Tamaki,FALSE,2011,CONSERVATIVE,1.52,0.546762589928058
Taranaki-King Country,FALSE,2011,CONSERVATIVE,3.8,1.36690647482014
Taupo,FALSE,2011,CONSERVATIVE,3.66,1.31654676258993
Tauranga,FALSE,2011,CONSERVATIVE,4.09,1.47122302158273
Te Atatu,FALSE,2011,CONSERVATIVE,2.76,0.992805755395683
Tukituki,FALSE,2011,CONSERVATIVE,3.8,1.36690647482014
Waikato,FALSE,2011,CONSERVATIVE,4.08,1.46762589928058
Waimakariri,FALSE,2011,CONSERVATIVE,3.27,1.17625899280576
Wairarapa,FALSE,2011,CONSERVATIVE,3.75,1.34892086330935
Waitakere,FALSE,2011,CONSERVATIVE,2.42,0.870503597122302
Waitaki,FALSE,2011,CONSERVATIVE,2.85,1.02517985611511
Wellington Central,FALSE,2011,CONSERVATIVE,0.69,0.248201438848921
West Coast-Tasman,FALSE,2011,CONSERVATIVE,3.18,1.14388489208633
Whanganui,FALSE,2011,CONSERVATIVE,3.23,1.16187050359712
Whangarei,FALSE,2011,CONSERVATIVE,4.22,1.51798561151079
Wigram,FALSE,2011,CONSERVATIVE,2.37,0.852517985611511
Hauraki-Waikato,TRUE,2014,CONSERVATIVE,0.76,1.2258064516129
Ikaroa-Rawhiti,TRUE,2014,CONSERVATIVE,0.6,0.967741935483871
Tamaki Makaurau,TRUE,2014,CONSERVATIVE,0.62,1
Te Tai Hauauru,TRUE,2014,CONSERVATIVE,0.57,0.919354838709677
