Electoral District,Maori,Year,Party,Percent,Ratio
Hauraki,TRUE,1999,GREEN PARTY,6.04,1.17054263565891
Ikaroa-Rawhiti,TRUE,1999,GREEN PARTY,3.99,0.773255813953488
Te Tai Hauauru,TRUE,1999,GREEN PARTY,4.14,0.802325581395349
Te Tai Tokerau,TRUE,1999,GREEN PARTY,5.74,1.11240310077519
Te Tai Tonga,TRUE,1999,GREEN PARTY,6.13,1.18798449612403
Waiariki,TRUE,1999,GREEN PARTY,3.65,0.707364341085271
Albany,FALSE,1999,GREEN PARTY,4.44,0.86046511627907
Aoraki,FALSE,1999,GREEN PARTY,4.42,0.856589147286822
Auckland Central,FALSE,1999,GREEN PARTY,12.88,2.49612403100775
Banks Peninsula,FALSE,1999,GREEN PARTY,7.3,1.41472868217054
Bay of Plenty,FALSE,1999,GREEN PARTY,5.36,1.03875968992248
Christchurch Central,FALSE,1999,GREEN PARTY,7.35,1.42441860465116
Christchurch East,FALSE,1999,GREEN PARTY,4.87,0.943798449612403
Clutha-Southland,FALSE,1999,GREEN PARTY,3.05,0.591085271317829
Coromandel,FALSE,1999,GREEN PARTY,7.65,1.48255813953488
Dunedin North,FALSE,1999,GREEN PARTY,7.43,1.43992248062015
Dunedin South,FALSE,1999,GREEN PARTY,4.02,0.77906976744186
East Coast,FALSE,1999,GREEN PARTY,4.26,0.825581395348837
Epsom,FALSE,1999,GREEN PARTY,5.75,1.11434108527132
Hamilton East,FALSE,1999,GREEN PARTY,5.22,1.01162790697674
Hamilton West,FALSE,1999,GREEN PARTY,4.27,0.827519379844961
Hunua,FALSE,1999,GREEN PARTY,4.3,0.833333333333333
Hutt South,FALSE,1999,GREEN PARTY,4.58,0.887596899224806
Ilam,FALSE,1999,GREEN PARTY,4.37,0.846899224806202
Invercargill,FALSE,1999,GREEN PARTY,3.08,0.596899224806202
Kaikoura,FALSE,1999,GREEN PARTY,6.7,1.2984496124031
Karapiro,FALSE,1999,GREEN PARTY,3.74,0.724806201550388
Mana,FALSE,1999,GREEN PARTY,4.61,0.893410852713178
Mangere,FALSE,1999,GREEN PARTY,2.56,0.496124031007752
Manukau East,FALSE,1999,GREEN PARTY,2.26,0.437984496124031
Manurewa,FALSE,1999,GREEN PARTY,3.15,0.61046511627907
Maungakiekie,FALSE,1999,GREEN PARTY,4.15,0.804263565891473
Mt Albert,FALSE,1999,GREEN PARTY,5.61,1.08720930232558
Mt Roskill,FALSE,1999,GREEN PARTY,3.75,0.726744186046512
Napier,FALSE,1999,GREEN PARTY,4.73,0.916666666666667
Nelson,FALSE,1999,GREEN PARTY,8.14,1.57751937984496
New Plymouth,FALSE,1999,GREEN PARTY,5.35,1.03682170542636
North Shore,FALSE,1999,GREEN PARTY,4.97,0.963178294573643
Northcote,FALSE,1999,GREEN PARTY,4.62,0.895348837209302
Northland,FALSE,1999,GREEN PARTY,7.89,1.52906976744186
Ohariu-Belmont,FALSE,1999,GREEN PARTY,4.62,0.895348837209302
Otago,FALSE,1999,GREEN PARTY,5.71,1.10658914728682
Otaki,FALSE,1999,GREEN PARTY,4.01,0.777131782945736
Pakuranga,FALSE,1999,GREEN PARTY,3.46,0.670542635658915
Palmerston North,FALSE,1999,GREEN PARTY,5.06,0.98062015503876
Port Waikato,FALSE,1999,GREEN PARTY,5.14,0.996124031007752
Rakaia,FALSE,1999,GREEN PARTY,3.66,0.709302325581395
Rangitikei,FALSE,1999,GREEN PARTY,3.73,0.722868217054264
Rimutaka,FALSE,1999,GREEN PARTY,4,0.775193798449612
Rodney,FALSE,1999,GREEN PARTY,5.92,1.14728682170543
Rongotai,FALSE,1999,GREEN PARTY,7.69,1.49031007751938
Rotorua,FALSE,1999,GREEN PARTY,5.29,1.02519379844961
Tamaki,FALSE,1999,GREEN PARTY,3.87,0.75
Taranaki-King Country,FALSE,1999,GREEN PARTY,4.28,0.829457364341085
Taupo,FALSE,1999,GREEN PARTY,5.02,0.972868217054263
Tauranga,FALSE,1999,GREEN PARTY,4.81,0.932170542635659
Te Atatu,FALSE,1999,GREEN PARTY,3.27,0.633720930232558
Titirangi,FALSE,1999,GREEN PARTY,6.22,1.20542635658915
Tukituki,FALSE,1999,GREEN PARTY,4.21,0.815891472868217
Waimakariri,FALSE,1999,GREEN PARTY,3.83,0.742248062015504
Wairarapa,FALSE,1999,GREEN PARTY,4.6,0.891472868217054
Waitakere,FALSE,1999,GREEN PARTY,5.44,1.05426356589147
Wellington Central,FALSE,1999,GREEN PARTY,9.69,1.87790697674419
West Coast-Tasman,FALSE,1999,GREEN PARTY,7.68,1.48837209302326
Whanganui,FALSE,1999,GREEN PARTY,4.6,0.891472868217054
Whangarei,FALSE,1999,GREEN PARTY,5.51,1.06782945736434
Wigram,FALSE,1999,GREEN PARTY,4.63,0.897286821705426
Ikaroa-Rawhiti,TRUE,2002,GREEN PARTY,9.25,1.32142857142857
Tainui,TRUE,2002,GREEN PARTY,10.04,1.43428571428571
Tamaki Makaurau,TRUE,2002,GREEN PARTY,10.26,1.46571428571429
Te Tai Hauauru,TRUE,2002,GREEN PARTY,11.07,1.58142857142857
Te Tai Tokerau,TRUE,2002,GREEN PARTY,11.36,1.62285714285714
Te Tai Tonga,TRUE,2002,GREEN PARTY,12.84,1.83428571428571
Waiariki,TRUE,2002,GREEN PARTY,9.97,1.42428571428571
Aoraki,FALSE,2002,GREEN PARTY,5.15,0.735714285714286
Auckland Central,FALSE,2002,GREEN PARTY,15.8,2.25714285714286
Banks Peninsula,FALSE,2002,GREEN PARTY,10.23,1.46142857142857
Bay of Plenty,FALSE,2002,GREEN PARTY,5.52,0.788571428571428
Christchurch Central,FALSE,2002,GREEN PARTY,11.1,1.58571428571429
Christchurch East,FALSE,2002,GREEN PARTY,6.57,0.938571428571429
Clevedon,FALSE,2002,GREEN PARTY,3.91,0.558571428571429
Clutha-Southland,FALSE,2002,GREEN PARTY,3.45,0.492857142857143
Coromandel,FALSE,2002,GREEN PARTY,9.44,1.34857142857143
Dunedin North,FALSE,2002,GREEN PARTY,12.36,1.76571428571429
Dunedin South,FALSE,2002,GREEN PARTY,6.21,0.887142857142857
East Coast,FALSE,2002,GREEN PARTY,5.7,0.814285714285714
East Coast Bays,FALSE,2002,GREEN PARTY,5.19,0.741428571428571
Epsom,FALSE,2002,GREEN PARTY,6.65,0.95
Hamilton East,FALSE,2002,GREEN PARTY,7.17,1.02428571428571
Hamilton West,FALSE,2002,GREEN PARTY,5.72,0.817142857142857
Helensville,FALSE,2002,GREEN PARTY,6.02,0.86
Hutt South,FALSE,2002,GREEN PARTY,6.43,0.918571428571428
Ilam,FALSE,2002,GREEN PARTY,5.88,0.84
Invercargill,FALSE,2002,GREEN PARTY,4.3,0.614285714285714
Kaikoura,FALSE,2002,GREEN PARTY,6.9,0.985714285714286
Mana,FALSE,2002,GREEN PARTY,7.41,1.05857142857143
Mangere,FALSE,2002,GREEN PARTY,3.25,0.464285714285714
Manukau East,FALSE,2002,GREEN PARTY,2.56,0.365714285714286
Manurewa,FALSE,2002,GREEN PARTY,3.72,0.531428571428571
Maungakiekie,FALSE,2002,GREEN PARTY,5.5,0.785714285714286
Mt Albert,FALSE,2002,GREEN PARTY,10.68,1.52571428571429
Mt Roskill,FALSE,2002,GREEN PARTY,5.28,0.754285714285714
Napier,FALSE,2002,GREEN PARTY,6.21,0.887142857142857
Nelson,FALSE,2002,GREEN PARTY,8.92,1.27428571428571
New Lynn,FALSE,2002,GREEN PARTY,7.16,1.02285714285714
New Plymouth,FALSE,2002,GREEN PARTY,6.73,0.961428571428572
North Shore,FALSE,2002,GREEN PARTY,6.44,0.92
Northcote,FALSE,2002,GREEN PARTY,6.39,0.912857142857143
Northland,FALSE,2002,GREEN PARTY,9.3,1.32857142857143
Ohariu-Belmont,FALSE,2002,GREEN PARTY,6.46,0.922857142857143
Otago,FALSE,2002,GREEN PARTY,8.13,1.16142857142857
Otaki,FALSE,2002,GREEN PARTY,5.53,0.79
Pakuranga,FALSE,2002,GREEN PARTY,3.61,0.515714285714286
Palmerston North,FALSE,2002,GREEN PARTY,7.31,1.04428571428571
Piako,FALSE,2002,GREEN PARTY,4.74,0.677142857142857
Port Waikato,FALSE,2002,GREEN PARTY,5.61,0.801428571428571
Rakaia,FALSE,2002,GREEN PARTY,5,0.714285714285714
Rangitikei,FALSE,2002,GREEN PARTY,4.68,0.668571428571428
Rimutaka,FALSE,2002,GREEN PARTY,5.27,0.752857142857143
Rodney,FALSE,2002,GREEN PARTY,6.33,0.904285714285714
Rongotai,FALSE,2002,GREEN PARTY,13.03,1.86142857142857
Rotorua,FALSE,2002,GREEN PARTY,5.9,0.842857142857143
Tamaki,FALSE,2002,GREEN PARTY,4.75,0.678571428571429
Taranaki-King Country,FALSE,2002,GREEN PARTY,5.08,0.725714285714286
Taupo,FALSE,2002,GREEN PARTY,5.39,0.77
Tauranga,FALSE,2002,GREEN PARTY,5.65,0.807142857142857
Te Atatu,FALSE,2002,GREEN PARTY,4.57,0.652857142857143
Tukituki,FALSE,2002,GREEN PARTY,5.64,0.805714285714286
Waimakariri,FALSE,2002,GREEN PARTY,4.8,0.685714285714286
Wairarapa,FALSE,2002,GREEN PARTY,5.91,0.844285714285714
Waitakere,FALSE,2002,GREEN PARTY,7.99,1.14142857142857
Wellington Central,FALSE,2002,GREEN PARTY,16.25,2.32142857142857
West Coast-Tasman,FALSE,2002,GREEN PARTY,10.25,1.46428571428571
Whanganui,FALSE,2002,GREEN PARTY,6.09,0.87
Whangarei,FALSE,2002,GREEN PARTY,6.55,0.935714285714286
Wigram,FALSE,2002,GREEN PARTY,6.82,0.974285714285714
Ikaroa-Rawhiti,TRUE,2005,GREEN PARTY,2.43,0.458490566037736
Tainui,TRUE,2005,GREEN PARTY,2.77,0.522641509433962
Tamaki Makaurau,TRUE,2005,GREEN PARTY,3.28,0.618867924528302
Te Tai Hauauru,TRUE,2005,GREEN PARTY,3.16,0.59622641509434
Te Tai Tokerau,TRUE,2005,GREEN PARTY,2.69,0.507547169811321
Te Tai Tonga,TRUE,2005,GREEN PARTY,6.47,1.22075471698113
Waiariki,TRUE,2005,GREEN PARTY,2.3,0.433962264150943
Aoraki,FALSE,2005,GREEN PARTY,4.48,0.845283018867925
Auckland Central,FALSE,2005,GREEN PARTY,12.98,2.44905660377359
Banks Peninsula,FALSE,2005,GREEN PARTY,10.43,1.96792452830189
Bay of Plenty,FALSE,2005,GREEN PARTY,3.32,0.626415094339623
Christchurch Central,FALSE,2005,GREEN PARTY,9.7,1.83018867924528
Christchurch East,FALSE,2005,GREEN PARTY,5.51,1.03962264150943
Clevedon,FALSE,2005,GREEN PARTY,2.46,0.464150943396226
Clutha-Southland,FALSE,2005,GREEN PARTY,2.37,0.447169811320755
Coromandel,FALSE,2005,GREEN PARTY,7.46,1.40754716981132
Dunedin North,FALSE,2005,GREEN PARTY,10.82,2.04150943396226
Dunedin South,FALSE,2005,GREEN PARTY,5.41,1.02075471698113
East Coast,FALSE,2005,GREEN PARTY,4.25,0.80188679245283
East Coast Bays,FALSE,2005,GREEN PARTY,3.49,0.658490566037736
Epsom,FALSE,2005,GREEN PARTY,5.33,1.00566037735849
Hamilton East,FALSE,2005,GREEN PARTY,5.53,1.04339622641509
Hamilton West,FALSE,2005,GREEN PARTY,3.85,0.726415094339623
Helensville,FALSE,2005,GREEN PARTY,4.03,0.760377358490566
Hutt South,FALSE,2005,GREEN PARTY,5.6,1.05660377358491
Ilam,FALSE,2005,GREEN PARTY,5.36,1.01132075471698
Invercargill,FALSE,2005,GREEN PARTY,3.08,0.581132075471698
Kaikoura,FALSE,2005,GREEN PARTY,5.77,1.08867924528302
Mana,FALSE,2005,GREEN PARTY,6.23,1.17547169811321
Mangere,FALSE,2005,GREEN PARTY,1.75,0.330188679245283
Manukau East,FALSE,2005,GREEN PARTY,1.77,0.333962264150943
Manurewa,FALSE,2005,GREEN PARTY,1.95,0.367924528301887
Maungakiekie,FALSE,2005,GREEN PARTY,4.15,0.783018867924528
Mt Albert,FALSE,2005,GREEN PARTY,9.27,1.74905660377358
Mt Roskill,FALSE,2005,GREEN PARTY,4.17,0.786792452830189
Napier,FALSE,2005,GREEN PARTY,5.23,0.986792452830189
Nelson,FALSE,2005,GREEN PARTY,7.74,1.46037735849057
New Lynn,FALSE,2005,GREEN PARTY,5.6,1.05660377358491
New Plymouth,FALSE,2005,GREEN PARTY,5.45,1.02830188679245
North Shore,FALSE,2005,GREEN PARTY,5.16,0.973584905660377
Northcote,FALSE,2005,GREEN PARTY,5.08,0.958490566037736
Northland,FALSE,2005,GREEN PARTY,6.44,1.21509433962264
Ohariu-Belmont,FALSE,2005,GREEN PARTY,5.84,1.10188679245283
Otago,FALSE,2005,GREEN PARTY,6.11,1.15283018867925
Otaki,FALSE,2005,GREEN PARTY,4.55,0.858490566037736
Pakuranga,FALSE,2005,GREEN PARTY,2.52,0.475471698113208
Palmerston North,FALSE,2005,GREEN PARTY,6.5,1.22641509433962
Piako,FALSE,2005,GREEN PARTY,3.11,0.586792452830189
Port Waikato,FALSE,2005,GREEN PARTY,3.73,0.70377358490566
Rakaia,FALSE,2005,GREEN PARTY,3.88,0.732075471698113
Rangitikei,FALSE,2005,GREEN PARTY,3.39,0.639622641509434
Rimutaka,FALSE,2005,GREEN PARTY,4.17,0.786792452830189
Rodney,FALSE,2005,GREEN PARTY,4.34,0.818867924528302
Rongotai,FALSE,2005,GREEN PARTY,12.62,2.3811320754717
Rotorua,FALSE,2005,GREEN PARTY,3.77,0.711320754716981
Tamaki,FALSE,2005,GREEN PARTY,3.87,0.730188679245283
