Electoral District,Maori,Year,Party,Percent,Ratio
Hauraki-Waikato,TRUE,2014,INTERNET MANA,8.08,0.790606653620352
Ikaroa-Rawhiti,TRUE,2014,INTERNET MANA,9.87,0.965753424657534
Tamaki Makaurau,TRUE,2014,INTERNET MANA,10.82,1.0587084148728
Te Tai Hauauru,TRUE,2014,INTERNET MANA,6.82,0.667318982387476
Te Tai Tokerau,TRUE,2014,INTERNET MANA,18.75,1.83463796477495
Te Tai Tonga,TRUE,2014,INTERNET MANA,4.96,0.4853228962818
Waiariki,TRUE,2014,INTERNET MANA,11.39,1.11448140900196
Auckland Central,FALSE,2014,INTERNET MANA,1.96,2.36144578313253
Bay of Plenty,FALSE,2014,INTERNET MANA,0.51,0.614457831325301
Botany,FALSE,2014,INTERNET MANA,0.61,0.734939759036145
Christchurch Central,FALSE,2014,INTERNET MANA,1.03,1.24096385542169
Christchurch East,FALSE,2014,INTERNET MANA,0.88,1.06024096385542
Clutha-Southland,FALSE,2014,INTERNET MANA,0.46,0.55421686746988
Coromandel,FALSE,2014,INTERNET MANA,0.68,0.819277108433735
Dunedin North,FALSE,2014,INTERNET MANA,1.72,2.07228915662651
Dunedin South,FALSE,2014,INTERNET MANA,0.82,0.987951807228916
East Coast,FALSE,2014,INTERNET MANA,1.17,1.40963855421687
East Coast Bays,FALSE,2014,INTERNET MANA,0.67,0.807228915662651
Epsom,FALSE,2014,INTERNET MANA,0.83,1
Hamilton East,FALSE,2014,INTERNET MANA,1,1.20481927710843
Hamilton West,FALSE,2014,INTERNET MANA,0.72,0.867469879518072
Helensville,FALSE,2014,INTERNET MANA,0.96,1.1566265060241
Hunua,FALSE,2014,INTERNET MANA,0.46,0.55421686746988
Hutt South,FALSE,2014,INTERNET MANA,0.72,0.867469879518072
Ilam,FALSE,2014,INTERNET MANA,0.66,0.795180722891566
Invercargill,FALSE,2014,INTERNET MANA,0.62,0.746987951807229
Kaikoura,FALSE,2014,INTERNET MANA,0.46,0.55421686746988
Kelston,FALSE,2014,INTERNET MANA,1.41,1.69879518072289
Mana,FALSE,2014,INTERNET MANA,0.96,1.1566265060241
Mangere,FALSE,2014,INTERNET MANA,1.19,1.43373493975904
Manukau East,FALSE,2014,INTERNET MANA,1.04,1.25301204819277
Manurewa,FALSE,2014,INTERNET MANA,1.15,1.3855421686747
Maungakiekie,FALSE,2014,INTERNET MANA,1.09,1.31325301204819
Mt Albert,FALSE,2014,INTERNET MANA,1.64,1.97590361445783
Mt Roskill,FALSE,2014,INTERNET MANA,0.9,1.08433734939759
Napier,FALSE,2014,INTERNET MANA,0.6,0.72289156626506
Nelson,FALSE,2014,INTERNET MANA,0.83,1
New Lynn,FALSE,2014,INTERNET MANA,1.1,1.32530120481928
New Plymouth,FALSE,2014,INTERNET MANA,0.7,0.843373493975904
North Shore,FALSE,2014,INTERNET MANA,0.65,0.783132530120482
Northcote,FALSE,2014,INTERNET MANA,0.95,1.14457831325301
Northland,FALSE,2014,INTERNET MANA,1.69,2.03614457831325
Ohariu,FALSE,2014,INTERNET MANA,0.69,0.831325301204819
Otaki,FALSE,2014,INTERNET MANA,0.65,0.783132530120482
Pakuranga,FALSE,2014,INTERNET MANA,0.62,0.746987951807229
Palmerston North,FALSE,2014,INTERNET MANA,0.96,1.1566265060241
Papakura,FALSE,2014,INTERNET MANA,0.8,0.963855421686747
Port Hills,FALSE,2014,INTERNET MANA,0.75,0.903614457831325
Rangitata,FALSE,2014,INTERNET MANA,0.39,0.469879518072289
Rangitikei,FALSE,2014,INTERNET MANA,0.6,0.72289156626506
Rimutaka,FALSE,2014,INTERNET MANA,0.87,1.04819277108434
Rodney,FALSE,2014,INTERNET MANA,0.59,0.710843373493976
Rongotai,FALSE,2014,INTERNET MANA,1.47,1.7710843373494
Rotorua,FALSE,2014,INTERNET MANA,0.8,0.963855421686747
Selwyn,FALSE,2014,INTERNET MANA,0.51,0.614457831325301
Tamaki,FALSE,2014,INTERNET MANA,0.72,0.867469879518072
Taranaki-King Country,FALSE,2014,INTERNET MANA,0.57,0.686746987951807
Taupo,FALSE,2014,INTERNET MANA,0.52,0.626506024096386
Tauranga,FALSE,2014,INTERNET MANA,0.48,0.578313253012048
Te Atatu,FALSE,2014,INTERNET MANA,1.15,1.3855421686747
Tukituki,FALSE,2014,INTERNET MANA,0.68,0.819277108433735
Upper Harbour,FALSE,2014,INTERNET MANA,0.86,1.03614457831325
Waikato,FALSE,2014,INTERNET MANA,0.5,0.602409638554217
Waimakariri,FALSE,2014,INTERNET MANA,0.39,0.469879518072289
Wairarapa,FALSE,2014,INTERNET MANA,0.44,0.530120481927711
Waitaki,FALSE,2014,INTERNET MANA,0.4,0.481927710843374
Wellington Central,FALSE,2014,INTERNET MANA,1.48,1.78313253012048
West Coast-Tasman,FALSE,2014,INTERNET MANA,0.76,0.91566265060241
Whanganui,FALSE,2014,INTERNET MANA,0.73,0.879518072289157
Whangarei,FALSE,2014,INTERNET MANA,1.05,1.26506024096386
Wigram,FALSE,2014,INTERNET MANA,0.76,0.91566265060241
