Electoral District,Maori,Year,Party,Percent,Ratio
Te Puko O Te Whenua,TRUE,1996,LABOUR PARTY,31.95,1.00093984962406
Te Tai Hauauru,TRUE,1996,LABOUR PARTY,32.28,1.01127819548872
Te Tai Rawhiti,TRUE,1996,LABOUR PARTY,31.08,0.973684210526316
Te Tai Tokerau,TRUE,1996,LABOUR PARTY,29.06,0.910401002506266
Te Tai Tonga,TRUE,1996,LABOUR PARTY,35.39,1.10870927318296
Albany,FALSE,1996,LABOUR PARTY,20.24,0.722857142857143
Aoraki,FALSE,1996,LABOUR PARTY,30.41,1.08607142857143
Auckland Central,FALSE,1996,LABOUR PARTY,37.14,1.32642857142857
Banks Penisula,FALSE,1996,LABOUR PARTY,27.67,0.988214285714286
Bay of Plenty,FALSE,1996,LABOUR PARTY,21.4,0.764285714285714
Christchurch Central,FALSE,1996,LABOUR PARTY,32.79,1.17107142857143
Christchurch East,FALSE,1996,LABOUR PARTY,36.44,1.30142857142857
Clutha-Southland,FALSE,1996,LABOUR PARTY,19.25,0.6875
Coromandel,FALSE,1996,LABOUR PARTY,21.74,0.776428571428571
Dunedin North,FALSE,1996,LABOUR PARTY,40.15,1.43392857142857
Dunedin South,FALSE,1996,LABOUR PARTY,40.24,1.43714285714286
Epsom,FALSE,1996,LABOUR PARTY,19.16,0.684285714285714
Hamilton East,FALSE,1996,LABOUR PARTY,25.18,0.899285714285714
Hamilton West,FALSE,1996,LABOUR PARTY,26.59,0.949642857142857
Hunua,FALSE,1996,LABOUR PARTY,21.3,0.760714285714286
Hutt South,FALSE,1996,LABOUR PARTY,33.88,1.21
Ilam,FALSE,1996,LABOUR PARTY,22.98,0.820714285714286
Invercargill,FALSE,1996,LABOUR PARTY,33.1,1.18214285714286
Kaikoura,FALSE,1996,LABOUR PARTY,23.03,0.8225
Karapiro,FALSE,1996,LABOUR PARTY,17.98,0.642142857142857
Mahia,FALSE,1996,LABOUR PARTY,25.91,0.925357142857143
Mana,FALSE,1996,LABOUR PARTY,36.76,1.31285714285714
Mangere,FALSE,1996,LABOUR PARTY,54.77,1.95607142857143
Manukau East,FALSE,1996,LABOUR PARTY,33.7,1.20357142857143
Manurewa,FALSE,1996,LABOUR PARTY,38.72,1.38285714285714
Maungakiekie,FALSE,1996,LABOUR PARTY,34.12,1.21857142857143
Napier,FALSE,1996,LABOUR PARTY,33.54,1.19785714285714
Nelson,FALSE,1996,LABOUR PARTY,31.82,1.13642857142857
New Lynn,FALSE,1996,LABOUR PARTY,35.55,1.26964285714286
New Plymoutj,FALSE,1996,LABOUR PARTY,29.18,1.04214285714286
North Shore,FALSE,1996,LABOUR PARTY,20.65,0.7375
Northcote,FALSE,1996,LABOUR PARTY,24.48,0.874285714285714
Northland,FALSE,1996,LABOUR PARTY,19.66,0.702142857142857
Ohariu-Belmont,FALSE,1996,LABOUR PARTY,26.09,0.931785714285714
Otago,FALSE,1996,LABOUR PARTY,26.96,0.962857142857143
Otaki,FALSE,1996,LABOUR PARTY,29.85,1.06607142857143
Owairaka,FALSE,1996,LABOUR PARTY,35.15,1.25535714285714
Pakuranga,FALSE,1996,LABOUR PARTY,19.12,0.682857142857143
Palmerston North,FALSE,1996,LABOUR PARTY,31.08,1.11
Port Waikato,FALSE,1996,LABOUR PARTY,22.09,0.788928571428571
Rakaia,FALSE,1996,LABOUR PARTY,23.44,0.837142857142857
Rangitikei,FALSE,1996,LABOUR PARTY,23.89,0.853214285714286
Rimutaka,FALSE,1996,LABOUR PARTY,33.58,1.19928571428571
Rodney,FALSE,1996,LABOUR PARTY,19.74,0.705
Rongotai,FALSE,1996,LABOUR PARTY,33.91,1.21107142857143
Rotorua,FALSE,1996,LABOUR PARTY,23.21,0.828928571428571
Tamaki,FALSE,1996,LABOUR PARTY,22.9,0.817857142857143
Taranaki-King Country,FALSE,1996,LABOUR PARTY,15.13,0.540357142857143
Taupo,FALSE,1996,LABOUR PARTY,28.05,1.00178571428571
Tauranga,FALSE,1996,LABOUR PARTY,21.48,0.767142857142857
Tukituki,FALSE,1996,LABOUR PARTY,31.29,1.1175
Waimakariri,FALSE,1996,LABOUR PARTY,30.38,1.085
Waipareira,FALSE,1996,LABOUR PARTY,30.11,1.07535714285714
Wairarapa,FALSE,1996,LABOUR PARTY,23.93,0.854642857142857
Waitakere,FALSE,1996,LABOUR PARTY,30.09,1.07464285714286
Wellington Central,FALSE,1996,LABOUR PARTY,26.3,0.939285714285714
West Coast-Tasman,FALSE,1996,LABOUR PARTY,31.84,1.13714285714286
Whanganui,FALSE,1996,LABOUR PARTY,28.21,1.0075
Whangarei,FALSE,1996,LABOUR PARTY,23.41,0.836071428571429
Wigram,FALSE,1996,LABOUR PARTY,31.5,1.125
Hauraki,TRUE,1999,LABOUR PARTY,56.07,1.01741970604246
Ikaroa-Rawhiti,TRUE,1999,LABOUR PARTY,59.03,1.07113046634005
Te Tai Hauauru,TRUE,1999,LABOUR PARTY,55.45,1.00616947922337
Te Tai Tokerau,TRUE,1999,LABOUR PARTY,51.59,0.936127744510978
Te Tai Tonga,TRUE,1999,LABOUR PARTY,53.81,0.976410814734168
Waiariki,TRUE,1999,LABOUR PARTY,54.92,0.996552349845763
Albany,FALSE,1999,LABOUR PARTY,29.8,0.786902561394244
Aoraki,FALSE,1999,LABOUR PARTY,42.36,1.11856350673356
Auckland Central,FALSE,1999,LABOUR PARTY,41.5,1.09585423818326
Banks Peninsula,FALSE,1999,LABOUR PARTY,37.35,0.986268814364933
Bay of Plenty,FALSE,1999,LABOUR PARTY,32.89,0.868497491418009
Christchurch Central,FALSE,1999,LABOUR PARTY,40.73,1.07552152099287
Christchurch East,FALSE,1999,LABOUR PARTY,46.83,1.2365988909427
Clutha-Southland,FALSE,1999,LABOUR PARTY,29.97,0.791391602851862
Coromandel,FALSE,1999,LABOUR PARTY,35.88,0.947451808819646
Dunedin North,FALSE,1999,LABOUR PARTY,47.88,1.26432532347505
Dunedin South,FALSE,1999,LABOUR PARTY,50.52,1.33403749669923
East Coast,FALSE,1999,LABOUR PARTY,37.91,1.00105624504885
Epsom,FALSE,1999,LABOUR PARTY,25.35,0.669395299709533
Hamilton East,FALSE,1999,LABOUR PARTY,32.74,0.864536572484817
Hamilton West,FALSE,1999,LABOUR PARTY,36.75,0.970425138632163
Hunua,FALSE,1999,LABOUR PARTY,29.75,0.785582255083179
Hutt South,FALSE,1999,LABOUR PARTY,42.18,1.11381040401373
Ilam,FALSE,1999,LABOUR PARTY,28.7,0.757855822550832
Invercargill,FALSE,1999,LABOUR PARTY,44.93,1.18642725112226
Kaikoura,FALSE,1999,LABOUR PARTY,35.09,0.926590969104833
Karapiro,FALSE,1999,LABOUR PARTY,27.56,0.727752838658569
Mana,FALSE,1999,LABOUR PARTY,44.42,1.17296012674941
Mangere,FALSE,1999,LABOUR PARTY,67.32,1.77766041721679
Manukau East,FALSE,1999,LABOUR PARTY,45.39,1.19857406918405
Manurewa,FALSE,1999,LABOUR PARTY,51.84,1.36889358331133
