Electoral District,Maori,Year,Party,Percent,Ratio
Hauraki-Waikato,TRUE,2011,MANA,11.22,0.861751152073733
Ikaroa-Rawhiti,TRUE,2011,MANA,9.6,0.737327188940092
Tamaki Makaurau,TRUE,2011,MANA,13.68,1.05069124423963
Te Tai Hauauru,TRUE,2011,MANA,8.24,0.632872503840246
Te Tai Tokerau,TRUE,2011,MANA,24.49,1.88095238095238
Te Tai Tonga,TRUE,2011,MANA,5.92,0.45468509984639
Waiariki,TRUE,2011,MANA,16.62,1.27649769585253
Auckland Central,FALSE,2011,MANA,0.69,1.97142857142857
Bay of Plenty,FALSE,2011,MANA,0.25,0.714285714285714
Botany,FALSE,2011,MANA,0.25,0.714285714285714
Christchurch Central,FALSE,2011,MANA,0.36,1.02857142857143
Christchurch East,FALSE,2011,MANA,0.22,0.628571428571429
Clutha-Southland,FALSE,2011,MANA,0.15,0.428571428571429
Coromandel,FALSE,2011,MANA,0.25,0.714285714285714
Dunedin North,FALSE,2011,MANA,0.6,1.71428571428571
Dunedin South,FALSE,2011,MANA,0.18,0.514285714285714
East Coast,FALSE,2011,MANA,0.75,2.14285714285714
East Coast Bays,FALSE,2011,MANA,0.19,0.542857142857143
Epsom,FALSE,2011,MANA,0.25,0.714285714285714
Hamilton East,FALSE,2011,MANA,0.27,0.771428571428572
Hamilton West,FALSE,2011,MANA,0.36,1.02857142857143
Helensville,FALSE,2011,MANA,0.17,0.485714285714286
Hunua,FALSE,2011,MANA,0.21,0.6
Hutt South,FALSE,2011,MANA,0.37,1.05714285714286
Ilam,FALSE,2011,MANA,0.16,0.457142857142857
Invercargill,FALSE,2011,MANA,0.19,0.542857142857143
Kaikoura,FALSE,2011,MANA,0.13,0.371428571428571
Mana,FALSE,2011,MANA,0.48,1.37142857142857
Mangere,FALSE,2011,MANA,1.01,2.88571428571429
Manukau East,FALSE,2011,MANA,0.94,2.68571428571429
Manurewa,FALSE,2011,MANA,0.85,2.42857142857143
Maungakiekie,FALSE,2011,MANA,0.41,1.17142857142857
Mt Albert,FALSE,2011,MANA,0.58,1.65714285714286
Mt Roskill,FALSE,2011,MANA,0.2,0.571428571428572
Napier,FALSE,2011,MANA,0.24,0.685714285714286
Nelson,FALSE,2011,MANA,0.19,0.542857142857143
New Lynn,FALSE,2011,MANA,0.45,1.28571428571429
New Plymouth,FALSE,2011,MANA,0.21,0.6
North Shore,FALSE,2011,MANA,0.17,0.485714285714286
Northcote,FALSE,2011,MANA,0.31,0.885714285714286
Northland,FALSE,2011,MANA,1.29,3.68571428571429
Ohariu,FALSE,2011,MANA,0.19,0.542857142857143
Otaki,FALSE,2011,MANA,0.21,0.6
Pakuranga,FALSE,2011,MANA,0.12,0.342857142857143
Palmerston North,FALSE,2011,MANA,0.28,0.8
Papakura,FALSE,2011,MANA,0.5,1.42857142857143
Port Hills,FALSE,2011,MANA,0.31,0.885714285714286
Rangitata,FALSE,2011,MANA,0.09,0.257142857142857
Rangitikei,FALSE,2011,MANA,0.2,0.571428571428572
Rimutaka,FALSE,2011,MANA,0.23,0.657142857142857
Rodney,FALSE,2011,MANA,0.15,0.428571428571429
Rongotai,FALSE,2011,MANA,0.54,1.54285714285714
Rotorua,FALSE,2011,MANA,1.04,2.97142857142857
Selwyn,FALSE,2011,MANA,0.14,0.4
Tamaki,FALSE,2011,MANA,0.27,0.771428571428572
Taranaki-King Country,FALSE,2011,MANA,0.27,0.771428571428572
Taupo,FALSE,2011,MANA,0.41,1.17142857142857
Tauranga,FALSE,2011,MANA,0.16,0.457142857142857
Te Atatu,FALSE,2011,MANA,0.52,1.48571428571429
Tukituki,FALSE,2011,MANA,0.34,0.971428571428572
Waikato,FALSE,2011,MANA,0.29,0.828571428571429
Waimakariri,FALSE,2011,MANA,0.1,0.285714285714286
Wairarapa,FALSE,2011,MANA,0.21,0.6
Waitakere,FALSE,2011,MANA,0.56,1.6
Waitaki,FALSE,2011,MANA,0.13,0.371428571428571
Wellington Central,FALSE,2011,MANA,0.63,1.8
West Coast-Tasman,FALSE,2011,MANA,0.27,0.771428571428572
Whanganui,FALSE,2011,MANA,0.24,0.685714285714286
Whangarei,FALSE,2011,MANA,0.69,1.97142857142857
Wigram,FALSE,2011,MANA,0.2,0.571428571428572
