Electoral District,Maori,Year,Party,Percent,Ratio
Ikaroa-Rawhiti,TRUE,2005,MAORI PARTY,28.06,1.01299639
Tainui,TRUE,2005,MAORI PARTY,27.7,1
Tamaki Makaurau,TRUE,2005,MAORI PARTY,27.48,0.992057762
Te Tai Hauauru,TRUE,2005,MAORI PARTY,31.68,1.14368231
Te Tai Tokerau,TRUE,2005,MAORI PARTY,31,1.119133574
Te Tai Tonga,TRUE,2005,MAORI PARTY,17.55,0.633574007
Waiariki,TRUE,2005,MAORI PARTY,30.79,1.111552347
Aoraki,FALSE,2005,MAORI PARTY,0.11,0.215686275
Auckland Central,FALSE,2005,MAORI PARTY,0.61,1.196078431
Banks Peninsula,FALSE,2005,MAORI PARTY,0.2,0.392156863
Bay of Plenty,FALSE,2005,MAORI PARTY,0.62,1.215686275
Christchurch Central,FALSE,2005,MAORI PARTY,0.34,0.666666667
Christchurch East,FALSE,2005,MAORI PARTY,0.27,0.529411765
Clevedon,FALSE,2005,MAORI PARTY,0.53,1.039215686
Clutha-Southland,FALSE,2005,MAORI PARTY,0.21,0.411764706
Coromandel,FALSE,2005,MAORI PARTY,0.45,0.882352941
Dunedin North,FALSE,2005,MAORI PARTY,0.29,0.568627451
Dunedin South,FALSE,2005,MAORI PARTY,0.22,0.431372549
East Coast,FALSE,2005,MAORI PARTY,1.59,3.117647059
East Coast Bays,FALSE,2005,MAORI PARTY,0.26,0.509803922
Epsom,FALSE,2005,MAORI PARTY,0.29,0.568627451
Hamilton East,FALSE,2005,MAORI PARTY,0.62,1.215686275
Hamilton West,FALSE,2005,MAORI PARTY,0.67,1.31372549
Helensville,FALSE,2005,MAORI PARTY,0.41,0.803921569
Hutt South,FALSE,2005,MAORI PARTY,0.59,1.156862745
Ilam,FALSE,2005,MAORI PARTY,0.17,0.333333333
Invercargill,FALSE,2005,MAORI PARTY,0.33,0.647058824
Kaikoura,FALSE,2005,MAORI PARTY,0.38,0.745098039
Mana,FALSE,2005,MAORI PARTY,0.77,1.509803922
Mangere,FALSE,2005,MAORI PARTY,1.15,2.254901961
Manukau East,FALSE,2005,MAORI PARTY,0.62,1.215686275
Manurewa,FALSE,2005,MAORI PARTY,1.32,2.588235294
Maungakiekie,FALSE,2005,MAORI PARTY,0.6,1.176470588
Mt Albert,FALSE,2005,MAORI PARTY,0.52,1.019607843
Mt Roskill,FALSE,2005,MAORI PARTY,0.36,0.705882353
Napier,FALSE,2005,MAORI PARTY,0.42,0.823529412
Nelson,FALSE,2005,MAORI PARTY,0.24,0.470588235
New Lynn,FALSE,2005,MAORI PARTY,0.39,0.764705882
New Plymouth,FALSE,2005,MAORI PARTY,0.44,0.862745098
North Shore,FALSE,2005,MAORI PARTY,0.28,0.549019608
Northcote,FALSE,2005,MAORI PARTY,0.42,0.823529412
Northland,FALSE,2005,MAORI PARTY,1.56,3.058823529
Ohariu-Belmont,FALSE,2005,MAORI PARTY,0.28,0.549019608
Otago,FALSE,2005,MAORI PARTY,0.17,0.333333333
Otaki,FALSE,2005,MAORI PARTY,0.74,1.450980392
Pakuranga,FALSE,2005,MAORI PARTY,0.2,0.392156863
Palmerston North,FALSE,2005,MAORI PARTY,0.49,0.960784314
Piako,FALSE,2005,MAORI PARTY,0.43,0.843137255
Port Waikato,FALSE,2005,MAORI PARTY,0.64,1.254901961
Rakaia,FALSE,2005,MAORI PARTY,0.14,0.274509804
Rangitikei,FALSE,2005,MAORI PARTY,0.61,1.196078431
Rimutaka,FALSE,2005,MAORI PARTY,0.52,1.019607843
Rodney,FALSE,2005,MAORI PARTY,0.28,0.549019608
Rongotai,FALSE,2005,MAORI PARTY,0.63,1.235294118
Rotorua,FALSE,2005,MAORI PARTY,1.56,3.058823529
Tamaki,FALSE,2005,MAORI PARTY,0.4,0.784313725
Taranaki-King Country,FALSE,2005,MAORI PARTY,0.61,1.196078431
Taupo,FALSE,2005,MAORI PARTY,1.15,2.254901961
Tauranga,FALSE,2005,MAORI PARTY,0.34,0.666666667
Te Atatu,FALSE,2005,MAORI PARTY,0.7,1.37254902
Tukituki,FALSE,2005,MAORI PARTY,0.72,1.411764706
Waimakariri,FALSE,2005,MAORI PARTY,0.16,0.31372549
Wairarapa,FALSE,2005,MAORI PARTY,0.51,1
Waitakere,FALSE,2005,MAORI PARTY,0.66,1.294117647
Wellington Central,FALSE,2005,MAORI PARTY,0.41,0.803921569
West Coast-Tasman,FALSE,2005,MAORI PARTY,0.37,0.725490196
Whanganui,FALSE,2005,MAORI PARTY,0.81,1.588235294
Whangarei,FALSE,2005,MAORI PARTY,0.74,1.450980392
Wigram,FALSE,2005,MAORI PARTY,0.27,0.529411765
Hauraki-Waikato,TRUE,2008,MAORI PARTY,27.68,0.958116996
Ikaroa-Rawhiti,TRUE,2008,MAORI PARTY,26.89,0.930771893
Tamaki Makaurau,TRUE,2008,MAORI PARTY,28.61,0.990308065
Te Tai Hauauru,TRUE,2008,MAORI PARTY,30.76,1.06472828
Te Tai Tokerau,TRUE,2008,MAORI PARTY,30.77,1.06507442
Te Tai Tonga,TRUE,2008,MAORI PARTY,22.26,0.770508827
Waiariki,TRUE,2008,MAORI PARTY,35.26,1.22049152
Auckland Central,FALSE,2008,MAORI PARTY,0.93,1.273972603
Bay of Plenty,FALSE,2008,MAORI PARTY,0.7,0.95890411
Botany,FALSE,2008,MAORI PARTY,0.31,0.424657534
Christchurch Central,FALSE,2008,MAORI PARTY,0.7,0.95890411
Christchurch East,FALSE,2008,MAORI PARTY,0.51,0.698630137
Clutha-Southland,FALSE,2008,MAORI PARTY,0.42,0.575342466
Coromandel,FALSE,2008,MAORI PARTY,0.74,1.01369863
Dunedin North,FALSE,2008,MAORI PARTY,0.7,0.95890411
Dunedin South,FALSE,2008,MAORI PARTY,0.43,0.589041096
East Coast,FALSE,2008,MAORI PARTY,1.44,1.97260274
East Coast Bays,FALSE,2008,MAORI PARTY,0.4,0.547945205
Epsom,FALSE,2008,MAORI PARTY,0.58,0.794520548
Hamilton East,FALSE,2008,MAORI PARTY,0.95,1.301369863
Hamilton West,FALSE,2008,MAORI PARTY,1.07,1.465753425
Helensville,FALSE,2008,MAORI PARTY,0.49,0.671232877
Hunua,FALSE,2008,MAORI PARTY,0.54,0.739726027
Hutt South,FALSE,2008,MAORI PARTY,0.85,1.164383562
Ilam,FALSE,2008,MAORI PARTY,0.53,0.726027397
Invercargill,FALSE,2008,MAORI PARTY,0.58,0.794520548
Kaikoura,FALSE,2008,MAORI PARTY,0.56,0.767123288
Mana,FALSE,2008,MAORI PARTY,1.03,1.410958904
Mangere,FALSE,2008,MAORI PARTY,0.96,1.315068493
Manukau East,FALSE,2008,MAORI PARTY,1.01,1.383561644
Manurewa,FALSE,2008,MAORI PARTY,1.26,1.726027397
Maungakiekie,FALSE,2008,MAORI PARTY,0.68,0.931506849
Mt Albert,FALSE,2008,MAORI PARTY,0.78,1.068493151
Mt Roskill,FALSE,2008,MAORI PARTY,0.48,0.657534247
Napier,FALSE,2008,MAORI PARTY,0.77,1.054794521
Nelson,FALSE,2008,MAORI PARTY,0.51,0.698630137
New Lynn,FALSE,2008,MAORI PARTY,0.7,0.95890411
New Plymouth,FALSE,2008,MAORI PARTY,0.75,1.02739726
North Shore,FALSE,2008,MAORI PARTY,0.6,0.821917808
Northcote,FALSE,2008,MAORI PARTY,0.64,0.876712329
Northland,FALSE,2008,MAORI PARTY,1.48,2.02739726
Ohariu,FALSE,2008,MAORI PARTY,0.73,1
Otaki,FALSE,2008,MAORI PARTY,0.82,1.123287671
Pakuranga,FALSE,2008,MAORI PARTY,0.3,0.410958904
Palmerston North,FALSE,2008,MAORI PARTY,0.71,0.97260274
Papakura,FALSE,2008,MAORI PARTY,0.93,1.273972603
Port Hills,FALSE,2008,MAORI PARTY,0.68,0.931506849
Rangitata,FALSE,2008,MAORI PARTY,0.31,0.424657534
Rangitikei,FALSE,2008,MAORI PARTY,0.91,1.246575342
Rimutaka,FALSE,2008,MAORI PARTY,0.73,1
Rodney,FALSE,2008,MAORI PARTY,0.48,0.657534247
Rongotai,FALSE,2008,MAORI PARTY,0.92,1.260273973
Rotorua,FALSE,2008,MAORI PARTY,1.78,2.438356164
Selwyn,FALSE,2008,MAORI PARTY,0.41,0.561643836
Tamaki,FALSE,2008,MAORI PARTY,0.52,0.712328767
Taranaki-King Country,FALSE,2008,MAORI PARTY,1.01,1.383561644
Taupo,FALSE,2008,MAORI PARTY,0.92,1.260273973
Tauranga,FALSE,2008,MAORI PARTY,0.57,0.780821918
Te Atatu,FALSE,2008,MAORI PARTY,0.83,1.136986301
Tukituki,FALSE,2008,MAORI PARTY,0.87,1.191780822
Waikato,FALSE,2008,MAORI PARTY,0.73,1
