Electoral District,Maori,Year,Party,Percent,Ratio
Te Puko O Te Whenua,TRUE,1996,NEW ZEALAND FIRST PARTY,41.57,0.982974699
Te Tai Hauauru,TRUE,1996,NEW ZEALAND FIRST PARTY,44.02,1.040908016
Te Tai Rawhiti,TRUE,1996,NEW ZEALAND FIRST PARTY,47.53,1.123906361
Te Tai Tokerau,TRUE,1996,NEW ZEALAND FIRST PARTY,45.38,1.073066919
Te Tai Tonga,TRUE,1996,NEW ZEALAND FIRST PARTY,32.47,0.767793805
Albany,FALSE,1996,NEW ZEALAND FIRST PARTY,9.91,0.83628692
Aoraki,FALSE,1996,NEW ZEALAND FIRST PARTY,11.46,0.967088608
Auckland Central,FALSE,1996,NEW ZEALAND FIRST PARTY,6.87,0.579746835
Banks Peninsula,FALSE,1996,NEW ZEALAND FIRST PARTY,7.41,0.625316456
Bay of Plenty,FALSE,1996,NEW ZEALAND FIRST PARTY,22.07,1.862447257
Christchurch Central,FALSE,1996,NEW ZEALAND FIRST PARTY,8.01,0.675949367
Christchurch East,FALSE,1996,NEW ZEALAND FIRST PARTY,8.76,0.739240506
Clutha-Southland,FALSE,1996,NEW ZEALAND FIRST PARTY,14.97,1.263291139
Coromandel,FALSE,1996,NEW ZEALAND FIRST PARTY,20.15,1.700421941
Dunedin North,FALSE,1996,NEW ZEALAND FIRST PARTY,6.64,0.560337553
Dunedin South,FALSE,1996,NEW ZEALAND FIRST PARTY,8.27,0.697890295
Epsom,FALSE,1996,NEW ZEALAND FIRST PARTY,5.71,0.48185654
Hamilton East,FALSE,1996,NEW ZEALAND FIRST PARTY,11.04,0.93164557
Hamilton West,FALSE,1996,NEW ZEALAND FIRST PARTY,13.55,1.143459916
Hunua,FALSE,1996,NEW ZEALAND FIRST PARTY,13.74,1.159493671
Hutt South,FALSE,1996,NEW ZEALAND FIRST PARTY,8.34,0.703797468
Ilam,FALSE,1996,NEW ZEALAND FIRST PARTY,7.66,0.646413502
Invercargill,FALSE,1996,NEW ZEALAND FIRST PARTY,11.89,1.003375527
Kaikoura,FALSE,1996,NEW ZEALAND FIRST PARTY,14.29,1.205907173
Karapiro,FALSE,1996,NEW ZEALAND FIRST PARTY,16.28,1.373839662
Mahia,FALSE,1996,NEW ZEALAND FIRST PARTY,14.93,1.259915612
Mana,FALSE,1996,NEW ZEALAND FIRST PARTY,8.62,0.72742616
Mangere,FALSE,1996,NEW ZEALAND FIRST PARTY,10.13,0.854852321
Manukau East,FALSE,1996,NEW ZEALAND FIRST PARTY,10.35,0.873417722
Manurewa,FALSE,1996,NEW ZEALAND FIRST PARTY,13.08,1.103797468
Maungakiekie,FALSE,1996,NEW ZEALAND FIRST PARTY,10.54,0.889451477
Napier,FALSE,1996,NEW ZEALAND FIRST PARTY,11.87,1.001687764
Nelson,FALSE,1996,NEW ZEALAND FIRST PARTY,9.88,0.833755274
New Lynn,FALSE,1996,NEW ZEALAND FIRST PARTY,10.71,0.903797468
New Plymouth,FALSE,1996,NEW ZEALAND FIRST PARTY,11.87,1.001687764
North Shore,FALSE,1996,NEW ZEALAND FIRST PARTY,9.74,0.821940928
Northcote,FALSE,1996,NEW ZEALAND FIRST PARTY,9.56,0.806751055
Northland,FALSE,1996,NEW ZEALAND FIRST PARTY,21.74,1.834599156
Ohariu-Belmont,FALSE,1996,NEW ZEALAND FIRST PARTY,5.88,0.496202532
Otago,FALSE,1996,NEW ZEALAND FIRST PARTY,10.85,0.915611814
Otaki,FALSE,1996,NEW ZEALAND FIRST PARTY,12.58,1.061603376
Owairaka,FALSE,1996,NEW ZEALAND FIRST PARTY,8.27,0.697890295
Pakuranga,FALSE,1996,NEW ZEALAND FIRST PARTY,11.18,0.943459916
Palmerston North,FALSE,1996,NEW ZEALAND FIRST PARTY,10.52,0.887763713
Port Waikato,FALSE,1996,NEW ZEALAND FIRST PARTY,17.37,1.465822785
Rakaia,FALSE,1996,NEW ZEALAND FIRST PARTY,11.43,0.964556962
Rangitikei,FALSE,1996,NEW ZEALAND FIRST PARTY,15.11,1.275105485
Rimutaka,FALSE,1996,NEW ZEALAND FIRST PARTY,9.96,0.840506329
Rodney,FALSE,1996,NEW ZEALAND FIRST PARTY,15.45,1.303797468
Rongotai,FALSE,1996,NEW ZEALAND FIRST PARTY,6.42,0.541772152
Rotorua,FALSE,1996,NEW ZEALAND FIRST PARTY,18.24,1.539240506
Tamaki,FALSE,1996,NEW ZEALAND FIRST PARTY,8.7,0.734177215
Taranaki-King Country,FALSE,1996,NEW ZEALAND FIRST PARTY,14.89,1.256540084
Taupo,FALSE,1996,NEW ZEALAND FIRST PARTY,16.66,1.405907173
Tauranga,FALSE,1996,NEW ZEALAND FIRST PARTY,25.84,2.180590717
Tukituki,FALSE,1996,NEW ZEALAND FIRST PARTY,11.5,0.970464135
Waimakariri,FALSE,1996,NEW ZEALAND FIRST PARTY,10,0.843881857
Waipareira,FALSE,1996,NEW ZEALAND FIRST PARTY,11.18,0.943459916
Wairarapa,FALSE,1996,NEW ZEALAND FIRST PARTY,15.76,1.329957806
Waitakere,FALSE,1996,NEW ZEALAND FIRST PARTY,10.87,0.917299578
Wellington Central,FALSE,1996,NEW ZEALAND FIRST PARTY,3.68,0.310548523
West Coast-Tasman,FALSE,1996,NEW ZEALAND FIRST PARTY,12.58,1.061603376
Whanganui,FALSE,1996,NEW ZEALAND FIRST PARTY,14.15,1.194092827
Whangarei,FALSE,1996,NEW ZEALAND FIRST PARTY,19.72,1.664135021
Wigram,FALSE,1996,NEW ZEALAND FIRST PARTY,7.63,0.643881857
Hauraki,TRUE,1999,NEW ZEALAND FIRST PARTY,13.34,1.012139605
Ikaroa-Rawhiti,TRUE,1999,NEW ZEALAND FIRST PARTY,11.98,0.908952959
Te Tai Hauauru,TRUE,1999,NEW ZEALAND FIRST PARTY,12.52,0.949924127
Te Tai Tokerau,TRUE,1999,NEW ZEALAND FIRST PARTY,15.73,1.193474962
Te Tai Tonga,TRUE,1999,NEW ZEALAND FIRST PARTY,10.4,0.789074355
Waiariki,TRUE,1999,NEW ZEALAND FIRST PARTY,15.2,1.153262519
Albany,FALSE,1999,NEW ZEALAND FIRST PARTY,3,0.793650794
Aoraki,FALSE,1999,NEW ZEALAND FIRST PARTY,2.92,0.772486772
Auckland Central,FALSE,1999,NEW ZEALAND FIRST PARTY,2.04,0.53968254
Banks Peninsula,FALSE,1999,NEW ZEALAND FIRST PARTY,2.1,0.555555556
Bay of Plenty,FALSE,1999,NEW ZEALAND FIRST PARTY,9.22,2.439153439
Christchurch Central,FALSE,1999,NEW ZEALAND FIRST PARTY,2.67,0.706349206
Christchurch East,FALSE,1999,NEW ZEALAND FIRST PARTY,2.23,0.58994709
Clutha-Southland,FALSE,1999,NEW ZEALAND FIRST PARTY,3.4,0.899470899
Coromandel,FALSE,1999,NEW ZEALAND FIRST PARTY,6.97,1.843915344
Dunedin North,FALSE,1999,NEW ZEALAND FIRST PARTY,1.28,0.338624339
Dunedin South,FALSE,1999,NEW ZEALAND FIRST PARTY,2.12,0.560846561
East Coast,FALSE,1999,NEW ZEALAND FIRST PARTY,5,1.322751323
Epsom,FALSE,1999,NEW ZEALAND FIRST PARTY,2.31,0.611111111
Hamilton East,FALSE,1999,NEW ZEALAND FIRST PARTY,3.94,1.042328042
Hamilton West,FALSE,1999,NEW ZEALAND FIRST PARTY,4.3,1.137566138
Hunua,FALSE,1999,NEW ZEALAND FIRST PARTY,4.93,1.304232804
Hutt South,FALSE,1999,NEW ZEALAND FIRST PARTY,2.46,0.650793651
Ilam,FALSE,1999,NEW ZEALAND FIRST PARTY,2.4,0.634920635
Invercargill,FALSE,1999,NEW ZEALAND FIRST PARTY,2.77,0.732804233
Kaikoura,FALSE,1999,NEW ZEALAND FIRST PARTY,3.59,0.94973545
Karapiro,FALSE,1999,NEW ZEALAND FIRST PARTY,6.35,1.67989418
Mana,FALSE,1999,NEW ZEALAND FIRST PARTY,2.3,0.608465608
Mangere,FALSE,1999,NEW ZEALAND FIRST PARTY,2.92,0.772486772
Manukau East,FALSE,1999,NEW ZEALAND FIRST PARTY,3.2,0.846560847
Manurewa,FALSE,1999,NEW ZEALAND FIRST PARTY,3.34,0.883597884
Maungakiekie,FALSE,1999,NEW ZEALAND FIRST PARTY,2.84,0.751322751
Mt Albert,FALSE,1999,NEW ZEALAND FIRST PARTY,2.33,0.616402116
Mt Roskill,FALSE,1999,NEW ZEALAND FIRST PARTY,3.3,0.873015873
Napier,FALSE,1999,NEW ZEALAND FIRST PARTY,2.54,0.671957672
Nelson,FALSE,1999,NEW ZEALAND FIRST PARTY,2.1,0.555555556
New Plymouth,FALSE,1999,NEW ZEALAND FIRST PARTY,3.7,0.978835979
North Shore,FALSE,1999,NEW ZEALAND FIRST PARTY,3.33,0.880952381
Northcote,FALSE,1999,NEW ZEALAND FIRST PARTY,3.23,0.854497354
Northland,FALSE,1999,NEW ZEALAND FIRST PARTY,8.19,2.166666667
Ohariu-Belmont,FALSE,1999,NEW ZEALAND FIRST PARTY,1.97,0.521164021
Otago,FALSE,1999,NEW ZEALAND FIRST PARTY,2.1,0.555555556
Otaki,FALSE,1999,NEW ZEALAND FIRST PARTY,3.89,1.029100529
Pakuranga,FALSE,1999,NEW ZEALAND FIRST PARTY,3.87,1.023809524
Palmerston North,FALSE,1999,NEW ZEALAND FIRST PARTY,3.17,0.838624339
Port Waikato,FALSE,1999,NEW ZEALAND FIRST PARTY,5.58,1.476190476
Rakaia,FALSE,1999,NEW ZEALAND FIRST PARTY,2.76,0.73015873
Rangitikei,FALSE,1999,NEW ZEALAND FIRST PARTY,4.8,1.26984127
Rimutaka,FALSE,1999,NEW ZEALAND FIRST PARTY,2.9,0.767195767
Rodney,FALSE,1999,NEW ZEALAND FIRST PARTY,5.69,1.505291005
Rongotai,FALSE,1999,NEW ZEALAND FIRST PARTY,2.2,0.582010582
Rotorua,FALSE,1999,NEW ZEALAND FIRST PARTY,5.81,1.537037037
Tamaki,FALSE,1999,NEW ZEALAND FIRST PARTY,2.97,0.785714286
Taranaki-King Country,FALSE,1999,NEW ZEALAND FIRST PARTY,5.17,1.367724868
Taupo,FALSE,1999,NEW ZEALAND FIRST PARTY,4.53,1.198412698
Tauranga,FALSE,1999,NEW ZEALAND FIRST PARTY,12.92,3.417989418
Te Atatu,FALSE,1999,NEW ZEALAND FIRST PARTY,3.4,0.899470899
Titirangi,FALSE,1999,NEW ZEALAND FIRST PARTY,2.81,0.743386243
Tukituki,FALSE,1999,NEW ZEALAND FIRST PARTY,2.99,0.791005291
Waimakariri,FALSE,1999,NEW ZEALAND FIRST PARTY,3.2,0.846560847
Wairarapa,FALSE,1999,NEW ZEALAND FIRST PARTY,4.31,1.14021164
Waitakere,FALSE,1999,NEW ZEALAND FIRST PARTY,3.44,0.91005291
Wellington Central,FALSE,1999,NEW ZEALAND FIRST PARTY,1.39,0.367724868
West Coast-Tasman,FALSE,1999,NEW ZEALAND FIRST PARTY,6.3,1.666666667
Whanganui,FALSE,1999,NEW ZEALAND FIRST PARTY,4.52,1.195767196
Whangarei,FALSE,1999,NEW ZEALAND FIRST PARTY,6.91,1.828042328
Wigram,FALSE,1999,NEW ZEALAND FIRST PARTY,2.45,0.648148148
Ikaroa-Rawhiti,TRUE,2002,NEW ZEALAND FIRST PARTY,12.4,0.831099196
Tainui,TRUE,2002,NEW ZEALAND FIRST PARTY,14.6,0.978552279
Tamaki Makaurau,TRUE,2002,NEW ZEALAND FIRST PARTY,15.03,1.007372654
Te Tai Hauauru,TRUE,2002,NEW ZEALAND FIRST PARTY,12.66,0.848525469
Te Tai Tokerau,TRUE,2002,NEW ZEALAND FIRST PARTY,20.49,1.373324397
Te Tai Tonga,TRUE,2002,NEW ZEALAND FIRST PARTY,12.26,0.821715818
Waiariki,TRUE,2002,NEW ZEALAND FIRST PARTY,16.53,1.107908847
Aoraki,FALSE,2002,NEW ZEALAND FIRST PARTY,8.81,0.869693978
Auckland Central,FALSE,2002,NEW ZEALAND FIRST PARTY,5.73,0.565646594
Banks Peninsula,FALSE,2002,NEW ZEALAND FIRST PARTY,6.4,0.631786772
Bay of Plenty,FALSE,2002,NEW ZEALAND FIRST PARTY,22.53,2.224086871
Christchurch Central,FALSE,2002,NEW ZEALAND FIRST PARTY,6.72,0.663376111
Christchurch East,FALSE,2002,NEW ZEALAND FIRST PARTY,8.05,0.794669299
Clevedon,FALSE,2002,NEW ZEALAND FIRST PARTY,13.86,1.368213228
Clutha-Southland,FALSE,2002,NEW ZEALAND FIRST PARTY,6.77,0.668311945
Coromandel,FALSE,2002,NEW ZEALAND FIRST PARTY,16.76,1.654491609
Dunedin North,FALSE,2002,NEW ZEALAND FIRST PARTY,4.46,0.440276407
Dunedin South,FALSE,2002,NEW ZEALAND FIRST PARTY,6.15,0.607107601
East Coast,FALSE,2002,NEW ZEALAND FIRST PARTY,13.88,1.370187562
East Coast Bays,FALSE,2002,NEW ZEALAND FIRST PARTY,9.97,0.984205331
Epsom,FALSE,2002,NEW ZEALAND FIRST PARTY,6.14,0.606120434
Hamilton East,FALSE,2002,NEW ZEALAND FIRST PARTY,10.24,1.010858835
Hamilton West,FALSE,2002,NEW ZEALAND FIRST PARTY,11.71,1.155972359
Helensville,FALSE,2002,NEW ZEALAND FIRST PARTY,11.94,1.178677196
Hutt South,FALSE,2002,NEW ZEALAND FIRST PARTY,6.94,0.685093781
Ilam,FALSE,2002,NEW ZEALAND FIRST PARTY,6.99,0.690029615
Invercargill,FALSE,2002,NEW ZEALAND FIRST PARTY,6.1,0.602171767
Kaikoura,FALSE,2002,NEW ZEALAND FIRST PARTY,8.77,0.865745311
Mana,FALSE,2002,NEW ZEALAND FIRST PARTY,6.3,0.621915104
Mangere,FALSE,2002,NEW ZEALAND FIRST PARTY,6.39,0.630799605
Manukau East,FALSE,2002,NEW ZEALAND FIRST PARTY,8.11,0.8005923
Manurewa,FALSE,2002,NEW ZEALAND FIRST PARTY,10.19,1.005923001
Maungakiekie,FALSE,2002,NEW ZEALAND FIRST PARTY,7.67,0.75715696
Mt Albert,FALSE,2002,NEW ZEALAND FIRST PARTY,6.43,0.634748272
Mt Roskill,FALSE,2002,NEW ZEALAND FIRST PARTY,7.79,0.769002962
Napier,FALSE,2002,NEW ZEALAND FIRST PARTY,9.35,0.923000987
Nelson,FALSE,2002,NEW ZEALAND FIRST PARTY,6.37,0.628825271
New Lynn,FALSE,2002,NEW ZEALAND FIRST PARTY,10.12,0.999012833
New Plymouth,FALSE,2002,NEW ZEALAND FIRST PARTY,11.93,1.17769003
North Shore,FALSE,2002,NEW ZEALAND FIRST PARTY,10.17,1.003948667
Northcote,FALSE,2002,NEW ZEALAND FIRST PARTY,9.89,0.976307996
Northland,FALSE,2002,NEW ZEALAND FIRST PARTY,19.03,1.87857848
Ohariu-Belmont,FALSE,2002,NEW ZEALAND FIRST PARTY,4.9,0.483711747
Otago,FALSE,2002,NEW ZEALAND FIRST PARTY,6.66,0.65745311
Otaki,FALSE,2002,NEW ZEALAND FIRST PARTY,10.99,1.084896347
Pakuranga,FALSE,2002,NEW ZEALAND FIRST PARTY,11.89,1.173741362
Palmerston North,FALSE,2002,NEW ZEALAND FIRST PARTY,8.61,0.849950642
Piako,FALSE,2002,NEW ZEALAND FIRST PARTY,15.72,1.551826259
Port Waikato,FALSE,2002,NEW ZEALAND FIRST PARTY,16.57,1.635735439
Rakaia,FALSE,2002,NEW ZEALAND FIRST PARTY,8.6,0.848963475
Rangitikei,FALSE,2002,NEW ZEALAND FIRST PARTY,11.45,1.130306022
Rimutaka,FALSE,2002,NEW ZEALAND FIRST PARTY,8.27,0.816386969
Rodney,FALSE,2002,NEW ZEALAND FIRST PARTY,15.38,1.518262586
Rongotai,FALSE,2002,NEW ZEALAND FIRST PARTY,5.42,0.535044423
