Electoral District,Maori,Year,Party,Percent,Ratio
Albany,FALSE,1996,NATIONAL PARTY,44.31,1.256308477
Albany,FALSE,1999,NATIONAL PARTY,39.41,1.238529227
Aoraki,FALSE,1996,NATIONAL PARTY,32.75,0.928551177
Aoraki,FALSE,1999,NATIONAL PARTY,30.55,0.960087995
Aoraki,FALSE,2002,NATIONAL PARTY,24.12,1.1023766
Aoraki,FALSE,2005,NATIONAL PARTY,43.06,1.042867522
Auckland Central,FALSE,1996,NATIONAL PARTY,26.65,0.75559966
Auckland Central,FALSE,1999,NATIONAL PARTY,23.56,0.740414833
Auckland Central,FALSE,2002,NATIONAL PARTY,15.03,0.686928702
Auckland Central,FALSE,2005,NATIONAL PARTY,33.72,0.81666263
Auckland Central,FALSE,2008,NATIONAL PARTY,40.08,0.847895071
Auckland Central,FALSE,2011,NATIONAL PARTY,42.24,0.850070437
Auckland Central,FALSE,2014,NATIONAL PARTY,44.93,0.905481661
Banks Peninsula,FALSE,1999,NATIONAL PARTY,33.69,1.05876807
Banks Peninsula,FALSE,2002,NATIONAL PARTY,21.59,0.986745887
Banks Peninsula,FALSE,2005,NATIONAL PARTY,38.48,0.931944781
Banks Peninsula,FALSE,1996,NATIONAL PARTY,37.3,1.057555997
Bay of Plenty,FALSE,1996,NATIONAL PARTY,34.73,0.984689538
Bay of Plenty,FALSE,1999,NATIONAL PARTY,32.91,1.034255185
Bay of Plenty,FALSE,2002,NATIONAL PARTY,23.29,1.064442413
Bay of Plenty,FALSE,2005,NATIONAL PARTY,49.12,1.189634294
Bay of Plenty,FALSE,2008,NATIONAL PARTY,58.7,1.241802412
Bay of Plenty,FALSE,2011,NATIONAL PARTY,57.64,1.15999195
Bay of Plenty,FALSE,2014,NATIONAL PARTY,57.66,1.162031439
Botany,FALSE,2008,NATIONAL PARTY,61.25,1.295747832
Botany,FALSE,2011,NATIONAL PARTY,61.13,1.23022741
Botany,FALSE,2014,NATIONAL PARTY,59.65,1.202136235
Christchurch Central,FALSE,1996,NATIONAL PARTY,30.77,0.872412815
Christchurch Central,FALSE,1999,NATIONAL PARTY,27,0.848522942
Christchurch Central,FALSE,2002,NATIONAL PARTY,17.04,0.778793419
Christchurch Central,FALSE,2005,NATIONAL PARTY,30.51,0.738919835
Christchurch Central,FALSE,2008,NATIONAL PARTY,37.58,0.795007404
Christchurch Central,FALSE,2011,NATIONAL PARTY,44.63,0.898168646
Christchurch Central,FALSE,2014,NATIONAL PARTY,44.66,0.900040306
Christchurch East,FALSE,1996,NATIONAL PARTY,26.47,0.750496172
Christchurch East,FALSE,1999,NATIONAL PARTY,24.26,0.762413576
Christchurch East,FALSE,2002,NATIONAL PARTY,13.88,0.634369287
Christchurch East,FALSE,2005,NATIONAL PARTY,27.86,0.674739646
Christchurch East,FALSE,2008,NATIONAL PARTY,35.7,0.755235879
Christchurch East,FALSE,2011,NATIONAL PARTY,46.1,0.927752063
Christchurch East,FALSE,2014,NATIONAL PARTY,39.79,0.801894397
Clevedon,FALSE,2002,NATIONAL PARTY,24.71,1.129341865
Clevedon,FALSE,2005,NATIONAL PARTY,52.01,1.259627028
Clutha-Southland,FALSE,1996,NATIONAL PARTY,42.74,1.211794726
Clutha-Southland,FALSE,1999,NATIONAL PARTY,42.05,1.321495915
Clutha-Southland,FALSE,2002,NATIONAL PARTY,40.69,1.859689214
Clutha-Southland,FALSE,2005,NATIONAL PARTY,57.14,1.383870186
Clutha-Southland,FALSE,2008,NATIONAL PARTY,59.87,1.26655384
Clutha-Southland,FALSE,2011,NATIONAL PARTY,62.89,1.265647011
