Electoral District,Maori,Year,Party,Percent,Ratio
Ikaroa-Rawhiti,TRUE,2002,UNITED FUTURE,1.62,0.658536585365854
Tainui,TRUE,2002,UNITED FUTURE,2.33,0.947154471544715
Tamaki Makaurau,TRUE,2002,UNITED FUTURE,2.54,1.03252032520325
Te Tai Hauauru,TRUE,2002,UNITED FUTURE,2.61,1.0609756097561
Te Tai Tokerau,TRUE,2002,UNITED FUTURE,2.15,0.873983739837398
Te Tai Tonga,TRUE,2002,UNITED FUTURE,3.21,1.30487804878049
Waiariki,TRUE,2002,UNITED FUTURE,2.73,1.10975609756098
Aoraki,FALSE,2002,UNITED FUTURE,6,0.865800865800866
Auckland Central,FALSE,2002,UNITED FUTURE,4.01,0.578643578643579
Banks Peninsula,FALSE,2002,UNITED FUTURE,7.43,1.07215007215007
Bay of Plenty,FALSE,2002,UNITED FUTURE,8.19,1.18181818181818
Christchurch Central,FALSE,2002,UNITED FUTURE,6.76,0.975468975468975
Christchurch East,FALSE,2002,UNITED FUTURE,7.61,1.0981240981241
Clevedon,FALSE,2002,UNITED FUTURE,7.26,1.04761904761905
Clutha-Southland,FALSE,2002,UNITED FUTURE,6.6,0.952380952380952
Coromandel,FALSE,2002,UNITED FUTURE,6.3,0.909090909090909
Dunedin North,FALSE,2002,UNITED FUTURE,5.54,0.799422799422799
Dunedin South,FALSE,2002,UNITED FUTURE,5.87,0.847041847041847
East Coast,FALSE,2002,UNITED FUTURE,6.47,0.933621933621934
East Coast Bays,FALSE,2002,UNITED FUTURE,9.62,1.38816738816739
Epsom,FALSE,2002,UNITED FUTURE,5.72,0.825396825396825
Hamilton East,FALSE,2002,UNITED FUTURE,8.31,1.1991341991342
Hamilton West,FALSE,2002,UNITED FUTURE,6.83,0.985569985569986
Helensville,FALSE,2002,UNITED FUTURE,8.29,1.1962481962482
Hutt South,FALSE,2002,UNITED FUTURE,8.76,1.26406926406926
Ilam,FALSE,2002,UNITED FUTURE,8.28,1.19480519480519
Invercargill,FALSE,2002,UNITED FUTURE,6.14,0.886002886002886
Kaikoura,FALSE,2002,UNITED FUTURE,5.77,0.832611832611833
Mana,FALSE,2002,UNITED FUTURE,8.91,1.28571428571429
Mangere,FALSE,2002,UNITED FUTURE,3.58,0.516594516594517
Manukau East,FALSE,2002,UNITED FUTURE,4.92,0.70995670995671
Manurewa,FALSE,2002,UNITED FUTURE,5.53,0.797979797979798
Maungakiekie,FALSE,2002,UNITED FUTURE,5.85,0.844155844155844
Mt Albert,FALSE,2002,UNITED FUTURE,5.32,0.767676767676768
Mt Roskill,FALSE,2002,UNITED FUTURE,7.23,1.04329004329004
Napier,FALSE,2002,UNITED FUTURE,6.07,0.875901875901876
Nelson,FALSE,2002,UNITED FUTURE,6.68,0.963924963924964
New Lynn,FALSE,2002,UNITED FUTURE,7.24,1.04473304473304
New Plymouth,FALSE,2002,UNITED FUTURE,7.81,1.12698412698413
North Shore,FALSE,2002,UNITED FUTURE,6.95,1.002886002886
Northcote,FALSE,2002,UNITED FUTURE,7.35,1.06060606060606
Northland,FALSE,2002,UNITED FUTURE,5.81,0.838383838383838
Ohariu-Belmont,FALSE,2002,UNITED FUTURE,13.01,1.87734487734488
Otago,FALSE,2002,UNITED FUTURE,5.57,0.803751803751804
Otaki,FALSE,2002,UNITED FUTURE,7.02,1.01298701298701
Pakuranga,FALSE,2002,UNITED FUTURE,7.83,1.12987012987013
Palmerston North,FALSE,2002,UNITED FUTURE,7.4,1.06782106782107
Piako,FALSE,2002,UNITED FUTURE,6.74,0.972582972582973
Port Waikato,FALSE,2002,UNITED FUTURE,6.56,0.946608946608947
Rakaia,FALSE,2002,UNITED FUTURE,7.21,1.04040404040404
Rangitikei,FALSE,2002,UNITED FUTURE,7.32,1.05627705627706
Rimutaka,FALSE,2002,UNITED FUTURE,9.18,1.32467532467532
Rodney,FALSE,2002,UNITED FUTURE,9.26,1.33621933621934
Rongotai,FALSE,2002,UNITED FUTURE,6.21,0.896103896103896
Rotorua,FALSE,2002,UNITED FUTURE,7.08,1.02164502164502
Tamaki,FALSE,2002,UNITED FUTURE,6.5,0.937950937950938
Taranaki-King Country,FALSE,2002,UNITED FUTURE,5.89,0.84992784992785
Taupo,FALSE,2002,UNITED FUTURE,5.6,0.808080808080808
Tauranga,FALSE,2002,UNITED FUTURE,9.56,1.37950937950938
Te Atatu,FALSE,2002,UNITED FUTURE,7.69,1.10966810966811
Tukituki,FALSE,2002,UNITED FUTURE,6.43,0.927849927849928
Waimakariri,FALSE,2002,UNITED FUTURE,7.02,1.01298701298701
Wairarapa,FALSE,2002,UNITED FUTURE,5.61,0.80952380952381
Waitakere,FALSE,2002,UNITED FUTURE,6.78,0.978354978354978
Wellington Central,FALSE,2002,UNITED FUTURE,6.03,0.87012987012987
West Coast-Tasman,FALSE,2002,UNITED FUTURE,6.63,0.956709956709957
Whanganui,FALSE,2002,UNITED FUTURE,6.16,0.888888888888889
Whangarei,FALSE,2002,UNITED FUTURE,4.6,0.663780663780664
Wigram,FALSE,2002,UNITED FUTURE,7.51,1.08369408369408
Ikaroa-Rawhiti,TRUE,2005,UNITED FUTURE,0.38,0.716981132075472
Tainui,TRUE,2005,UNITED FUTURE,0.39,0.735849056603774
Tamaki Makaurau,TRUE,2005,UNITED FUTURE,0.44,0.830188679245283
Te Tai Hauauru,TRUE,2005,UNITED FUTURE,0.55,1.0377358490566
Te Tai Tokerau,TRUE,2005,UNITED FUTURE,0.41,0.773584905660377
Te Tai Tonga,TRUE,2005,UNITED FUTURE,1.06,2
Waiariki,TRUE,2005,UNITED FUTURE,0.45,0.849056603773585
Aoraki,FALSE,2005,UNITED FUTURE,2.58,0.918149466192171
Auckland Central,FALSE,2005,UNITED FUTURE,1.3,0.462633451957295
Banks Peninsula,FALSE,2005,UNITED FUTURE,3.52,1.25266903914591
Bay of Plenty,FALSE,2005,UNITED FUTURE,3.89,1.38434163701068
Christchurch Central,FALSE,2005,UNITED FUTURE,3.04,1.08185053380783
Christchurch East,FALSE,2005,UNITED FUTURE,3.33,1.18505338078292
Clevedon,FALSE,2005,UNITED FUTURE,2.15,0.765124555160142
Clutha-Southland,FALSE,2005,UNITED FUTURE,3.39,1.20640569395018
Coromandel,FALSE,2005,UNITED FUTURE,2.46,0.875444839857651
Dunedin North,FALSE,2005,UNITED FUTURE,2.76,0.98220640569395
Dunedin South,FALSE,2005,UNITED FUTURE,2.47,0.879003558718861
East Coast,FALSE,2005,UNITED FUTURE,2.96,1.05338078291815
East Coast Bays,FALSE,2005,UNITED FUTURE,2.39,0.850533807829182
Epsom,FALSE,2005,UNITED FUTURE,1.75,0.622775800711744
Hamilton East,FALSE,2005,UNITED FUTURE,3.41,1.2135231316726
Hamilton West,FALSE,2005,UNITED FUTURE,2.85,1.01423487544484
Helensville,FALSE,2005,UNITED FUTURE,2.47,0.879003558718861
Hutt South,FALSE,2005,UNITED FUTURE,3.88,1.38078291814947
Ilam,FALSE,2005,UNITED FUTURE,3.58,1.27402135231317
Invercargill,FALSE,2005,UNITED FUTURE,3.22,1.14590747330961
Kaikoura,FALSE,2005,UNITED FUTURE,2.82,1.00355871886121
Mana,FALSE,2005,UNITED FUTURE,4.2,1.49466192170819
Mangere,FALSE,2005,UNITED FUTURE,1.63,0.580071174377224
Manukau East,FALSE,2005,UNITED FUTURE,1.47,0.523131672597865
Manurewa,FALSE,2005,UNITED FUTURE,2.02,0.718861209964413
Maungakiekie,FALSE,2005,UNITED FUTURE,2.04,0.725978647686833
Mt Albert,FALSE,2005,UNITED FUTURE,2.01,0.715302491103203
Mt Roskill,FALSE,2005,UNITED FUTURE,2.49,0.886120996441281
Napier,FALSE,2005,UNITED FUTURE,2.45,0.871886120996441
Nelson,FALSE,2005,UNITED FUTURE,3.5,1.24555160142349
New Lynn,FALSE,2005,UNITED FUTURE,2.48,0.882562277580071
New Plymouth,FALSE,2005,UNITED FUTURE,2.37,0.843416370106762
North Shore,FALSE,2005,UNITED FUTURE,2.14,0.761565836298932
Northcote,FALSE,2005,UNITED FUTURE,2.38,0.846975088967971
Northland,FALSE,2005,UNITED FUTURE,1.99,0.708185053380783
Ohariu-Belmont,FALSE,2005,UNITED FUTURE,5.55,1.97508896797153
Otago,FALSE,2005,UNITED FUTURE,2.13,0.758007117437722
Otaki,FALSE,2005,UNITED FUTURE,3.35,1.19217081850534
Pakuranga,FALSE,2005,UNITED FUTURE,2.44,0.868327402135231
Palmerston North,FALSE,2005,UNITED FUTURE,3.29,1.17081850533808
Piako,FALSE,2005,UNITED FUTURE,2.54,0.903914590747331
Port Waikato,FALSE,2005,UNITED FUTURE,2.34,0.832740213523132
Rakaia,FALSE,2005,UNITED FUTURE,3.23,1.14946619217082
Rangitikei,FALSE,2005,UNITED FUTURE,3.21,1.1423487544484
Rimutaka,FALSE,2005,UNITED FUTURE,4.66,1.65836298932384
Rodney,FALSE,2005,UNITED FUTURE,3.09,1.09964412811388
Rongotai,FALSE,2005,UNITED FUTURE,2.91,1.0355871886121
Rotorua,FALSE,2005,UNITED FUTURE,2.96,1.05338078291815
Tamaki,FALSE,2005,UNITED FUTURE,1.67,0.594306049822064
Taranaki-King Country,FALSE,2005,UNITED FUTURE,2.03,0.722419928825623
Taupo,FALSE,2005,UNITED FUTURE,2.61,0.928825622775801
Tauranga,FALSE,2005,UNITED FUTURE,4.47,1.59074733096085
Te Atatu,FALSE,2005,UNITED FUTURE,3.07,1.09252669039146
Tukituki,FALSE,2005,UNITED FUTURE,2.41,0.857651245551601
Waimakariri,FALSE,2005,UNITED FUTURE,3.26,1.16014234875445
