Electoral District,Year,Party,2014 Percent
Auckland Central,2017,ACT,0.0117
Auckland Central,2017,Conservative Party,0.0173
Auckland Central,2017,Green Party,0.2217
Auckland Central,2017,Labour Party,0.2167
Auckland Central,2017,Mana,0.0196
Auckland Central,2017,Maori Party,0.0056
Auckland Central,2017,National Party,0.4493
Auckland Central,2017,New Zealand First Party,0.0518
Auckland Central,2017,United Future,0.0019
Bay of Plenty,2017,ACT,0.0025
Bay of Plenty,2017,Conservative Party,0.0566
Bay of Plenty,2017,Green Party,0.0723
Bay of Plenty,2017,Labour Party,0.1307
Bay of Plenty,2017,Mana,0.0051
Bay of Plenty,2017,Maori Party,0.0057
Bay of Plenty,2017,National Party,0.5766
Bay of Plenty,2017,New Zealand First Party,0.1394
Bay of Plenty,2017,United Future,0.0021
Botany,2017,ACT,0.0241
Botany,2017,Conservative Party,0.0453
Botany,2017,Green Party,0.0435
Botany,2017,Labour Party,0.2227
Botany,2017,Mana,0.0061
Botany,2017,Maori Party,0.0021
Botany,2017,National Party,0.5965
Botany,2017,New Zealand First Party,0.0544
Botany,2017,United Future,0.0015
Christchurch Central,2017,ACT,0.0049
Christchurch Central,2017,Conservative Party,0.0311
Christchurch Central,2017,Green Party,0.1582
Christchurch Central,2017,Labour Party,0.2625
Christchurch Central,2017,Mana,0.0103
Christchurch Central,2017,Maori Party,0.0046
Christchurch Central,2017,National Party,0.4466
Christchurch Central,2017,New Zealand First Party,0.0719
Christchurch Central,2017,United Future,0.0023
Christchurch East,2017,ACT,0.0033
Christchurch East,2017,Conservative Party,0.0326
Christchurch East,2017,Green Party,0.1266
Christchurch East,2017,Labour Party,0.3216
Christchurch East,2017,Mana,0.0088
Christchurch East,2017,Maori Party,0.004
Christchurch East,2017,National Party,0.3979
Christchurch East,2017,New Zealand First Party,0.0945
Christchurch East,2017,United Future,0.0023
Clutha-Southland,2017,ACT,0.0036
Clutha-Southland,2017,Conservative Party,0.0504
Clutha-Southland,2017,Green Party,0.0773
Clutha-Southland,2017,Labour Party,0.1471
Clutha-Southland,2017,Mana,0.0046
Clutha-Southland,2017,Maori Party,0.0033
Clutha-Southland,2017,National Party,0.6338
Clutha-Southland,2017,New Zealand First Party,0.0624
Clutha-Southland,2017,United Future,0.002
Coromandel,2017,ACT,0.0037
Coromandel,2017,Conservative Party,0.0528
Coromandel,2017,Green Party,0.0982
Coromandel,2017,Labour Party,0.1571
Coromandel,2017,Mana,0.0068
Coromandel,2017,Maori Party,0.0049
Coromandel,2017,National Party,0.5417
Coromandel,2017,New Zealand First Party,0.125
Coromandel,2017,United Future,0.0017
Dunedin North,2017,ACT,0.0032
Dunedin North,2017,Conservative Party,0.0273
Dunedin North,2017,Green Party,0.2294
Dunedin North,2017,Labour Party,0.3182
Dunedin North,2017,Mana,0.0172
Dunedin North,2017,Maori Party,0.0035
Dunedin North,2017,National Party,0.3226
Dunedin North,2017,New Zealand First Party,0.0675
Dunedin North,2017,United Future,0.0025
Dunedin South,2017,ACT,0.0033
Dunedin South,2017,Conservative Party,0.0293
Dunedin South,2017,Green Party,0.1229
Dunedin South,2017,Labour Party,0.3327
Dunedin South,2017,Mana,0.0082
Dunedin South,2017,Maori Party,0.0025
Dunedin South,2017,National Party,0.3987
Dunedin South,2017,New Zealand First Party,0.0911
Dunedin South,2017,United Future,0.0017
East Coast,2017,ACT,0.0023
East Coast,2017,Conservative Party,0.0408
East Coast,2017,Green Party,0.0921
East Coast,2017,Labour Party,0.2274
East Coast,2017,Mana,0.0117
East Coast,2017,Maori Party,0.0095
East Coast,2017,National Party,0.4862
East Coast,2017,New Zealand First Party,0.1184
East Coast,2017,United Future,0.0022
East Coast Bays,2017,ACT,0.0176
East Coast Bays,2017,Conservative Party,0.067
East Coast Bays,2017,Green Party,0.0823
East Coast Bays,2017,Labour Party,0.1215
East Coast Bays,2017,Mana,0.0067
East Coast Bays,2017,Maori Party,0.0038
East Coast Bays,2017,National Party,0.6338
East Coast Bays,2017,New Zealand First Party,0.0596
East Coast Bays,2017,United Future,0.0021
Epsom,2017,ACT,0.0272
Epsom,2017,Conservative Party,0.0248
Epsom,2017,Green Party,0.1252
Epsom,2017,Labour Party,0.1342
Epsom,2017,Mana,0.0083
Epsom,2017,Maori Party,0.0046
Epsom,2017,National Party,0.636
Epsom,2017,New Zealand First Party,0.0348
Epsom,2017,United Future,0.0016
Hamilton East,2017,ACT,0.0072
Hamilton East,2017,Conservative Party,0.0481
Hamilton East,2017,Green Party,0.1102
Hamilton East,2017,Labour Party,0.2377
Hamilton East,2017,Mana,0.01
Hamilton East,2017,Maori Party,0.0064
Hamilton East,2017,National Party,0.5003
