"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"1","VAN VELDEN, Brooke","ACT",2017,"Auckland Central",0.007048823,0.00172523718458414,0.000532108139065202,0.00419329458526718,0
"2","ROCHE, Denise","Green Party",2017,"Auckland Central",0.0763,0.100222499241907,0.0931382425696713,0.108721657834398,0
"3","WHITE, Helen","Labour Party",2017,"Auckland Central",0.436301441,0.37656523457173,0.364066623031031,0.389251888295582,0
"4","KAYE, Nikki","National Party",2017,"Auckland Central",0.458380844,0.49357821041043,0.483359296714044,0.503985752678503,1
"5","CARLEY, Bruce","ACT",2017,"Bay of Plenty",NA,0.00133224679580576,0.000628337642379659,0.00261660174304512,0
"6","WARREN-CLARK, Angie","Labour Party",2017,"Bay of Plenty",0.185374846,0.226075923435035,0.216652815762156,0.235243365451283,0
"7","MULLER, Todd","National Party",2017,"Bay of Plenty",0.606923392,0.55032722075627,0.539607537448347,0.56201676078955,1
"8","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Bay of Plenty",0.069346838,0.169710584971714,0.143659260752026,0.201703736944051,0
"9","RICKARD, Ben","United Future",2017,"Bay of Plenty",0.003789431,0.00102297235739767,0.000179382010205526,0.00401367183141369,0
"10","ZHU, Julie","Green Party",2017,"Botany",NA,0.0255964316269569,0.022086758650616,0.029434724716278,0
"11","MAMEDOV, Tofik","Labour Party",2017,"Botany",0.233632193,0.29122241722443,0.282825187526696,0.299702985807106,0
"12","ROSS, Jami-Lee","National Party",2017,"Botany",0.651271893,0.574830150517484,0.563360245389607,0.58731461952764,1
"13","LIGHT, Damian","United Future",2017,"Botany",0.004613492,0.000832627340227221,0.000136382482512891,0.00359378949638873,0
"14","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Christchurch Central",0.084359797,0.0894986107520848,0.0831985733159256,0.0961895833540449,0
"15","WEB, Duncan","Labour Party",2017,"Christchurch Central",0.389297174,0.38048342987392,0.370511113729489,0.390854190596445,0
"16","WAGNER, Nicky","National Party",2017,"Christchurch Central",0.462167477,0.493389981630957,0.483095706489129,0.503757963866972,1
