"","Electoral District","Year","Party","2014 Percent","median","lowr","upr"
"1","Auckland Central",2017,"ACT",0.0117,0.00765706090762875,0.00385140165147697,0.0123532722433473
"2","Auckland Central",2017,"Conservative Party",0.0173,5e-04,5e-04,0.000589625951225945
"3","Auckland Central",2017,"Green Party",0.2217,0.238218816398766,0.230027864392034,0.247294472605888
"4","Auckland Central",2017,"Labour Party",0.2167,0.205108989714245,0.190467620338023,0.219784441328217
"5","Auckland Central",2017,"Mana",0.0196,0.00128806054428379,0.000533544971192915,0.00431432457070504
"6","Auckland Central",2017,"Maori Party",0.0056,0.00521998973993377,0.00389608133408135,0.0077820323059299
"7","Auckland Central",2017,"National Party",0.4493,0.430230053379112,0.414805912547024,0.446160855805241
"8","Auckland Central",2017,"New Zealand First Party",0.0518,0.0984430083887563,0.0797675336049635,0.119600299192514
"9","Auckland Central",2017,"United Future",0.0019,0.0026289539427676,0.000964030975927892,0.00594889153518952
"10","Bay of Plenty",2017,"ACT",0.0025,0.0016361241255617,0.000822949070828412,0.0033878511613841
"11","Bay of Plenty",2017,"Conservative Party",0.0566,0.000822452911804224,5e-04,0.0019290652508317
"12","Bay of Plenty",2017,"Green Party",0.0723,0.0931046999292665,0.0828294578238437,0.103861365509951
"13","Bay of Plenty",2017,"Labour Party",0.1307,0.123709021484319,0.114878255552282,0.134970639478999
"14","Bay of Plenty",2017,"Mana",0.0051,5e-04,5e-04,0.0011226048627855
"15","Bay of Plenty",2017,"Maori Party",0.0057,0.00531320384243259,0.00396565421504709,0.00848457374730994
"16","Bay of Plenty",2017,"National Party",0.5766,0.557530053379112,0.542105912547024,0.573460855805241
"17","Bay of Plenty",2017,"New Zealand First Party",0.1394,0.198300024800654,0.176041717595511,0.2207114213629
"18","Bay of Plenty",2017,"United Future",0.0021,0.00302038739612148,0.00106550792076241,0.00718159082738098
"19","Botany",2017,"ACT",0.0241,0.0157722365704148,0.00793322904278589,0.0249126117142173
"20","Botany",2017,"Conservative Party",0.0453,0.000658252948846839,5e-04,0.00154393384916389
"21","Botany",2017,"Green Party",0.0435,0.0646207181620817,0.0542202703897554,0.0758945328479504
"22","Botany",2017,"Labour Party",0.2227,0.21078805726517,0.195741296950981,0.226774013978365
"23","Botany",2017,"Mana",0.0061,5e-04,5e-04,0.00134272346333167
"24","Botany",2017,"Maori Party",0.0021,0.00195749615247516,0.00146103050028051,0.00492483010699101
"25","Botany",2017,"National Party",0.5965,0.577430053379112,0.562005912547024,0.593360855805241
"26","Botany",2017,"New Zealand First Party",0.0544,0.114150949193338,0.0909285830932084,0.139155735928654
"27","Botany",2017,"United Future",0.0015,0.00242942050048999,0.000761077086258862,0.0066456690280692
"28","Christchurch Central",2017,"ACT",0.0049,0.00320680328610093,0.00161298017882369,0.00562268865085323
"29","Christchurch Central",2017,"Conservative Party",0.0311,5e-04,5e-04,0.00105996341520965
"30","Christchurch Central",2017,"Green Party",0.1582,0.175974963453044,0.167139919979027,0.185632383298064
"31","Christchurch Central",2017,"Labour Party",0.2625,0.248459205352974,0.23072335181694,0.265738431200523
"32","Christchurch Central",2017,"Mana",0.0103,0.000676888959496075,5e-04,0.00226722158562561
"33","Christchurch Central",2017,"Maori Party",0.0046,0.0042878487149456,0.00320035252442397,0.00693956357604274
"34","Christchurch Central",2017,"National Party",0.4466,0.427530053379112,0.412105912547024,0.443460855805241
"35","Christchurch Central",2017,"New Zealand First Party",0.0719,0.122027662206339,0.101969911774572,0.144646101165394
"36","Christchurch Central",2017,"United Future",0.0023,0.00308524721453865,0.00116698486559692,0.00663114882370311
"37","Christchurch East",2017,"ACT",0.0033,0.00215968384574144,0.0010862927734935,0.00404905565965246
"38","Christchurch East",2017,"Conservative Party",0.0326,5e-04,5e-04,0.00111108705259918
"39","Christchurch East",2017,"Green Party",0.1266,0.144955956471351,0.135793554356018,0.155389538018826
"40","Christchurch East",2017,"Labour Party",0.3216,0.304483602716006,0.282862752691127,0.324787712388197
"41","Christchurch East",2017,"Mana",0.0088,0.00057831289743354,5e-04,0.00193704368480635
"42","Christchurch East",2017,"Maori Party",0.004,0.00372856409995269,0.00278291523862954,0.0064082966040858
"43","Christchurch East",2017,"National Party",0.3979,0.378830053379112,0.363405912547024,0.394760855805241
"44","Christchurch East",2017,"New Zealand First Party",0.0945,0.146263910094826,0.12524314339871,0.170831830052586
"45","Christchurch East",2017,"United Future",0.0023,0.00310843516795477,0.00116698486559692,0.00680276163481727
"46","Clutha-Southland",2017,"ACT",0.0036,0.00235601874080885,0.00118504666199291,0.00442296111035047
"47","Clutha-Southland",2017,"Conservative Party",0.0504,0.000732360896730261,5e-04,0.0017177542162883
"48","Clutha-Southland",2017,"Green Party",0.0773,0.0967880773576636,0.0871600380981895,0.106988537657194
"49","Clutha-Southland",2017,"Labour Party",0.1471,0.139231806123514,0.129292971627702,0.151053429595862
"50","Clutha-Southland",2017,"Mana",0.0046,5e-04,5e-04,0.00101254556251241
