"","Electorate","Party","2014 Vote","MEPVSim$Pred","median","lowr","upr"
"1","Hauraki-Waikato","ACT",0.0021,0.0345151628738908,0.00412676857363937,0.000387340502702151,0.0238792542220424
"2","Hauraki-Waikato","Conservative Party",0.0076,0.0101419878681364,0.0104098244705308,0.000569678846453604,0.0511293633893505
"3","Hauraki-Waikato","Green Party",0.0977,0.133972856371348,0.106968153569646,0.0536075625965015,0.1633113871242
"4","Hauraki-Waikato","Labour Party",0.465,0.61083708643342,0.484415033852921,0.393334773371513,0.59552973489159
"5","Hauraki-Waikato","Mana",0.0808,0.00198531450042583,0.0663035310619524,0.0170718269342424,0.115956261850681
"6","Hauraki-Waikato","Maori Party",0.1197,0.00245848935911254,0.0918093686483497,0.03259202142306,0.150018503405936
"7","Hauraki-Waikato","National Party",0.0757,0.15289680633434,0.0783610270296348,0.0313523190925812,0.12576463130445
"8","Hauraki-Waikato","New Zealand First Party",0.1337,0.0508087928769333,0.141225909061235,0.00374783344491679,0.264016424186671
"9","Hauraki-Waikato","United Future",7e-04,0.00238350338239328,0.00293031378543001,0.000286507851458845,0.0101147119088519
"10","Ikaroa Rawhiti","ACT",0.0011,0.000229457934021642,0.00367975123579491,0.000340657923712785,0.0177308736964509
"11","Ikaroa Rawhiti","Conservative Party",0.006,0.0049984757756955,0.00841508386558646,0.000618414539354402,0.0440430897502579
"12","Ikaroa Rawhiti","Green Party",0.1043,0.177546274627352,0.112993228756099,0.0583771359411329,0.16896577532291
"13","Ikaroa Rawhiti","Labour Party",0.4809,0.562019853024645,0.501211233964424,0.411661489784426,0.60778843333843
"14","Ikaroa Rawhiti","Mana",0.0987,0.102556344456107,0.084739647222876,0.0324207131963379,0.137045595915256
"15","Ikaroa Rawhiti","Maori Party",0.1237,0.0933839858788971,0.0973684220178837,0.0378640130403143,0.155861353490918
"16","Ikaroa Rawhiti","National Party",0.0545,0.0528030605678947,0.0567231847588962,0.0157482429317249,0.0977704362097925
"17","Ikaroa Rawhiti","New Zealand First Party",0.1142,0.00432285615841064,0.122848179728693,0.00324111708565176,0.236666161819604
"18","Ikaroa Rawhiti","United Future",3e-04,0.00213969157697605,0.00244901011701991,0.000232882748609682,0.00575462085238222
"19","Tamaki Makaurau","ACT",0.0019,0.0133594620202355,0.0039166364870403,0.000389602774978447,0.0221065985000447
"20","Tamaki Makaurau","Conservative Party",0.0062,0.00286778126834079,0.00965667879788857,0.000609249306993624,0.0455177460985516
"21","Tamaki Makaurau","Green Party",0.1181,0.158489566816233,0.125136533982995,0.068664578739253,0.187307656509449
"22","Tamaki Makaurau","Labour Party",0.4084,0.43307982642662,0.428890923899598,0.339262411937617,0.538879023644367
"23","Tamaki Makaurau","Mana",0.1082,0.0809481450215283,0.0931993371200388,0.0390653578781487,0.150924306550081
"24","Tamaki Makaurau","Maori Party",0.1284,0.153417488410042,0.100015779265959,0.0402337429299294,0.161418208525435
"25","Tamaki Makaurau","National Party",0.0763,0.0283001028875322,0.0771484604878327,0.0292802049211041,0.127870194791765
"26","Tamaki Makaurau","New Zealand First Party",0.1412,0.127813809192105,0.147421451116317,0.00418139438245966,0.266296896917794
"27","Tamaki Makaurau","United Future",8e-04,0.00172381795736338,0.00291483294751325,0.000294555568054465,0.0108619302660537
"28","Te Tai Hauauru","ACT",0.0013,0.01548179614255,0.0037610370382019,0.000398654415788827,0.0184351434792865
"29","Te Tai Hauauru","Conservative Party",0.0057,0.0159734611831248,0.00892516357038864,0.000543605492339362,0.0440794972655172
"30","Te Tai Hauauru","Green Party",0.1193,0.121206284819338,0.12724667525367,0.0704124512010802,0.188462918715277
"31","Te Tai Hauauru","Labour Party",0.4223,0.298636479733136,0.443059708108932,0.356883134701906,0.545999288184168
"32","Te Tai Hauauru","Mana",0.0682,0.0519645171525373,0.0544686673935704,0.00871278865734391,0.100642690868695
"33","Te Tai Hauauru","Maori Party",0.1764,0.137029009990215,0.148309750942714,0.0811131680637515,0.217207582226388
"34","Te Tai Hauauru","National Party",0.0711,0.0848698674827431,0.0738788158786978,0.0275972565999014,0.120255570256146
"35","Te Tai Hauauru","New Zealand First Party",0.1179,0.274010970061148,0.127222870301152,0.00291268886456855,0.243047676731029
"36","Te Tai Hauauru","United Future",7e-04,0.00082761343520739,0.00296425787089815,0.000281346104573371,0.0104706772492925
"37","Te Tai Tokerau","ACT",0.0016,0.00352576697216742,0.00398662726367373,0.000380947764152499,0.0211296575822217
"38","Te Tai Tokerau","Conservative Party",0.0068,0.0265104597103395,0.00937920647478829,0.000574031083140245,0.0488110884038271
"39","Te Tai Tokerau","Green Party",0.1006,0.0846533522758704,0.108008926928042,0.0540395085070209,0.164671848465342
"40","Te Tai Tokerau","Labour Party",0.3547,0.422592898253524,0.377622624911034,0.291961595828427,0.479033782864583
"41","Te Tai Tokerau","Mana",0.1875,0.168495768914937,0.171526174734592,0.104827241751044,0.243711243086656
"42","Te Tai Tokerau","Maori Party",0.1015,0.0963574001293874,0.0730401726704396,0.0166162203353864,0.130231829777687
"43","Te Tai Tokerau","National Party",0.0856,0.0966255527649964,0.0877628640593009,0.0370788896505711,0.141770700709994
"44","Te Tai Tokerau","New Zealand First Party",0.1455,0.100367211545386,0.15444310636753,0.00474671408382741,0.272168760452591
"45","Te Tai Tokerau","United Future",8e-04,0.000871589433392377,0.00296804843801268,0.000296569069398253,0.011344138359864
"46","Te Tai Tonga","ACT",0.0017,0.0136365495874056,0.0040219987182412,0.000400177522308078,0.0209246232204439
"47","Te Tai Tonga","Conservative Party",0.0074,0.013302982113862,0.0106533087897016,0.000573848734809739,0.0525037375965572
"48","Te Tai Tonga","Green Party",0.1651,0.205935185241617,0.173356824018727,0.108500530762081,0.243682708973672
"49","Te Tai Tonga","Labour Party",0.3692,0.485057948021596,0.392525527173069,0.304488677545245,0.48990770678877
"50","Te Tai Tonga","Mana",0.0496,0.0361387142572101,0.0360010865412366,0.00255052962007429,0.0767843546699403
"51","Te Tai Tonga","Maori Party",0.1125,0.0972239344152025,0.0854199637921633,0.0272357088493455,0.143372743686275
"52","Te Tai Tonga","National Party",0.1445,0.131440956729731,0.145898232379612,0.0844578699786773,0.2147816783407
"53","Te Tai Tonga","New Zealand First Party",0.1289,0.00360812266112957,0.137836240567659,0.00327951011697496,0.261001687864748
"54","Te Tai Tonga","United Future",9e-04,0.0136556069722457,0.0030091496550228,0.000290571543257568,0.0121687988012516
"55","Waiariki","ACT",8e-04,0.0137417266792026,0.0034845325432584,0.000365555164748483,0.0143795187592033
"56","Waiariki","Conservative Party",0.0035,0.000666714815552754,0.00590900621403818,0.000510602178691907,0.0356146784393841
"57","Waiariki","Green Party",0.0806,0.103360564631614,0.089860981175891,0.0413231847365674,0.141731168694176
"58","Waiariki","Labour Party",0.3877,0.456809855555899,0.40853326866041,0.321521026731709,0.512907866734887
"59","Waiariki","Mana",0.1139,0.0761706350443767,0.0994883441787029,0.0425542454269367,0.157047449766087
"60","Waiariki","Maori Party",0.2201,0.191738317827971,0.19235363276213,0.12187468298094,0.266114083668885
"61","Waiariki","National Party",0.0505,0.0653325317265251,0.0528156175783158,0.0121192488987786,0.0937110756624634
"62","Waiariki","New Zealand First Party",0.1267,0.0889017728062198,0.135754792967258,0.00356106553698695,0.255420182126151
"63","Waiariki","United Future",5e-04,0.00327788091263864,0.00273842250984533,0.000257117168737429,0.00818082206293845
