"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"1","VAN VELDEN, Brooke","ACT",2017,"Auckland Central",0.007048823,0.00345267035160938,0.00140414644948167,0.00673776528574433,0
"2","ROCHE, Denise","Green Party",2017,"Auckland Central",0.0763,0.119265561741111,0.108213534936889,0.131461813422526,0
"3","WHITE, Helen","Labour Party",2017,"Auckland Central",0.436301441,0.308865714006076,0.295317617306064,0.321815204649239,0
"4","KAYE, Nikki","National Party",2017,"Auckland Central",0.458380844,0.505608557622896,0.493783660621234,0.516862316072863,1
"5","CARLEY, Bruce","ACT",2017,"Bay of Plenty",NA,0.00274741713056086,0.00129098893597454,0.00753888610890238,0
"6","WARREN-CLARK, Angie","Labour Party",2017,"Bay of Plenty",0.185374846,0.176129722031487,0.167163288210477,0.187530403529709,0
"7","MULLER, Todd","National Party",2017,"Bay of Plenty",0.606923392,0.560694876189248,0.548414752344832,0.572805777784827,1
"8","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Bay of Plenty",0.069346838,0.203803006479847,0.17359812489051,0.239287621358856,0
"9","RICKARD, Ben","United Future",2017,"Bay of Plenty",0.003789431,0.00119291235642538,0.000181382722631063,0.00469428357584967,0
"10","ZHU, Julie","Green Party",2017,"Botany",NA,0.0423235187693075,0.0355373578242086,0.051155453498997,0
"11","MAMEDOV, Tofik","Labour Party",2017,"Botany",0.233632193,0.248548857685581,0.237544862807138,0.259220548034472,0
"12","ROSS, Jami-Lee","National Party",2017,"Botany",0.651271893,0.585290946328593,0.57233041272711,0.598615174124622,1
"13","LIGHT, Damian","United Future",2017,"Botany",0.004613492,0.00103310137546278,0.000127003790138263,0.00462220040993894,0
"14","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Christchurch Central",0.084359797,0.108341094078951,0.100696815801727,0.116993537097259,0
"15","WEB, Duncan","Labour Party",2017,"Christchurch Central",0.389297174,0.325056629742708,0.311277397538417,0.33727420850683,0
"16","WAGNER, Nicky","National Party",2017,"Christchurch Central",0.462167477,0.505563962276352,0.493457226867466,0.516947416903187,1
"17","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Christchurch Central",0.126792298,0.144696716268918,0.115012249149805,0.178497270778766,0
"18","SEVERIN, Toni","ACT",2017,"Christchurch East",0.003622813,0.00092396870908411,0.000293065771189478,0.00259762632861158,0
"19","SWEET, Cathy","Green Party",2017,"Christchurch East",0.10132976,0.106502703828183,0.0996810302020066,0.113764165802302,0
"20","WILLIAMS, Poto","Labour Party",2017,"Christchurch East",0.48087826,0.387948367680253,0.372111933822678,0.401326904107766,0.746
"21","HAYES, Jo","National Party",2017,"Christchurch East",0.352128647,0.380000847552573,0.370015875289993,0.38962778520049,0.254
"22","GOLDSMITH, Rachael","Green Party",2017,"Clutha-Southland",0.071217223,0.0776236671819076,0.0717032644803973,0.083411892599741,0
"23","CHAPMAN, Cherie","Labour Party",2017,"Clutha-Southland",0.198347107,0.191240359738136,0.181888530094128,0.202162878949823,0
"24","BARCLAY, Todd","National Party",2017,"Clutha-Southland",0.640648913,0.599903079469773,0.5866398886981,0.612949786493928,1
"25","PATTERSON, Mark","New Zealand First Party",2017,"Clutha-Southland",NA,0.0579908946158906,0.0419610400299572,0.0794774565483634,0
"26","SHIRIWASTOW, Vineet","ACT",2017,"Coromandel",0.004278729,0.00108536903207043,0.000347438950162415,0.00306485210415443,0
"27","SUMMERFIELD, Scott","Green Party",2017,"Coromandel",0.164221679,0.11567298453229,0.107957699592419,0.124144233260814,0
"28","BLOMFIELD, Nathaniel","Labour Party",2017,"Coromandel",0.113386308,0.160405052412664,0.152599573295457,0.169767109605445,0
"29","SIMPSON, Scott","National Party",2017,"Coromandel",0.587306438,0.608857300896873,0.596868536777305,0.620746207483536,1
"30","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Coromandel",0.082964488,0.198747957788162,0.168617773927049,0.234738891940493,0
"31","PURCHAS, Sam","ACT",2017,"Dunedin North",NA,0.0033785552889725,0.00162415018116791,0.00776986650797438,0
"32","BOULD, Niki","Green Party",2017,"Dunedin North",0.173691193,0.164122555681849,0.148661239138199,0.181444067894833,0
"33","CLARK, David","Labour Party",2017,"Dunedin North",0.473925911,0.435566974534867,0.417531705340836,0.449958372263812,1
"34","WOODHOUSE, Michael","National Party",2017,"Dunedin North",0.30207164,0.322515682265855,0.31189236652199,0.332889948797187,0
"35","VOIGHT, Warren","New Zealand First Party",2017,"Dunedin North",NA,0.0587205297497472,0.0426358431790323,0.0811216754346103,0
"36","DOUGHTY, Dan","ACT",2017,"Dunedin South",0.003875574,0.000924407600129911,0.000293024584049925,0.00261135585900751,0
"37","GALLAGHER, Shane","Green Party",2017,"Dunedin South",0.075879653,0.094508429160242,0.0886273624447326,0.100980625493621,0
"38","CURRAN, Clare","Labour Party",2017,"Dunedin South",0.490668027,0.45109446735811,0.433135050373309,0.46507993647958,0.9998
"39","GREGORY, Matt","National Party",2017,"Dunedin South",0.38663947,0.393734569216964,0.383436574313932,0.403890491405175,2e-04
"40","RUSHTON, Kerry","New Zealand First Party",2017,"Dunedin South",NA,0.0661995473221267,0.0492160730415429,0.0894629083330768,0
"41","HUGHES, Gareth","Green Party",2017,"East Coast",0.07762604,0.0854586798804522,0.0797694341330721,0.091500019787877,0
"42","ALLAN, Kiri","Labour Party",2017,"East Coast",0.293870007,0.273276700908182,0.261798818318086,0.284957691649063,0
"43","TOLLEY, Anne","National Party",2017,"East Coast",0.523873088,0.552840671360206,0.540674430092568,0.564218643123777,1
"44","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"East Coast",0.028818737,0.126322903826453,0.106031076747821,0.150623775373574,0
"45","TURNER, Judy","United Future",2017,"East Coast",NA,0.00218579029092452,0.000698942838769276,0.00555084868940665,0
"46","BERRY, Stephen","ACT",2017,"East Coast Bays",0.01690896,0.00695695799467081,0.00289076844520403,0.0123101283169764,0
"47","MAYNE, Nicholas","Green Party",2017,"East Coast Bays",0.099446381,0.0904501205386549,0.0833496647120545,0.0976814871491808,0
"48","CHEN, Naisi","Labour Party",2017,"East Coast Bays",0.12148862,0.145294655729084,0.137620968341835,0.156090944055885,0
"49","STANFORD, Erica","National Party",2017,"East Coast Bays",0.619233135,0.592135137942087,0.579721747251125,0.605262867374545,1
