"","Electorate","Party","2014 Vote","MEPVSim$Pred","median","lowr","upr"
"1","Hauraki-Waikato","ACT",0.0021,0.00385189808008014,0.00411176803760907,0.000398590818483318,0.0233694821384956
"2","Hauraki-Waikato","Conservative Party",0.0076,0.00730227743683298,0.0101114799824848,0.000574049853294999,0.0511509897524605
"3","Hauraki-Waikato","Green Party",0.0977,0.088982514782567,0.105020102431477,0.0522289359636793,0.161604333274775
"4","Hauraki-Waikato","Labour Party",0.465,0.546235589131039,0.486862360329574,0.391747417174331,0.599896084434925
"5","Hauraki-Waikato","Mana",0.0808,0.067463143924118,0.0661358392430574,0.0171350635476405,0.116258551323231
"6","Hauraki-Waikato","Maori Party",0.1197,0.0982824598405758,0.0924521934476705,0.0338046387801353,0.15369739708824
"7","Hauraki-Waikato","National Party",0.0757,0.0953153326787512,0.0782710847632286,0.0304417393179588,0.128390005172721
"8","Hauraki-Waikato","New Zealand First Party",0.1337,0.0914728734094408,0.141016172642059,0.00373080752179409,0.265036341118769
"9","Hauraki-Waikato","United Future",7e-04,0.00109391071659477,0.00284418618704314,0.000269972802868639,0.0102351062873106
"10","Ikaroa Rawhiti","ACT",0.0011,0.0020490120017167,0.0035998053029481,0.000413932544676419,0.0175126946406623
"11","Ikaroa Rawhiti","Conservative Party",0.006,0.000150625666179659,0.0085180930824211,0.000582710847051727,0.0452213893239927
"12","Ikaroa Rawhiti","Green Party",0.1043,0.130605247472446,0.112992783560143,0.0571108677780345,0.169014487663501
"13","Ikaroa Rawhiti","Labour Party",0.4809,0.522681895449571,0.50184274580612,0.408834259030404,0.606047379800255
"14","Ikaroa Rawhiti","Mana",0.0987,0.0624367426722475,0.0839681648587053,0.0312049763946138,0.13963440251627
"15","Ikaroa Rawhiti","Maori Party",0.1237,0.0554113775961895,0.0962254386587941,0.0354267631289348,0.157819333993453
"16","Ikaroa Rawhiti","National Party",0.0545,0.0774506330593424,0.0571642525532966,0.0151845092805482,0.0986615141412394
"17","Ikaroa Rawhiti","New Zealand First Party",0.1142,0.145094927080315,0.122919186720171,0.00290013594592982,0.237807658845205
"18","Ikaroa Rawhiti","United Future",3e-04,0.00411953900199229,0.0024724384607064,0.000221300583652653,0.00580404398158059
"19","Tamaki Makaurau","ACT",0.0019,0.00454664792814329,0.00398350739126741,0.000386901793452997,0.0227984251588231
"20","Tamaki Makaurau","Conservative Party",0.0062,0.0419835889656205,0.00866407770924743,0.000618670916398399,0.0466401715901467
"21","Tamaki Makaurau","Green Party",0.1181,0.158454892355847,0.125729765508774,0.0684769571733975,0.187181572669776
"22","Tamaki Makaurau","Labour Party",0.4084,0.382679797844758,0.429230730472841,0.335542425891063,0.536627748236671
"23","Tamaki Makaurau","Mana",0.1082,0.0999089508274788,0.093152751453222,0.0385629027615047,0.150828110970696
"24","Tamaki Makaurau","Maori Party",0.1284,0.100328557194145,0.0997085715754902,0.0413230444293345,0.161406324137559
"25","Tamaki Makaurau","National Party",0.0763,0.0385073697308357,0.0782723923958301,0.0307174055033608,0.12806034387516
"26","Tamaki Makaurau","New Zealand First Party",0.1412,0.169517252045808,0.147082617377029,0.00428812248385467,0.268288882497077
"27","Tamaki Makaurau","United Future",8e-04,0.0040729431073639,0.00292812725926398,0.000298965969363074,0.0111887314758568
"28","Te Tai Hauauru","ACT",0.0013,0.00155965822642035,0.00374316932090241,0.00036370558406353,0.0185435096624201
"29","Te Tai Hauauru","Conservative Party",0.0057,0.000635095558377603,0.00838135899715495,0.000550650967538218,0.0447062735365883
"30","Te Tai Hauauru","Green Party",0.1193,0.175831097227334,0.127476945335823,0.0699014872400547,0.186219527053997
"31","Te Tai Hauauru","Labour Party",0.4223,0.417177789066285,0.441755220094694,0.355125834577515,0.543573297757814
"32","Te Tai Hauauru","Mana",0.0682,0.0488847383943293,0.0538061364143232,0.00861796965735996,0.100171692500316
"33","Te Tai Hauauru","Maori Party",0.1764,0.00379583446076582,0.147344780131617,0.0826242656680676,0.216597625522435
"34","Te Tai Hauauru","National Party",0.0711,0.118427846683497,0.0740450948369838,0.0272189461604006,0.122161097434219
"35","Te Tai Hauauru","New Zealand First Party",0.1179,0.21543629641525,0.126563282132732,0.00332946009466494,0.245454209557693
"36","Te Tai Hauauru","United Future",7e-04,0.0182516439677413,0.00293247855342791,0.000275746239341268,0.0104626435130867
"37","Te Tai Tokerau","ACT",0.0016,0.00339925385749294,0.00390398481864568,0.000362258965139842,0.0208722762852239
"38","Te Tai Tokerau","Conservative Party",0.0068,0.006430875791867,0.00957157597856937,0.000571155889643019,0.0484905044964336
"39","Te Tai Tokerau","Green Party",0.1006,0.148949799617343,0.108825874618695,0.0549706184744663,0.165360087868183
"40","Te Tai Tokerau","Labour Party",0.3547,0.414430005732301,0.376821900506192,0.289461767637397,0.478024457462749
"41","Te Tai Tokerau","Mana",0.1875,0.17717357183066,0.173625400109023,0.105351414691767,0.24474658640752
"42","Te Tai Tokerau","Maori Party",0.1015,0.0050438650200574,0.0741042513413599,0.0195123199601535,0.130917466127254
"43","Te Tai Tokerau","National Party",0.0856,0.0565700503703635,0.0874524153687549,0.0363250955337662,0.138926105974033
"44","Te Tai Tokerau","New Zealand First Party",0.1455,0.184145242420974,0.152179139610472,0.00446040024706945,0.283618802122943
"45","Te Tai Tokerau","United Future",8e-04,0.00385733535894072,0.00302467037151002,0.000307070498530517,0.011079319324187
"46","Te Tai Tonga","ACT",0.0017,0.00558387648515002,0.00383724750544216,0.000383979181523209,0.0210638192724047
"47","Te Tai Tonga","Conservative Party",0.0074,0.0198471724176794,0.010618783265123,0.000618141337016431,0.0511290847689316
"48","Te Tai Tonga","Green Party",0.1651,0.0916540103597887,0.171811606503682,0.107388952592168,0.244108895402259
"49","Te Tai Tonga","Labour Party",0.3692,0.371119757470259,0.393434587927606,0.304574066777515,0.489088196450514
"50","Te Tai Tonga","Mana",0.0496,0.0199901367851014,0.0362823135923847,0.00260303738054119,0.076461550532679
"51","Te Tai Tonga","Maori Party",0.1125,0.121864390072321,0.0850772141405971,0.025844834201248,0.145629432815302
"52","Te Tai Tonga","National Party",0.1445,0.144436113218569,0.145596917409328,0.0852102493894897,0.209719594292463
"53","Te Tai Tonga","New Zealand First Party",0.1289,0.222884369854844,0.137668178683378,0.00347205883561621,0.262799685189146
"54","Te Tai Tonga","United Future",9e-04,0.0026201733362864,0.00299982745377375,0.000265302505925586,0.0124415878913306
"55","Waiariki","ACT",8e-04,0.000256263311362995,0.00344039457912317,0.000344270540608552,0.014645614702152
"56","Waiariki","Conservative Party",0.0035,0.01061296093507,0.00630105042237639,0.000499316829677092,0.0353995589994718
"57","Waiariki","Green Party",0.0806,0.10259768324393,0.088882506961019,0.0411423077891838,0.139940077113449
"58","Waiariki","Labour Party",0.3877,0.443680500524788,0.410899304802031,0.322761378344065,0.510237711287916
"59","Waiariki","Mana",0.1139,0.0964487001494521,0.0998222926069969,0.0415012771880148,0.156512169332016
"60","Waiariki","Maori Party",0.2201,0.260004045189269,0.190615028985115,0.120184735073158,0.264515416591759
"61","Waiariki","National Party",0.0505,0.0195369497716231,0.0530431408770037,0.0123048897645972,0.0933722969531685
"62","Waiariki","New Zealand First Party",0.1267,0.0656089562799425,0.135116875757297,0.00338193993301672,0.256154289695967
"63","Waiariki","United Future",5e-04,0.00125394059456326,0.00276565942424235,0.000269059698642636,0.00821448473981336
