Pollster,Release Days,Days Before,ACT,Conservative,Green,Labour,Mana,Maori,National,NZ First,United Future
Election result,100,1099,0.0069,0.0397,0.107,0.2513,0.014,0.0132,0.4704,0.0866,0.0022
Roy Morgan,100,1084,0.005,0.05,0.175,0.225,0.01,0.02,0.435,0.07,0.005
Roy Morgan,100,1056,0.005,0.02,0.145,0.24,0.005,0.01,0.495,0.065,0
Roy Morgan,100,1028,0.015,0.025,0.12,0.27,0.01,0.02,0.46,0.07,0
Digipoll,100,1014,0.004,0.029,0.095,0.289,0.002,0.015,0.504,0.056,0
Roy Morgan,100,986,0.01,0.02,0.11,0.26,0,0.015,0.52,0.06,0
Reid Research,100,973,0.004,0.027,0.093,0.291,0.006,0.013,0.498,0.069,0
Roy Morgan,100,958,0,0.015,0.12,0.3,0,0.01,0.49,0.06,0
Colmar Brunton,100,950,0.003,0.014,0.1,0.31,0.004,0.015,0.49,0.06,0
Roy Morgan,100,930,0.01,0.015,0.11,0.31,0,0.02,0.465,0.06,0
Colmar Brunton,100,894,0.005,0.015,0.09,0.31,0.011,0.008,0.49,0.07,0
Roy Morgan,100,895,0.01,0.01,0.135,0.275,0,0.015,0.455,0.08,0
Digipoll,100,886,0.008,0.011,0.108,0.287,0,0.008,0.51,0.061,0
Roy Morgan,100,867,0.01,0.01,0.105,0.255,0,0.01,0.54,0.06,0
Colmar Brunton,100,852,0.001,0.023,0.1,0.31,0,0.014,0.48,0.07,0
Reid Research,100,853,0.005,0.019,0.111,0.304,0,0.011,0.464,0.081,0
Roy Morgan,100,832,0.01,0.01,0.13,0.26,0,0.01,0.495,0.065,0
Roy Morgan,100,811,0.005,0.015,0.13,0.32,0,0.015,0.43,0.07,0
Colmar Brunton,100,803,0.004,0,0.13,0.32,0.005,0.004,0.47,0.07,0
Reid Research,100,797,0.005,0.007,0.114,0.311,0,0.005,0.47,0.084,0.001
Roy Morgan,100,776,0.005,0,0.11,0.27,0.005,0.015,0.505,0.08,0
Digipoll,100,766,0.002,0.006,0.092,0.31,0.002,0.01,0.508,0.069,0
Colmar Brunton,100,754,0.001,0.001,0.12,0.32,0.002,0.012,0.47,0.07,0
Roy Morgan,100,748,0.005,0.01,0.15,0.31,0.005,0.015,0.445,0.055,0.005
Reid Research,100,742,0.006,0.005,0.1,0.33,0,0.005,0.473,0.079,0
Roy Morgan,100,718,0.005,0.005,0.115,0.29,0.005,0.005,0.5,0.065,0
Colmar Brunton,100,712,0.002,0.004,0.12,0.31,0,0.008,0.47,0.09,0
Roy Morgan,100,692,0.005,0.005,0.12,0.295,0.005,0.02,0.49,0.06,0
Reid Research,100,678,0.008,0.007,0.102,0.323,0,0.013,0.467,0.075,0
Roy Morgan,100,664,0.005,0.005,0.13,0.285,0,0.015,0.49,0.06,0.005
Digipoll,100,654,0.008,0,0.082,0.311,0,0.021,0.513,0.057,0.003
Roy Morgan,100,622,0.005,0.01,0.14,0.275,0,0.03,0.47,0.065,0
Roy Morgan,100,594,0.005,0.01,0.145,0.27,0.005,0.01,0.48,0.06,0
Colmar Brunton,100,586,0.003,0.006,0.08,0.32,0.003,0.011,0.47,0.1,0
Roy Morgan,100,566,0.01,0.005,0.14,0.28,0.005,0.01,0.46,0.09,0
Colmar Brunton,100,537,0.007,0.003,0.1,0.28,0,0.011,0.5,0.09,0
Roy Morgan,100,531,0.015,0.01,0.145,0.26,0,0.015,0.425,0.125,0
Roy Morgan,100,503,0.01,0.005,0.12,0.295,0,0.01,0.455,0.095,0
Reid Research,100,487,0.004,0.006,0.111,0.313,0,0.01,0.47,0.078,0
Colmar Brunton,100,481,0.003,0.007,0.12,0.29,0.001,0.007,0.48,0.09,0
Roy Morgan,100,468,0.005,0.01,0.145,0.28,0.01,0.02,0.435,0.09,0
Roy Morgan,100,433,0.01,0.005,0.115,0.255,0.005,0.005,0.53,0.07,0
Reid Research,100,422,0.002,0.005,0.115,0.327,0,0.013,0.451,0.081,0.001
Roy Morgan,100,405,0.01,0.01,0.145,0.255,0.005,0.015,0.46,0.095,0
Colmar Brunton,100,383,0,0.003,0.13,0.26,0,0.02,0.48,0.11,0
Roy Morgan,100,377,0.01,0.005,0.12,0.335,0,0.02,0.415,0.085,0
Roy Morgan,100,342,0.005,0,0.115,0.265,0,0.015,0.48,0.1,0
Roy Morgan,100,320,0.01,0.005,0.145,0.23,0,0.015,0.495,0.08,0.005
Colmar Brunton,100,309,0,0.002,0.11,0.28,0,0.01,0.5,0.1,0
Roy Morgan,100,293,0.005,0.005,0.145,0.285,0.005,0.01,0.45,0.075,0
Roy Morgan,100,257,0.005,0.005,0.125,0.27,0,0.02,0.46,0.09,0.005
Roy Morgan,100,230,0.01,0,0.13,0.26,0,0.02,0.48,0.08,0
Colmar Brunton,100,222,0.008,0.002,0.11,0.3,0.008,0.007,0.46,0.11,0.003
Roy Morgan,100,202,0.005,0.005,0.145,0.295,0,0.02,0.435,0.075,0.005
Reid Research,100,193,0.004,0.004,0.112,0.308,0,0.007,0.471,0.076,0.004
Colmar Brunton,100,187,0.004,0.003,0.11,0.3,0.002,0.04,0.46,0.08,0
Roy Morgan,100,167,0.015,0.005,0.13,0.295,0,0.01,0.43,0.105,0
