"","Electoral District","Year","Party","2014 Percent","median","lowr","upr"
"1","Auckland Central",2017,"ACT",0.0117,0.00359574913285385,0.000786446246253701,0.0118909725302561
"2","Auckland Central",2017,"Conservative Party",0.0173,5e-04,5e-04,0.00485045095086426
"3","Auckland Central",2017,"Green Party",0.2217,0.223882346002224,0.18899505984577,0.240134822964032
"4","Auckland Central",2017,"Labour Party",0.2167,0.257637729941523,0.217150501330983,0.305262175108219
"5","Auckland Central",2017,"Mana",0.0196,0.00250707989816847,5e-04,0.0216900483054363
"6","Auckland Central",2017,"Maori Party",0.0056,0.0052578488587419,0.0026159600951346,0.0123175775816621
"7","Auckland Central",2017,"National Party",0.4493,0.420282117759847,0.353461189857888,0.470729609277223
"8","Auckland Central",2017,"New Zealand First Party",0.0518,0.0468647930521294,0.0213492604040013,0.118263872671495
"9","Auckland Central",2017,"United Future",0.0019,0.011181747414055,0.00120554775289999,0.0694357664879389
"10","Bay of Plenty",2017,"ACT",0.0025,0.00076832246428501,5e-04,0.00278695945897433
"11","Bay of Plenty",2017,"Conservative Party",0.0566,0.00151296757306092,5e-04,0.0158691054230588
"12","Bay of Plenty",2017,"Green Party",0.0723,0.0755334843185594,0.0608769701780154,0.0996678987807864
"13","Bay of Plenty",2017,"Labour Party",0.1307,0.188127670619826,0.131250247836408,0.250953039269971
"14","Bay of Plenty",2017,"Mana",0.0051,0.000652352422482612,5e-04,0.00845051444182091
"15","Bay of Plenty",2017,"Maori Party",0.0057,0.00535173901693372,0.002662673668262,0.0150824356220578
"16","Bay of Plenty",2017,"National Party",0.5766,0.547582117759847,0.480761189857888,0.609280142827782
"17","Bay of Plenty",2017,"New Zealand First Party",0.1394,0.126118767402835,0.0574534150640499,0.212223303462546
"18","Bay of Plenty",2017,"United Future",0.0021,0.0151746993664339,0.00133244751636315,0.0871531315144689
"19","Botany",2017,"ACT",0.0241,0.0074066285557075,0.00161994483202686,0.0243069301653126
"20","Botany",2017,"Conservative Party",0.0453,0.00121090867596572,5e-04,0.0127008917961937
"21","Botany",2017,"Green Party",0.0435,0.0463670292765202,0.0366272227212126,0.0670941785128267
"22","Botany",2017,"Labour Party",0.2227,0.273834732192647,0.223293731698467,0.323986047806309
"23","Botany",2017,"Mana",0.0061,0.000780264662185084,5e-04,0.00921031946314404
