"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"1","VAN VELDEN, Brooke","ACT",2017,"Auckland Central",0.007048823,0.00146005578787327,0.000255383639781942,0.00509567942719113,0
"2","ROCHE, Denise","Green Party",2017,"Auckland Central",0.0763,0.119442711320419,0.107724535929775,0.132438115710123,0
"3","WHITE, Helen","Labour Party",2017,"Auckland Central",0.436301441,0.336899850640893,0.30821890165353,0.366598354630281,0
"4","KAYE, Nikki","National Party",2017,"Auckland Central",0.458380844,0.499785297152229,0.460248696750946,0.530702658419409,1
"5","CARLEY, Bruce","ACT",2017,"Bay of Plenty",NA,0.00113543985589783,0.000554846432249824,0.00493051838530708,0
"6","WARREN-CLARK, Angie","Labour Party",2017,"Bay of Plenty",0.185374846,0.208644555180364,0.175502161851276,0.241669054143793,0
"7","MULLER, Todd","National Party",2017,"Bay of Plenty",0.606923392,0.555783654512461,0.521646767642183,0.591128941594045,0.9998
"8","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Bay of Plenty",0.069346838,0.108909980507645,0.0390790394606087,0.218169502817604,2e-04
"9","RICKARD, Ben","United Future",2017,"Bay of Plenty",0.003789431,0.0031170508660599,0.000253657135073436,0.0192804979856817,0
"10","ZHU, Julie","Green Party",2017,"Botany",NA,0.0443858613775139,0.0334627417418773,0.0628525720760321,0
"11","MAMEDOV, Tofik","Labour Party",2017,"Botany",0.233632193,0.275011994332608,0.247678963445732,0.300267026492144,0
"12","ROSS, Jami-Lee","National Party",2017,"Botany",0.651271893,0.580623870017324,0.546290656562697,0.612166699573691,1
"13","LIGHT, Damian","United Future",2017,"Botany",0.004613492,0.00281088805702391,0.000205424833073843,0.0180395135996887,0
"14","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Christchurch Central",0.084359797,0.108881284360468,0.0993308084167289,0.119432568310096,0
"15","WEB, Duncan","Labour Party",2017,"Christchurch Central",0.389297174,0.351518430920887,0.324381610463466,0.378541260173144,0
"16","WAGNER, Nicky","National Party",2017,"Christchurch Central",0.462167477,0.49985615483289,0.460161707304694,0.532006493334402,0.9998
"17","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Christchurch Central",0.126792298,0.0624560457408405,0.0223547172314954,0.162923203602254,2e-04
"18","SEVERIN, Toni","ACT",2017,"Christchurch East",0.003622813,0.000388362766771329,7.98189692919159e-05,0.00178552136335449,0
"19","SWEET, Cathy","Green Party",2017,"Christchurch East",0.10132976,0.107214014864672,0.0978176544261318,0.116809552185938,0
"20","WILLIAMS, Poto","Labour Party",2017,"Christchurch East",0.48087826,0.415927947395968,0.387411165903274,0.443445899741655,0.9266
"21","HAYES, Jo","National Party",2017,"Christchurch East",0.352128647,0.375063792633935,0.341850715577698,0.403717449718917,0.0734
"22","GOLDSMITH, Rachael","Green Party",2017,"Clutha-Southland",0.071217223,0.0783806984358697,0.0700743019930784,0.0875917317571226,0
"23","CHAPMAN, Cherie","Labour Party",2017,"Clutha-Southland",0.198347107,0.217910987618446,0.190352735840862,0.245077210514945,0
"24","BARCLAY, Todd","National Party",2017,"Clutha-Southland",0.640648913,0.594853672032895,0.562170939916224,0.624676699682153,1
"25","PATTERSON, Mark","New Zealand First Party",2017,"Clutha-Southland",NA,0.0282096508306426,0.0128733608707145,0.0650090773724058,0
"26","SHIRIWASTOW, Vineet","ACT",2017,"Coromandel",0.004278729,0.000447778805893988,9.41569200990003e-05,0.00220228576908655,0
"27","SUMMERFIELD, Scott","Green Party",2017,"Coromandel",0.164221679,0.117452816656526,0.105288329418946,0.131174579626663,0
"28","BLOMFIELD, Nathaniel","Labour Party",2017,"Coromandel",0.113386308,0.185020050796646,0.159325235054267,0.209776095357371,0
