"","Electoral District","Year","Party","2014 Percent","median","lowr","upr"
"1","Auckland Central",2017,"ACT",0.0117,0.0015579725868345,5e-04,0.0103373759237095
"2","Auckland Central",2017,"Conservative Party",0.0173,0.00172596496100049,5e-04,0.0746580198483763
"3","Auckland Central",2017,"Green Party",0.2217,0.225622512112593,0.17647983139798,0.249598579953994
"4","Auckland Central",2017,"Labour Party",0.2167,0.219027262182444,0.161824355456532,0.268254160137744
"5","Auckland Central",2017,"Mana",0.0196,0.00158743644022905,5e-04,0.0286639749403301
"6","Auckland Central",2017,"Maori Party",0.0056,0.00667692625484483,0.00270294640747435,0.02170885657025
"7","Auckland Central",2017,"National Party",0.4493,0.459397036719446,0.348786751286374,0.524223287921886
"8","Auckland Central",2017,"New Zealand First Party",0.0518,0.0351798880514187,0.00944134046567257,0.147857573093081
"9","Auckland Central",2017,"United Future",0.0019,0.00239068629141836,5e-04,0.063505107850917
"10","Bay of Plenty",2017,"ACT",0.0025,5e-04,5e-04,0.00220884100933964
"11","Bay of Plenty",2017,"Conservative Party",0.0566,0.0056467986585334,5e-04,0.113041356803398
"12","Bay of Plenty",2017,"Green Party",0.0723,0.078153839583488,0.0565057092274103,0.117358722816693
"13","Bay of Plenty",2017,"Labour Party",0.1307,0.134348814376899,0.0976024146662148,0.212272181511839
"14","Bay of Plenty",2017,"Mana",0.0051,5e-04,5e-04,0.0187063314151063
"15","Bay of Plenty",2017,"Maori Party",0.0057,0.0071465154433562,0.00275121330760782,0.0293973855592809
"16","Bay of Plenty",2017,"National Party",0.5766,0.591235937047955,0.476086751286374,0.690147153381303
"17","Bay of Plenty",2017,"New Zealand First Party",0.1394,0.0946732894665592,0.0254077772377366,0.231665449520092
"18","Bay of Plenty",2017,"United Future",0.0021,0.00273482963127793,5e-04,0.0851714217266129
"19","Botany",2017,"ACT",0.0241,0.00320915720877875,5e-04,0.0212932273300342
"20","Botany",2017,"Conservative Party",0.0453,0.00451943426204175,5e-04,0.0977731764514989
"21","Botany",2017,"Green Party",0.0435,0.0486782478821307,0.0339972109459523,0.0793775366752143
"22","Botany",2017,"Labour Party",0.2227,0.225621366294665,0.166304955976787,0.285302818498301
