"","Electorate","Party","2014 Vote","MEPVSim$Pred","median","lowr","upr"
"1","Hauraki-Waikato","ACT",0.0021,0.00672093767434124,0.00418677712342162,0.000373191668530207,0.0244861262436536
"2","Hauraki-Waikato","Conservative Party",0.0076,0.00768307968977386,0.00959077883841153,0.000616207197507713,0.0499203077142225
"3","Hauraki-Waikato","Green Party",0.0977,0.0951516321545022,0.104594014666897,0.0516198358401516,0.159508315851091
"4","Hauraki-Waikato","Labour Party",0.465,0.475722870181963,0.483702122468125,0.391825548355435,0.599542337474832
"5","Hauraki-Waikato","Mana",0.0808,0.0543234774384279,0.0661869204529316,0.0164391210765815,0.116510117115305
"6","Hauraki-Waikato","Maori Party",0.1197,0.0984290936620749,0.0921109050625093,0.0314339654044616,0.151903224062141
"7","Hauraki-Waikato","National Party",0.0757,0.0903792717454898,0.078182532734476,0.0303645832488648,0.1268535121985
"8","Hauraki-Waikato","New Zealand First Party",0.1337,0.168288716521614,0.145124511542282,0.00435423133476848,0.263513642040209
"9","Hauraki-Waikato","United Future",7e-04,0.00330092093181352,0.00287926916214735,0.000282301646840562,0.0100223766083835
"10","Ikaroa Rawhiti","ACT",0.0011,0.00663788144527861,0.00357862611840391,0.000363558218472777,0.0175357423219717
"11","Ikaroa Rawhiti","Conservative Party",0.006,0.00240557275883315,0.00870247679326189,0.000570493986317203,0.0446748459247243
"12","Ikaroa Rawhiti","Green Party",0.1043,0.108709600790493,0.111658774087682,0.0565967907204626,0.16870115711558
"13","Ikaroa Rawhiti","Labour Party",0.4809,0.566505732785582,0.502812322806638,0.411267156482864,0.610294725614477
"14","Ikaroa Rawhiti","Mana",0.0987,0.0648675096358974,0.0843274751438631,0.0309636437795987,0.138676021717269
"15","Ikaroa Rawhiti","Maori Party",0.1237,0.038315614571885,0.0957940465778216,0.0363662938171398,0.155701426447726
"16","Ikaroa Rawhiti","National Party",0.0545,0.0509839025233292,0.0568755790759895,0.0153042353440715,0.097290012315382
"17","Ikaroa Rawhiti","New Zealand First Party",0.1142,0.159806098495994,0.125558810064521,0.00303609419540576,0.241828747488284
"18","Ikaroa Rawhiti","United Future",3e-04,0.00176808699270736,0.00245236138535228,0.000230579851356416,0.00567945560351476
"19","Tamaki Makaurau","ACT",0.0019,0.00545745006523152,0.00407023787554713,0.000417428297669061,0.0226847056608969
"20","Tamaki Makaurau","Conservative Party",0.0062,0.0248752013559649,0.00877469224814294,0.000641343331873707,0.046569193953717
"21","Tamaki Makaurau","Green Party",0.1181,0.117148641439917,0.124447418795143,0.0677863830995043,0.185362613413739
"22","Tamaki Makaurau","Labour Party",0.4084,0.355942000349502,0.425769683104135,0.336940276154919,0.536608832681543
"23","Tamaki Makaurau","Mana",0.1082,0.141331064039235,0.094348571221671,0.0389296157447447,0.15199975917753
"24","Tamaki Makaurau","Maori Party",0.1284,0.067144985081874,0.100785959675683,0.0404001864574107,0.162820589887043
"25","Tamaki Makaurau","National Party",0.0763,0.0956705976813743,0.0766617784500337,0.02741929427818,0.128151926800026
"26","Tamaki Makaurau","New Zealand First Party",0.1412,0.188061797696581,0.148590977439571,0.00392663506283447,0.273459236854609
"27","Tamaki Makaurau","United Future",8e-04,0.00436826229032007,0.00294986766231144,0.000290425713303042,0.0109804589347762
"28","Te Tai Hauauru","ACT",0.0013,0.000106757322806769,0.00370165216830158,0.000373133717859102,0.0185005699110269
"29","Te Tai Hauauru","Conservative Party",0.0057,0.00188857299184625,0.0087729227472113,0.000552088066173866,0.0445880423558908
"30","Te Tai Hauauru","Green Party",0.1193,0.164826144978381,0.126488616783904,0.0690981225819936,0.188622482408529
"31","Te Tai Hauauru","Labour Party",0.4223,0.336154551175844,0.444470672905558,0.356471012395756,0.546981612363748
"32","Te Tai Hauauru","Mana",0.0682,0.094371898520619,0.0549330377256626,0.00820150648340585,0.100502352875852
"33","Te Tai Hauauru","Maori Party",0.1764,0.207721569231992,0.14860807631989,0.0807437838230666,0.217273925873262
"34","Te Tai Hauauru","National Party",0.0711,0.0789426133617592,0.0735050411916265,0.0275860742087848,0.121039903869076
"35","Te Tai Hauauru","New Zealand First Party",0.1179,0.114446204942641,0.126203893922127,0.0033320833909949,0.245846075251765
"36","Te Tai Hauauru","United Future",7e-04,0.00154168747411096,0.00287835635074701,0.000287377703466009,0.0100704559770642
"37","Te Tai Tokerau","ACT",0.0016,0.00234512026188115,0.003921613739047,0.000389495377743281,0.0199896844632359
"38","Te Tai Tokerau","Conservative Party",0.0068,0.00171498566842679,0.0100545005538097,0.000694307822202214,0.0484018770165447
"39","Te Tai Tokerau","Green Party",0.1006,0.0841054897443281,0.107862575111365,0.0550443040345918,0.1641913081947
"40","Te Tai Tokerau","Labour Party",0.3547,0.425138075464508,0.376359407464111,0.292408708996927,0.477835656358964
"41","Te Tai Tokerau","Mana",0.1875,0.102966238219185,0.170983071907156,0.104546394879755,0.244670250961795
"42","Te Tai Tokerau","Maori Party",0.1015,0.0663035111527264,0.0736652711909836,0.018229942064603,0.129930420989583
"43","Te Tai Tokerau","National Party",0.0856,0.0915395257637903,0.0884183309644691,0.0384521681294781,0.140724553971422
"44","Te Tai Tokerau","New Zealand First Party",0.1455,0.224007830427991,0.152266654472816,0.00450167983575635,0.278398751148298
"45","Te Tai Tokerau","United Future",8e-04,0.00187922329716404,0.00298983618578153,0.000318035656937744,0.0113942602933251
"46","Te Tai Tonga","ACT",0.0017,0.0158910446916318,0.00391173694687837,0.000428329663747799,0.0217513184310352
"47","Te Tai Tonga","Conservative Party",0.0074,0.00784470596584318,0.00999859817133151,0.000620335835011338,0.0506304431084737
"48","Te Tai Tonga","Green Party",0.1651,0.200971511016169,0.173219139073217,0.108193611663888,0.244081614545374
"49","Te Tai Tonga","Labour Party",0.3692,0.467017642905435,0.391272684809401,0.306156676887112,0.490252843652137
"50","Te Tai Tonga","Mana",0.0496,0.000422176421934799,0.0360057719944981,0.00258577187179684,0.0766998347031978
"51","Te Tai Tonga","Maori Party",0.1125,0.0845696441603866,0.0851318033276921,0.0258260635591606,0.141636992482652
"52","Te Tai Tonga","National Party",0.1445,0.0844881686115734,0.145809927071907,0.0852384333883326,0.211860537164849
"53","Te Tai Tonga","New Zealand First Party",0.1289,0.137138617811644,0.138982542163057,0.00372870205009526,0.26354654481409
"54","Te Tai Tonga","United Future",9e-04,0.0016564884153819,0.00298700086065704,0.000303300572994612,0.0127853382909342
"55","Waiariki","ACT",8e-04,0.00188050801105624,0.00343348005919675,0.000318340132866868,0.0148995452760455
"56","Waiariki","Conservative Party",0.0035,0.0148947114288677,0.00661565162157027,0.000500386528586198,0.0353484957830125
"57","Waiariki","Green Party",0.0806,0.033967594957667,0.08910461472852,0.0385838725042715,0.14142092103764
"58","Waiariki","Labour Party",0.3877,0.412814367155562,0.409855654939134,0.321825844176481,0.511701132384964
"59","Waiariki","Mana",0.1139,0.0907047551943851,0.0991697242402639,0.043301159082874,0.157584905787835
"60","Waiariki","Maori Party",0.2201,0.18084085214839,0.192649686432823,0.122988654878679,0.265231810554077
"61","Waiariki","National Party",0.0505,0.0352348074456241,0.0527755678487608,0.012861565393494,0.0934765415289469
"62","Waiariki","New Zealand First Party",0.1267,0.226418887280841,0.134479389595646,0.00321849430106421,0.254928899521633
"63","Waiariki","United Future",5e-04,0.00324351637760597,0.00279849273715451,0.000270796749880479,0.00825449852160495
