Electorate,Year,Party,Prev.Percent,Total.Vote,T.Chng,Prev.Weak,Prev.Strong
Auckland Central,2017,ACT,0.0117,0.0069,-0.0038,0.0117,0
Auckland Central,2017,Conservative Party,0.0173,0.0397,0.0132,0.0173,0
Auckland Central,2017,Green Party,0.2217,0.107,-0.0036,0.207,0.0147
Auckland Central,2017,Labour Party,0.2167,0.2513,-0.0235,0.2167,0
Auckland Central,2017,Mana,0.0196,0.0142,0.0034,0.0196,0
Auckland Central,2017,Maori Party,0.0056,0.0132,-0.0011,0.0056,0
Auckland Central,2017,National Party,0.4493,0.4704,-0.0027,0.32,0.1293
Auckland Central,2017,New Zealand First Party,0.0518,0.0866,0.0207,0.0518,0
Auckland Central,2017,United Future,0.0019,0.0022,-0.0038,0.0019,0
Bay of Plenty,2017,ACT,0.0025,0.0069,-0.0038,0.0025,0
Bay of Plenty,2017,Conservative Party,0.0566,0.0397,0.0132,0.0566,0
Bay of Plenty,2017,Green Party,0.0723,0.107,-0.0036,0.0723,0
Bay of Plenty,2017,Labour Party,0.1307,0.2513,-0.0235,0.1307,0
Bay of Plenty,2017,Mana,0.0051,0.0142,0.0034,0.0051,0
Bay of Plenty,2017,Maori Party,0.0057,0.0132,-0.0011,0.0057,0
Bay of Plenty,2017,National Party,0.5766,0.4704,-0.0027,0.32,0.2566
Bay of Plenty,2017,New Zealand First Party,0.1394,0.0866,0.0207,0.1394,0
Bay of Plenty,2017,United Future,0.0021,0.0022,-0.0038,0.0021,0
Botany,2017,ACT,0.0241,0.0069,-0.0038,0.0241,0
Botany,2017,Conservative Party,0.0453,0.0397,0.0132,0.0453,0
Botany,2017,Green Party,0.0435,0.107,-0.0036,0.0435,0
Botany,2017,Labour Party,0.2227,0.2513,-0.0235,0.2227,0
Botany,2017,Mana,0.0061,0.0142,0.0034,0.0061,0
Botany,2017,Maori Party,0.0021,0.0132,-0.0011,0.0021,0
Botany,2017,National Party,0.5965,0.4704,-0.0027,0.32,0.2765
Botany,2017,New Zealand First Party,0.0544,0.0866,0.0207,0.0544,0
Botany,2017,United Future,0.0015,0.0022,-0.0038,0.0015,0
Christchurch Central,2017,ACT,0.0049,0.0069,-0.0038,0.0049,0
Christchurch Central,2017,Conservative Party,0.0311,0.0397,0.0132,0.0311,0
Christchurch Central,2017,Green Party,0.1582,0.107,-0.0036,0.1582,0
Christchurch Central,2017,Labour Party,0.2625,0.2513,-0.0235,0.2625,0
Christchurch Central,2017,Mana,0.0103,0.0142,0.0034,0.0103,0
Christchurch Central,2017,Maori Party,0.0046,0.0132,-0.0011,0.0046,0
Christchurch Central,2017,National Party,0.4466,0.4704,-0.0027,0.32,0.1266
Christchurch Central,2017,New Zealand First Party,0.0719,0.0866,0.0207,0.0719,0
Christchurch Central,2017,United Future,0.0023,0.0022,-0.0038,0.0023,0
Christchurch East,2017,ACT,0.0033,0.0069,-0.0038,0.0033,0
Christchurch East,2017,Conservative Party,0.0326,0.0397,0.0132,0.0326,0
Christchurch East,2017,Green Party,0.1266,0.107,-0.0036,0.1266,0
Christchurch East,2017,Labour Party,0.3216,0.2513,-0.0235,0.32,0.0016
Christchurch East,2017,Mana,0.0088,0.0142,0.0034,0.0088,0
Christchurch East,2017,Maori Party,0.004,0.0132,-0.0011,0.004,0
Christchurch East,2017,National Party,0.3979,0.4704,-0.0027,0.32,0.0779
Christchurch East,2017,New Zealand First Party,0.0945,0.0866,0.0207,0.0945,0
Christchurch East,2017,United Future,0.0023,0.0022,-0.0038,0.0023,0
Clutha-Southland,2017,ACT,0.0036,0.0069,-0.0038,0.0036,0
Clutha-Southland,2017,Conservative Party,0.0504,0.0397,0.0132,0.0504,0
Clutha-Southland,2017,Green Party,0.0773,0.107,-0.0036,0.0773,0
Clutha-Southland,2017,Labour Party,0.1471,0.2513,-0.0235,0.1471,0
Clutha-Southland,2017,Mana,0.0046,0.0142,0.0034,0.0046,0
Clutha-Southland,2017,Maori Party,0.0033,0.0132,-0.0011,0.0033,0
Clutha-Southland,2017,National Party,0.6338,0.4704,-0.0027,0.32,0.3138
