Poll,Release Days,Days Before,ACT,Conservative Party,Green Party,Labour Party,Mana,Maori Party,National Party,New Zealand First Party,United Future
Ipsos,94,96,0.007,0.009,0.119,0.232,0.021,0.007,0.565,0.032,0
Reid Research,86,90,0.004,0.028,0.127,0.273,0.018,0.015,0.497,0.036,0
Colmar Brunton,86,89,0.007,0.01,0.12,0.29,0.02,0.012,0.5,0.038,0
Roy Morgan,82,90,0.01,0.01,0.12,0.28,0.025,0.015,0.48,0.055,0
Roy Morgan,68,76,0.005,0.01,0.15,0.235,0.015,0.01,0.51,0.06,0.005
Reid Research,65,70,0.001,0.027,0.124,0.267,0.023,0.011,0.494,0.043,0.002
Ipsos,64,65,0.001,0.013,0.124,0.249,0.012,0.009,0.548,0.026,0.002
Digipoll,64,68,0,0.015,0.099,0.265,0.022,0.005,0.549,0.046,0
Colmar Brunton,58,61,0.008,0.017,0.1,0.28,0.02,0.006,0.52,0.044,0.002
Roy Morgan,54,62,0.005,0.01,0.12,0.3,0.025,0.015,0.46,0.05,0.005
Ipsos,37,40,0.002,0.034,0.113,0.225,0.021,0.01,0.551,0.034,0
Colmar Brunton,37,40,0.006,0.024,0.11,0.26,0.039,0.009,0.5,0.05,0
Reid Research,37,42,0.003,0.025,0.13,0.29,0.02,0.008,0.475,0.046,0.002
Roy Morgan,33,41,0.005,0.01,0.115,0.275,0.025,0.01,0.48,0.065,0.005
Digipoll,30,34,0.006,0.026,0.137,0.252,0.021,0.007,0.5,0.043,0.004
Reid Research,25,29,0.003,0.046,0.135,0.264,0.021,0.007,0.45,0.063,0.004
Digipoll,23,27,0.003,0.033,0.114,0.241,0.034,0.01,0.507,0.05,0.002
Ipsos,23,26,0.007,0.027,0.118,0.261,0.022,0.007,0.508,0.04,0.001
Colmar Brunton,23,26,0.004,0.032,0.12,0.28,0.016,0.006,0.48,0.06,0
Roy Morgan,19,27,0.01,0.035,0.16,0.26,0.01,0.005,0.45,0.06,0
Reid Research,18,22,0.006,0.042,0.126,0.259,0.017,0.02,0.464,0.058,0.001
Digipoll,16,20,0.004,0.038,0.114,0.238,0.035,0.004,0.501,0.06,0.003
Ipsos,16,19,0.002,0.024,0.129,0.243,0.013,0.003,0.542,0.036,0.001
Colmar Brunton,16,19,0.001,0.029,0.11,0.26,0.024,0.002,0.5,0.07,0.001
Reid Research,11,15,0.003,0.047,0.13,0.261,0.017,0.013,0.467,0.059,0.001
Digipoll,9,13,0.003,0.038,0.115,0.246,0.023,0.007,0.486,0.081,0
Colmar Brunton,9,12,0.012,0.04,0.14,0.25,0.014,0.008,0.46,0.07,0.002
Ipsos,9,12,0.007,0.036,0.13,0.224,0.014,0.01,0.528,0.044,0
Roy Morgan,5,13,0.005,0.035,0.135,0.24,0.01,0.015,0.465,0.08,0.005
Reid Research,4,8,0.001,0.049,0.144,0.256,0.02,0.011,0.445,0.071,0.001
Digipoll,2,6,0.005,0.033,0.111,0.259,0.01,0.011,0.482,0.084,0.002
Colmar Brunton,2,10,0.006,0.044,0.12,0.25,0.018,0.016,0.45,0.08,0
Ipsos,2,5,0.003,0.045,0.12,0.261,0.009,0.009,0.477,0.066,0
Election result,0,0,0.0069,0.0397,0.107,0.2513,0.014,0.0132,0.4704,0.0866,0.0022
