Candidate,Party,Year,Electorate,2014 Vote
"VAN VELDEN, Brooke",ACT,2017,Auckland Central,0.007048823
"CARLEY, Bruce",ACT,2017,Bay of Plenty,NA
"SINGH, Satnam",ACT,2017,Botany,NA
"SEVERIN, Toni ",ACT,2017,Christchurch East,0.003622813
"PURCHAS, Sam",ACT,2017,Dunedin North,NA
"DOUGHTY, Dan",ACT,2017,Dunedin South,0.003875574
"BERRY, Stephen ",ACT,2017,East Coast Bays,0.01690896
"SEYMOUR, David ",ACT,2017,Epsom,0.43413235
"McDOWALL, James",ACT,2017,Hamilton East,0.004133512
"EVANS, Alex",ACT,2017,Helensville,0.008691207
"SMITH, Anthony",ACT,2017,Hunua,0.012146166
"PARKINS, Andy",ACT,2017,Hutt South,0.004687182
"GILBERT, Paul",ACT,2017,Ilam,0.011722365
"EVANS, Richard ",ACT,2017,Kaikoura,0.003666735
"SHAN, Ng",ACT,2017,Mana,NA
"SINGH, Bhupinder",ACT,2017,Manukau East,NA
"HUFFLETT, Paul ",ACT,2017,Nelson,0.00519507
"WELLS, Richard",ACT,2017,New Lynn,NA
"CARLSON, Anneka",ACT,2017,New Plymouth,0.005512454
"KEARNEY, Nick ",ACT,2017,North Shore,0.015264829
"KRONFELD, Tim",ACT,2017,Northcote,0.011072381
"NELSON, Craig ",ACT,2017,Northland,0.005773791
"MOORE, Andi",ACT,2017,Ohariu,0.005696846
"GRATTAN, Wayne",ACT,2017,Otaki,NA
"FOX, David",ACT,2017,Port Hills,0.003679477
"CORBETT, Tom ",ACT,2017,Rangitata,0.013406776
"WILSON, Neil ",ACT,2017,Rangitikei,0.00522541
"O'SULLIVAN, Grae ",ACT,2017,Rimutaka,NA
"SOLE, Chris",ACT,2017,Rongotai,NA
"DAVIDSON, Brian",ACT,2017,Selwyn,0.002348616
"MILNE, Mike ",ACT,2017,Tamaki,0.013257965
"PEDERSEN, Stuart ",ACT,2017,Tauranga,0.004199529
"FLETCHER, Stephen",ACT,2017,Te Atatu,0.01295471
"KRONFELD, Tim",ACT,2017,Upper Harbour,0.01690896
"HAWKINS, Stuart",ACT,2017,Waimakariri,NA
"GREENSLADE, Roger",ACT,2017,Wairarapa,0.002437043
"WARREN, Michael",ACT,2017,Wellington Central,NA
"MARKLAND, Zeb",ACT,2017,West Coast Tasman,NA
"DAVIDSON, Alan",ACT,2017,Whanganui,0.007237513
"GRIEVE, Robin",ACT,2017,Whangarei,0.007862759
"KNIGHTS, Ruth",ACT,2017,Wigram,0.010763817
"ROCHE, Denise",Green Party,2017,Auckland Central,0.0763
"ZHU, Julie",Green Party,2017,Botany,NA
"RICHARDSON, Peter",Green Party,2017,Christchurch Central,0.084359797
"SWEET, Cathy",Green Party,2017,Christchurch East,0.10132976
"GOLDSMITH, Rachael ",Green Party,2017,Clutha-Southland,0.071217223
"SUMMERFIELD, Scott",Green Party,2017,Coromandel,0.164221679
"BOULD, Niki",Green Party,2017,Dunedin North,0.173691193
"GALLAGHER, Shane ",Green Party,2017,Dunedin South,0.075879653
"HUGHES, Gareth",Green Party,2017,East Coast,0.07762604
"MAYNE, Nicholas",Green Party,2017,East Coast Bays,0.099446381
"COATES, Barry ",Green Party,2017,Epsom,0.082155296
"TAYLOR, Sam",Green Party,2017,Hamilton East,0.071923117
"WRIGLEY, Jo",Green Party,2017,Hamilton West,NA
"HOLT, Hayley",Green Party,2017,Helensville,0.12791411
"McCABE, Phil",Green Party,2017,Hunua,NA
"RUTHVEN, Susanne ",Green Party,2017,Hutt South,0.083452211
"LEE, David",Green Party,2017,Ilam,0.122056555
"SURENDRAN, Rochelle",Green Party,2017,Invercargill,0.074243813
"McCUBBIN, Richard",Green Party,2017,Kaikoura,0.083825626
"SMITH, Nicola",Green Party,2017,Kelston,0.069263618
"LOGIE, Jan ",Green Party,2017,Mana,0.084359606
"DYETT, Elaine",Green Party,2017,Mangere,0.045608466
"PARDEEP SINGH, Raj",Green Party,2017,Manukau East,0.026520396
"TUIONO, Teanau",Green Party,2017,Manurewa,0.043534068
"SWARBRICK, Chloe",Green Party,2017,Maungakiekie,0.062571817
"GENTER, Julie Anne ",Green Party,2017,Mt Albert,0.088277858
"MENENDEZ MARCH, Ricardo",Green Party,2017,Mt Roskill,0.050977148
"RUSDEN, Damon",Green Party,2017,Napier,0.037916624
"LAWREY, Matt",Green Party,2017,Nelson,0.091983294
"LEILANI,Tamu",Green Party,2017,New Lynn,0.079370013
"BRAMHALL, Stuart",Green Party,2017,New Plymouth,0.054818293
"JAUNG, Rebekah",Green Party,2017,Northcote,0.087758868
