Candidate,Party,Year,Electorate,2014 Vote
"PAPA, Rahui",Maori Party,2017,Hauraki-Waikato,0.227019499
"MAHUTA, Nanaia",Labour Party,2017,Hauraki-Waikato,0.615598886
"FOX, Marama ",Maori Party,2017,Ikaroa Rawhiti,0.182505513
"KEREKERE, Elizabeth",Green Party,2017,Ikaroa Rawhiti,0.100283524
"WHAITIRI, Meka ",Labour Party,2017,Ikaroa Rawhiti,0.462669327
"DAVIDSON, Marama ",Green Party,2017,Tamaki Makaurau,0.159322034
"HENARE, Peeni ",Labour Party,2017,Tamaki Makaurau,0.382733051
"TAURIAMA, Shane",Maori Party,2017,Tamaki Makaurau,0.308474576
"McDONALD, Jack Tautokai ",Green Party,2017,Te Tai Hauauru,0.153496245
"RURAWHE, Adrian ",Labour Party,2017,Te Tai Hauauru,0.413413731
"TAMATI, Howie",Maori Party,2017,Te Tai Hauauru,0.333968052
"DAVIS, Kelvin ",Labour Party,2017,Te Tai Tokerau,0.447304568
"HARAWIRA, Hone ",Mana,2017,Te Tai Tokerau,0.413018251
"RUDOLF, Godfrey",Green Party,2017,Te Tai Tokerau,NA
"REEDY-TAARE, Mei",Maori Party,2017,Te Tai Tonga,0.248525074
"TURIE, Metiria",Green Party,2017,Te Tai Tonga,0.161293721
"TIRIKATENE, Rino ",Labour Party,2017,Te Tai Tonga,0.42920354
"FLAVELL, Te Ururoa James ",Maori Party,2017,Waiariki,0.455613851
"COFFEY, Tamati",Labour Party,2017,Waiariki,0.273452256
