Electorate,Party,2014 Vote
Hauraki-Waikato,ACT,0.0021
Hauraki-Waikato,Conservative Party,0.0076
Hauraki-Waikato,Green Party,0.0977
Hauraki-Waikato,Labour Party,0.465
Hauraki-Waikato,Mana,0.0808
Hauraki-Waikato,Maori Party,0.1197
Hauraki-Waikato,National Party,0.0757
Hauraki-Waikato,New Zealand First Party,0.1337
Hauraki-Waikato,United Future,0.0007
Ikaroa Rawhiti,ACT,0.0011
Ikaroa Rawhiti,Conservative Party,0.006
Ikaroa Rawhiti,Green Party,0.1043
Ikaroa Rawhiti,Labour Party,0.4809
Ikaroa Rawhiti,Mana,0.0987
Ikaroa Rawhiti,Maori Party,0.1237
Ikaroa Rawhiti,National Party,0.0545
Ikaroa Rawhiti,New Zealand First Party,0.1142
Ikaroa Rawhiti,United Future,0.0003
Tamaki Makaurau,ACT,0.0019
Tamaki Makaurau,Conservative Party,0.0062
Tamaki Makaurau,Green Party,0.1181
Tamaki Makaurau,Labour Party,0.4084
Tamaki Makaurau,Mana,0.1082
Tamaki Makaurau,Maori Party,0.1284
Tamaki Makaurau,National Party,0.0763
Tamaki Makaurau,New Zealand First Party,0.1412
Tamaki Makaurau,United Future,0.0008
Te Tai Hauauru,ACT,0.0013
Te Tai Hauauru,Conservative Party,0.0057
Te Tai Hauauru,Green Party,0.1193
Te Tai Hauauru,Labour Party,0.4223
Te Tai Hauauru,Mana,0.0682
Te Tai Hauauru,Maori Party,0.1764
Te Tai Hauauru,National Party,0.0711
Te Tai Hauauru,New Zealand First Party,0.1179
Te Tai Hauauru,United Future,0.0007
Te Tai Tokerau,ACT,0.0016
Te Tai Tokerau,Conservative Party,0.0068
Te Tai Tokerau,Green Party,0.1006
Te Tai Tokerau,Labour Party,0.3547
Te Tai Tokerau,Mana,0.1875
Te Tai Tokerau,Maori Party,0.1015
Te Tai Tokerau,National Party,0.0856
Te Tai Tokerau,New Zealand First Party,0.1455
Te Tai Tokerau,United Future,0.0008
Te Tai Tonga,ACT,0.0017
Te Tai Tonga,Conservative Party,0.0074
Te Tai Tonga,Green Party,0.1651
Te Tai Tonga,Labour Party,0.3692
Te Tai Tonga,Mana,0.0496
Te Tai Tonga,Maori Party,0.1125
Te Tai Tonga,National Party,0.1445
Te Tai Tonga,New Zealand First Party,0.1289
Te Tai Tonga,United Future,0.0009
Waiariki,ACT,0.0008
Waiariki,Conservative Party,0.0035
Waiariki,Green Party,0.0806
Waiariki,Labour Party,0.3877
Waiariki,Mana,0.1139
Waiariki,Maori Party,0.2201
Waiariki,National Party,0.0505
Waiariki,New Zealand First Party,0.1267
Waiariki,United Future,0.0005
